# generated by tools/build_pad_prompt_icons.py - do not hand-edit
# source: Kenney Input Prompts 1.5, PlayStation and Xbox Series, CC0
# cell 64px. rows: 0 ps light, 1 ps dark, 2 xbox light, 3 xbox dark
# InputGlyphs computes row = (xbox ? 2 : 0) + (onDark ? 1 : 0)
# label|column
BUTTON NORTH|0
BUTTON EAST|1
BUTTON SOUTH|2
BUTTON WEST|3
LEFT SHOULDER|4
RIGHT SHOULDER|5
LEFT TRIGGER|6
RIGHT TRIGGER|7
LEFT STICK PRESS|8
RIGHT STICK PRESS|9
LEFT STICK|10
RIGHT STICK|11
D-PAD|12
D-PAD/UP|13
D-PAD/DOWN|14
D-PAD/LEFT|15
D-PAD/RIGHT|16
SELECT|17
START|18
