frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.1220,0.0141,0.0000,False,0.000,idle,-1.0000,0.0000,0.457,0.000,0.2559,0.0392,0.8178,0.1800
1,0.1759,0.1403,0.0000,False,0.000,idle,-1.0000,0.0000,-0.537,0.000,0.2602,0.0407,0.8192,0.1800
2,0.2264,0.1916,0.0000,False,0.000,idle,-1.0000,0.0000,-1.466,0.000,0.2907,0.0412,0.8355,0.1800
3,0.2753,0.2418,0.0000,False,0.000,idle,-1.0000,0.0000,-2.554,0.000,0.3273,0.0406,0.8526,0.1800
4,0.3282,0.2939,0.0000,False,0.000,idle,-1.0000,0.0000,-3.674,0.000,0.3659,0.0386,0.8683,0.1800
5,0.3852,0.3424,0.0000,False,0.000,idle,-1.0000,0.0000,-3.600,-0.708,0.3821,0.0530,0.8720,0.1800
6,0.4362,0.4012,0.0000,False,359.329,interact-right,-1.0000,0.0000,19.708,-16.784,0.2121,0.4318,0.6628,0.1800
7,0.4866,0.4518,0.0000,False,356.726,interact-right,-1.0000,0.0000,46.526,-1.907,0.1151,0.7055,0.2838,0.1800
8,0.5362,0.5017,0.0000,False,354.382,interact-right,-1.0000,0.0000,53.847,5.108,0.0638,0.7189,0.2351,0.1800
9,0.5878,0.5505,0.0000,False,353.004,interact-right,-1.0000,0.0000,56.386,3.729,0.0432,0.7256,0.2375,0.1800
10,0.6376,0.6015,0.0000,False,352.696,interact-right,-1.0000,0.0000,57.000,1.992,0.0396,0.7285,0.2416,0.1800
11,0.6890,0.6516,0.0000,False,352.696,interact-right,-1.0000,0.0000,57.000,1.902,0.0398,0.7285,0.2418,0.1800
12,0.7445,0.7034,0.0000,False,352.696,interact-right,-1.0000,0.0000,57.000,1.902,0.0398,0.7285,0.2418,0.1800
13,0.7981,0.7602,0.0000,False,352.700,interact-right,-1.0000,0.0000,56.976,1.879,0.0402,0.7287,0.2418,0.1800
14,0.8537,0.8152,0.0000,False,352.832,interact-right,-1.0000,0.0000,56.317,0.973,0.0517,0.7323,0.2442,0.1800
15,0.9057,0.8697,0.0000,False,353.125,interact-right,-1.0000,0.0000,53.600,-4.557,0.0865,0.7394,0.2591,0.1800
16,0.9556,0.9209,0.0000,False,353.533,interact-right,-1.0000,0.0000,46.089,-18.926,0.1520,0.7361,0.3009,0.1800
17,1.0082,0.9701,0.0000,False,354.034,interact-right,-1.0000,0.0000,38.743,-33.322,0.2104,0.7222,0.3446,0.1800
18,1.0622,1.0224,0.0000,False,354.668,interact-right,-1.0000,0.0000,34.992,-37.603,0.2550,0.7203,0.3573,0.1800
19,1.1150,1.0787,0.0000,False,355.440,interact-right,-1.0000,0.0000,43.212,-7.388,0.2501,0.7656,0.2666,0.1800
20,1.1674,1.1313,0.0000,False,356.215,interact-right,-1.0000,0.0000,41.492,4.560,0.2759,0.7672,0.2348,0.1800
21,1.2229,1.1869,0.0000,False,357.053,interact-right,-1.0000,0.0000,38.189,5.089,0.3238,0.7680,0.2328,0.1800
22,1.2728,1.2385,0.0000,False,357.807,interact-right,-1.0000,0.0000,35.281,2.347,0.3699,0.7680,0.2386,0.1800
23,1.3236,1.2890,0.0000,False,358.489,interact-right,-1.0000,0.0000,32.683,1.656,0.4069,0.7653,0.2394,0.1800
24,1.3732,1.3389,0.0000,False,359.076,interact-right,-1.0000,0.0000,30.469,1.608,0.4365,0.7615,0.2387,0.1800
25,1.4249,1.3912,0.0000,False,359.561,interact-right,-1.0000,0.0000,28.646,1.562,0.4602,0.7576,0.2381,0.1800
26,1.4773,1.4431,0.0000,False,359.879,interact-right,-1.0000,0.0000,27.456,1.453,0.4753,0.7547,0.2378,0.1800
27,1.5273,1.4918,0.0000,False,-0.002,interact-right,-1.0000,0.0000,27.006,-0.241,0.4835,0.7538,0.2419,0.1800
28,1.5782,1.5433,0.0000,False,0.000,interact-right,-1.0000,0.0000,31.773,-8.092,0.3769,0.7535,0.2583,0.1800
29,1.6306,1.5946,0.0000,False,0.000,interact-right,-1.0000,0.0000,29.178,-25.186,0.3469,0.7295,0.3056,0.1800
30,1.6829,1.6473,0.0000,False,0.000,interact-right,-1.0000,0.0000,21.733,-38.989,0.3993,0.7040,0.3506,0.1800
31,1.7358,1.6995,0.0000,False,0.000,interact-right,-1.0000,0.0000,16.201,-35.323,0.5231,0.7026,0.3441,0.1800
32,1.7908,1.7531,0.0000,False,0.000,idle,-1.0000,0.0000,20.869,-8.905,0.5266,0.6211,0.4611,0.1800
33,1.8423,1.8052,0.0000,False,0.000,idle,-1.0000,0.0000,10.964,-10.736,0.5770,0.4789,0.6424,0.1800
34,1.8921,1.8565,0.0000,False,0.000,idle,-1.0000,0.0000,0.044,-2.176,0.3867,0.0906,0.7977,0.1800
35,1.9451,1.9113,0.0000,False,0.000,idle,-1.0000,0.0000,-2.464,0.000,0.3734,0.0387,0.8097,0.1800
36,1.9971,1.9631,0.0000,False,0.000,idle,-1.0000,0.0000,-3.583,0.000,0.4085,0.0372,0.8310,0.1800
37,2.0488,2.0149,0.0000,False,0.000,idle,-1.0000,0.0000,-4.502,0.000,0.4360,0.0348,0.8479,0.1800
38,2.1030,2.0666,0.0000,False,0.000,idle,-1.0000,0.0000,-4.945,0.000,0.4455,0.0333,0.8581,0.1800
39,2.1544,2.1188,0.0000,False,0.000,idle,-1.0000,0.0000,-4.859,0.000,0.4333,0.0341,0.8613,0.1800
40,2.2054,2.1707,0.0000,False,0.000,idle,-1.0000,0.0000,-4.343,0.000,0.4014,0.0366,0.8571,0.1800
41,2.2592,2.2225,0.0000,False,0.000,idle,-1.0000,0.0000,-3.550,0.000,0.3599,0.0393,0.8470,0.1800
42,2.3115,2.2754,0.0000,False,0.000,idle,-1.0000,0.0000,-2.563,0.000,0.3158,0.0412,0.8324,0.1800
43,2.3638,2.3292,0.0000,False,0.000,idle,-1.0000,0.0000,-1.495,0.000,0.2778,0.0414,0.8171,0.1800
44,2.4134,2.3789,0.0000,False,0.000,idle,-1.0000,0.0000,-0.558,0.000,0.2538,0.0405,0.8068,0.1800
45,2.4667,2.4312,0.0000,False,0.000,idle,-1.0000,0.0000,0.298,0.000,0.2486,0.0392,0.8068,0.1800
46,2.5248,2.4814,0.0000,False,0.000,idle,-1.0000,0.0000,1.194,0.000,0.2603,0.0380,0.8166,0.1800
47,2.5866,2.5434,0.0000,False,0.000,idle,-1.0000,0.0000,2.422,0.000,0.2929,0.0378,0.8374,0.1800
48,2.6457,2.6034,0.0000,False,0.000,idle,-1.0000,0.0000,3.548,0.000,0.3327,0.0394,0.8582,0.1800
49,2.7033,2.6626,0.0000,False,0.000,idle,-1.0000,0.0000,4.433,0.000,0.3689,0.0422,0.8739,0.1800
