t=0.00 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(0.00, 0.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=0.50 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(-3.80, -2.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=1.02 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(-3.80, -2.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=1.52 at=(-3.34, 0.50, 9.90) plan=Fetch vel=(-2.53, 4.60, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=2.02 at=(-3.34, 0.20, 9.90) plan=Fetch vel=(-3.80, -5.40, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=2.52 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(-2.53, -2.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=3.02 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(-2.53, -2.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=3.52 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(-2.53, -2.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=4.02 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(-2.53, -2.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=4.50 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(-2.53, -2.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=5.00 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(-2.53, -2.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=5.50 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(-2.53, -2.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=6.00 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(-2.53, -2.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=6.50 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(-2.53, -2.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=7.00 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(-2.53, -2.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=7.50 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(-2.53, -2.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=8.00 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(-2.53, -2.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=8.50 at=(-3.34, 0.78, 9.90) plan=Fetch vel=(-3.80, 3.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=9.00 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(-2.53, -2.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
t=9.50 at=(-3.34, 0.08, 9.90) plan=Fetch vel=(-2.53, -2.00, 0.00) shoe=Loose@(-8.30, 0.26, 11.92)
held at -1.00s, longest motionless spell 10.00s
