t=0.00 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, 0.00, 0.00) shoe=Loose@(-5.36, 0.09, 3.68)
t=0.50 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -3.80) shoe=Loose@(-5.36, 0.09, 3.68)
t=1.02 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -3.80) shoe=Loose@(-5.36, 0.09, 3.68)
t=1.52 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -2.53) shoe=Loose@(-5.36, 0.09, 3.68)
t=2.02 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -3.80) shoe=Loose@(-5.36, 0.09, 3.68)
t=2.52 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -2.53) shoe=Loose@(-5.36, 0.09, 3.68)
t=3.02 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -2.53) shoe=Loose@(-5.36, 0.09, 3.68)
t=3.52 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -2.53) shoe=Loose@(-5.36, 0.09, 3.68)
t=4.02 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -2.53) shoe=Loose@(-5.36, 0.09, 3.68)
t=4.50 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -2.53) shoe=Loose@(-5.36, 0.09, 3.68)
t=5.00 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -2.53) shoe=Loose@(-5.36, 0.09, 3.68)
t=5.50 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -2.53) shoe=Loose@(-5.36, 0.09, 3.68)
t=6.00 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -3.80) shoe=Loose@(-5.36, 0.09, 3.68)
t=6.50 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -2.53) shoe=Loose@(-5.36, 0.09, 3.68)
t=7.00 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -2.53) shoe=Loose@(-5.36, 0.09, 3.68)
t=7.50 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -3.80) shoe=Loose@(-5.36, 0.09, 3.68)
t=8.00 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -2.53) shoe=Loose@(-5.36, 0.09, 3.68)
t=8.50 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -2.53) shoe=Loose@(-5.36, 0.09, 3.68)
t=9.00 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -3.80) shoe=Loose@(-5.36, 0.09, 3.68)
t=9.50 at=(-4.63, 0.08, 11.11) plan=Fetch vel=(0.00, -2.00, -2.53) shoe=Loose@(-5.36, 0.09, 3.68)
held at -1.00s, longest motionless spell 10.00s
