real,local,round,elapsed,name
9.4730,1,1,0.000,staged
11.9728,1,1,7.000,stale-seat grab claiming seat 2
12.9727,1,1,8.000,duplicate grab x2
14.9729,1,1,10.000,duplicate throw x2
16.4732,1,1,11.500,stale-seat shove claiming seat 2
16.9734,1,1,12.000,wrong-role punch as attacker
17.9727,1,1,13.000,duplicate shove x2
21.9732,1,1,17.000,duplicate slide x2
24.4734,1,1,19.500,duplicate carapace cast x2
25.9732,1,1,21.000,stomp cast x3 in one frame
27.4724,1,1,22.501,stomp cast 4 after windup
28.9729,1,1,24.001,stomp cast 5 with no charge
44.4730,1,2,0.000,staged
46.9724,1,2,7.000,duplicate punch x2
49.0302,1,2,9.000,duplicate lunge x2
51.0293,1,2,11.000,wrong-role shove as taya
52.0294,1,2,12.000,stale-seat punch claiming seat 0
54.0296,1,2,14.000,legitimate punch input
56.0292,1,2,16.000,legitimate lunge input
59.0296,1,2,19.000,legitimate stomp input
