real,local,match,round,elapsed,name
9.7160,1,1,1,0.000,staged
12.2157,1,1,1,7.000,stale-seat grab claiming seat 2
13.2160,1,1,1,8.000,duplicate grab x2
15.2157,1,1,1,10.000,duplicate throw x2
16.7161,1,1,1,11.500,stale-seat shove claiming seat 2
17.2168,1,1,1,12.000,wrong-role punch as attacker
18.2150,1,1,1,13.000,duplicate shove x2
22.2158,1,1,1,17.000,duplicate slide x2
24.7163,1,1,1,19.500,duplicate carapace cast x2
26.2154,1,1,1,21.000,stomp cast x3 in one frame
27.7155,1,1,1,22.501,stomp cast 4 after windup
29.2159,1,1,1,24.001,stomp cast 5 with no charge
35.1158,1,1,1,29.901,duplicate throw at the round boundary
44.7157,1,1,2,0.000,staged
47.2157,1,1,2,7.000,duplicate punch x2
49.2724,1,1,2,9.000,duplicate lunge x2
51.2721,1,1,2,11.000,wrong-role shove as taya
52.2727,1,1,2,12.000,stale-seat punch claiming seat 0
54.2717,1,1,2,14.000,legitimate punch input
56.2717,1,1,2,16.000,legitimate lunge input
59.2720,1,1,2,19.000,legitimate stomp input
79.7683,1,2,1,0.000,staged
82.2682,1,2,1,7.000,stale-seat grab claiming seat 2
83.2684,1,2,1,8.000,duplicate grab x2
85.2688,1,2,1,10.000,duplicate throw x2
86.7687,1,2,1,11.500,stale-seat shove claiming seat 2
87.2685,1,2,1,12.000,wrong-role punch as attacker
88.2686,1,2,1,13.000,duplicate shove x2
92.2681,1,2,1,17.000,duplicate slide x2
94.7687,1,2,1,19.500,duplicate carapace cast x2
96.2685,1,2,1,21.000,stomp cast x3 in one frame
97.7684,1,2,1,22.501,stomp cast 4 after windup
99.2683,1,2,1,24.001,stomp cast 5 with no charge
105.1680,1,2,1,29.901,duplicate throw at the round boundary
114.7687,1,2,2,0.000,staged
117.2683,1,2,2,7.000,duplicate punch x2
119.3251,1,2,2,9.000,duplicate lunge x2
121.3249,1,2,2,11.000,wrong-role shove as taya
122.3250,1,2,2,12.000,stale-seat punch claiming seat 0
124.3254,1,2,2,14.000,legitimate punch input
126.3249,1,2,2,16.000,legitimate lunge input
129.3251,1,2,2,19.000,legitimate stomp input
