wall,networked,host,slot,round,active,warmup,inProgress,left,cycle,intermissions,pid
63925086700.4819,1,0,0,0,0,0,0,90,0,0,8556
63925086702.0919,1,0,0,0,0,0,0,30,0,0,8556
63925086702.218,1,0,0,0,0,0,0,30,0,0,8556
63925086702.332,1,0,0,0,0,0,0,30,0,0,8556
63925086702.4331,1,0,0,0,0,0,0,30,0,0,8556
63925086702.5339,1,0,0,0,0,0,0,30,0,0,8556
63925086702.6586,1,0,1,0,0,0,0,30,0,0,8556
63925086702.7638,1,0,1,0,0,0,0,30,0,0,8556
63925086702.8639,1,0,1,0,0,0,0,30,0,0,8556
63925086702.9804,1,0,1,0,0,0,0,30,0,0,8556
63925086703.0819,1,0,1,0,0,0,0,30,0,0,8556
63925086703.1825,1,0,1,0,0,0,0,30,0,0,8556
63925086703.2819,1,0,1,0,0,0,0,30,0,0,8556
63925086703.3839,1,0,1,0,0,0,0,30,0,0,8556
63925086703.4847,1,0,1,0,0,0,0,30,0,0,8556
63925086703.5845,1,0,1,0,0,0,0,30,0,0,8556
63925086703.6854,1,0,1,0,0,0,0,30,0,0,8556
63925086704.1402,1,0,1,0,0,0,0,30,0,0,8556
63925086704.2445,1,0,1,0,0,0,0,30,0,0,8556
63925086704.3453,1,0,1,0,0,0,0,30,0,0,8556
63925086704.4445,1,0,1,0,0,0,0,30,0,0,8556
63925086704.5619,1,0,1,0,0,0,0,30,0,0,8556
63925086704.6619,1,0,1,0,0,0,0,30,0,0,8556
63925086704.7621,1,0,1,0,0,0,0,30,0,0,8556
63925086704.8632,1,0,1,0,0,0,0,30,0,0,8556
63925086704.9643,1,0,1,0,0,0,0,30,0,0,8556
63925086705.0646,1,0,1,0,0,0,0,30,0,0,8556
63925086705.1653,1,0,1,0,0,0,0,30,0,0,8556
63925086705.2652,1,0,1,0,0,0,0,30,0,0,8556
63925086705.3661,1,0,1,0,0,0,0,30,0,0,8556
63925086705.4665,1,0,1,0,0,0,0,30,0,0,8556
63925086705.5666,1,0,1,0,0,0,0,30,0,0,8556
63925086705.6679,1,0,1,0,0,0,0,30,0,0,8556
63925086705.7679,1,0,1,0,0,0,0,30,0,0,8556
63925086705.8682,1,0,1,0,0,0,0,30,0,0,8556
63925086705.9684,1,0,1,0,0,0,0,30,0,0,8556
63925086706.0688,1,0,1,0,0,0,0,30,0,0,8556
63925086706.1692,1,0,1,0,0,0,0,30,0,0,8556
63925086706.2699,1,0,1,0,0,0,0,30,0,0,8556
63925086706.3704,1,0,1,0,0,0,0,30,0,0,8556
63925086706.4711,1,0,1,0,0,0,0,30,0,0,8556
63925086706.5719,1,0,1,0,0,0,0,30,0,0,8556
63925086706.6721,1,0,1,0,0,0,0,30,0,0,8556
63925086706.7722,1,0,1,0,0,0,0,30,0,0,8556
63925086706.8736,1,0,1,0,0,0,0,30,0,0,8556
63925086706.975,1,0,1,0,0,0,0,30,0,0,8556
63925086707.0913,1,0,1,0,0,0,0,30,0,0,8556
63925086707.1969,1,0,1,1,1,0,1,29.71999,0,0,8556
63925086707.2976,1,0,1,1,1,0,1,29.61999,0,0,8556
63925086707.398,1,0,1,1,1,0,1,29.51999,0,0,8556
63925086707.4981,1,0,1,1,1,0,1,29.41999,0,0,8556
63925086707.5974,1,0,1,1,1,0,1,29.33998,0,0,8556
63925086707.6986,1,0,1,1,1,0,1,29.23998,0,0,8556
