wall,networked,host,slot,round,active,warmup,inProgress,left,cycle,intermissions,pid
63925086695.656,1,1,0,0,0,0,0,90,0,0,8204
63925086698.1753,1,1,0,0,0,0,0,30,0,0,8204
63925086698.3033,1,1,0,0,0,0,0,30,0,0,8204
63925086698.4197,1,1,0,0,0,0,0,30,0,0,8204
63925086698.5203,1,1,0,0,0,0,0,30,0,0,8204
63925086698.6366,1,1,0,0,0,0,0,30,0,0,8204
63925086698.7372,1,1,0,0,0,0,0,30,0,0,8204
63925086698.8367,1,1,0,0,0,0,0,30,0,0,8204
63925086698.9542,1,1,0,0,0,0,0,30,0,0,8204
63925086699.0548,1,1,0,0,0,0,0,30,0,0,8204
63925086699.1554,1,1,0,0,0,0,0,30,0,0,8204
63925086699.2549,1,1,0,0,0,0,0,30,0,0,8204
63925086699.3558,1,1,0,0,0,0,0,30,0,0,8204
63925086699.4555,1,1,0,0,0,0,0,30,0,0,8204
63925086699.5555,1,1,0,0,0,0,0,30,0,0,8204
63925086699.6561,1,1,0,0,0,0,0,30,0,0,8204
63925086699.7572,1,1,0,0,0,0,0,30,0,0,8204
63925086699.8568,1,1,0,0,0,0,0,30,0,0,8204
63925086699.958,1,1,0,0,0,0,0,30,0,0,8204
63925086700.0756,1,1,0,0,0,0,0,30,0,0,8204
63925086700.1918,1,1,0,0,0,0,0,30,0,0,8204
63925086700.2931,1,1,0,0,0,0,0,30,0,0,8204
63925086700.3934,1,1,0,0,0,0,0,30,0,0,8204
63925086700.5009,1,1,0,0,0,0,0,30,0,0,8204
63925086700.6015,1,1,0,0,0,0,0,30,0,0,8204
63925086700.7027,1,1,0,0,0,0,0,30,0,0,8204
63925086700.8045,1,1,0,0,0,0,0,30,0,0,8204
63925086700.9208,1,1,0,0,0,0,0,30,0,0,8204
63925086701.0221,1,1,0,0,0,0,0,30,0,0,8204
63925086701.1214,1,1,0,0,0,0,0,30,0,0,8204
63925086701.2378,1,1,0,0,0,0,0,30,0,0,8204
63925086701.3383,1,1,0,0,0,0,0,30,0,0,8204
63925086701.4402,1,1,0,0,0,0,0,30,0,0,8204
63925086701.5417,1,1,0,0,0,0,0,30,0,0,8204
63925086701.6437,1,1,0,0,0,0,0,30,0,0,8204
63925086701.7446,1,1,0,0,0,0,0,30,0,0,8204
63925086701.8465,1,1,0,0,0,0,0,30,0,0,8204
63925086701.9481,1,1,0,0,0,0,0,30,0,0,8204
63925086702.0493,1,1,0,0,0,0,0,30,0,0,8204
63925086702.1492,1,1,0,0,0,0,0,30,0,0,8204
63925086702.251,1,1,0,0,0,0,0,30,0,0,8204
63925086702.3521,1,1,0,0,0,0,0,30,0,0,8204
63925086702.465,1,1,0,0,0,0,0,30,0,0,8204
63925086702.5666,1,1,0,0,0,0,0,30,0,0,8204
63925086702.6662,1,1,0,0,0,0,0,30,0,0,8204
63925086702.7668,1,1,0,0,0,0,0,30,0,0,8204
63925086702.8793,1,1,0,0,0,0,0,30,0,0,8204
63925086702.9794,1,1,0,0,0,0,0,30,0,0,8204
63925086703.0952,1,1,0,0,0,0,0,30,0,0,8204
63925086703.6121,1,1,0,0,0,0,0,30,0,0,8204
63925086703.7145,1,1,0,0,0,0,0,30,0,0,8204
63925086703.8154,1,1,0,0,0,0,0,30,0,0,8204
63925086703.9163,1,1,0,0,0,0,0,30,0,0,8204
63925086704.0174,1,1,0,0,0,0,0,30,0,0,8204
63925086704.1177,1,1,0,0,0,0,0,30,0,0,8204
63925086704.218,1,1,0,0,0,0,0,30,0,0,8204
63925086704.3184,1,1,0,0,0,0,0,30,0,0,8204
63925086704.4188,1,1,0,0,0,0,0,30,0,0,8204
63925086704.5185,1,1,0,0,0,0,0,30,0,0,8204
63925086704.6186,1,1,0,0,0,0,0,30,0,0,8204
63925086704.7193,1,1,0,0,0,0,0,30,0,0,8204
63925086704.8202,1,1,0,0,0,0,0,30,0,0,8204
63925086704.9202,1,1,0,0,0,0,0,30,0,0,8204
63925086705.0201,1,1,0,0,0,0,0,30,0,0,8204
63925086705.1207,1,1,0,0,0,0,0,30,0,0,8204
63925086705.2213,1,1,0,0,0,0,0,30,0,0,8204
63925086705.3212,1,1,0,0,0,0,0,30,0,0,8204
63925086705.438,1,1,0,0,0,0,0,30,0,0,8204
63925086705.5385,1,1,0,0,0,0,0,30,0,0,8204
63925086705.6385,1,1,0,0,0,0,0,30,0,0,8204
63925086705.7387,1,1,0,0,0,0,0,30,0,0,8204
63925086705.8395,1,1,0,0,0,0,0,30,0,0,8204
63925086705.9403,1,1,0,0,0,0,0,30,0,0,8204
63925086706.0414,1,1,0,0,0,0,0,30,0,0,8204
63925086706.1414,1,1,0,0,0,0,0,30,0,0,8204
63925086706.2423,1,1,0,0,0,0,0,30,0,0,8204
63925086706.3424,1,1,0,0,0,0,0,30,0,0,8204
63925086706.4439,1,1,0,0,0,0,0,30,0,0,8204
63925086706.5443,1,1,0,0,0,0,0,30,0,0,8204
63925086706.6449,1,1,0,0,0,0,0,30,0,0,8204
63925086706.7451,1,1,0,0,0,0,0,30,0,0,8204
63925086706.8479,1,1,0,1,1,0,1,29.94,0,0,8204
63925086706.9478,1,1,0,1,1,0,1,29.84,0,0,8204
63925086707.048,1,1,0,1,1,0,1,29.73999,0,0,8204
63925086707.1483,1,1,0,1,1,0,1,29.63999,0,0,8204
63925086707.2487,1,1,0,1,1,0,1,29.53999,0,0,8204
63925086707.3499,1,1,0,1,1,0,1,29.43999,0,0,8204
63925086707.4504,1,1,0,1,1,0,1,29.33998,0,0,8204
63925086707.5505,1,1,0,1,1,0,1,29.23998,0,0,8204
63925086707.6508,1,1,0,1,1,0,1,29.13998,0,0,8204
63925086707.7676,1,1,0,1,1,0,1,29.01998,0,0,8204
63925086707.8682,1,1,0,1,1,0,1,28.91998,0,0,8204
63925086707.9681,1,1,0,1,1,0,1,28.81997,0,0,8204
63925086708.0689,1,1,0,1,1,0,1,28.71997,0,0,8204
63925086708.1695,1,1,0,1,1,0,1,28.61997,0,0,8204
63925086708.2694,1,1,0,1,1,0,1,28.51997,0,0,8204
63925086708.3708,1,1,0,1,1,0,1,28.41996,0,0,8204
63925086708.4713,1,1,0,1,1,0,1,28.31996,0,0,8204
63925086708.5879,1,1,0,1,1,0,1,28.19996,0,0,8204
63925086708.7046,1,1,0,1,1,0,1,28.07996,0,0,8204
63925086708.805,1,1,0,1,1,0,1,27.97995,0,0,8204
63925086708.9051,1,1,0,1,1,0,1,27.87995,0,0,8204
63925086709.0057,1,1,0,1,1,0,1,27.77995,0,0,8204
63925086709.1063,1,1,0,1,1,0,1,27.67995,0,0,8204
63925086709.2062,1,1,0,1,1,0,1,27.57994,0,0,8204
63925086709.307,1,1,0,1,1,0,1,27.47994,0,0,8204
63925086709.4068,1,1,0,1,1,0,1,27.37994,0,0,8204
63925086709.5082,1,1,0,1,1,0,1,27.27994,0,0,8204
63925086709.6084,1,1,0,1,1,0,1,27.17994,0,0,8204
63925086709.7248,1,1,0,1,1,0,1,27.05993,0,0,8204
63925086709.8267,1,1,0,1,1,0,1,26.95993,0,0,8204
63925086709.9269,1,1,0,1,1,0,1,26.85993,0,0,8204
63925086710.028,1,1,0,1,1,0,1,26.75993,0,0,8204
63925086710.1287,1,1,0,1,1,0,1,26.65992,0,0,8204
63925086710.229,1,1,0,1,1,0,1,26.55992,0,0,8204
63925086710.3457,1,1,0,1,1,0,1,26.43992,0,0,8204
63925086710.446,1,1,0,1,1,0,1,26.33992,0,0,8204
63925086710.5467,1,1,0,1,1,0,1,26.23991,0,0,8204
63925086710.6467,1,1,0,1,1,0,1,26.13991,0,0,8204
63925086710.7481,1,1,0,1,1,0,1,26.03991,0,0,8204
63925086710.8485,1,1,0,1,1,0,1,25.93991,0,0,8204
63925086710.9489,1,1,0,1,1,0,1,25.8399,0,0,8204
63925086711.0491,1,1,0,1,1,0,1,25.7399,0,0,8204
63925086711.1499,1,1,0,1,1,0,1,25.6399,0,0,8204
63925086711.2511,1,1,0,1,1,0,1,25.5399,0,0,8204
63925086711.3677,1,1,0,1,1,0,1,25.4199,0,0,8204
63925086711.4689,1,1,0,1,1,0,1,25.31989,0,0,8204
63925086711.5705,1,1,0,1,1,0,1,25.21989,0,0,8204
63925086711.6711,1,1,0,1,1,0,1,25.11989,0,0,8204
63925086711.7876,1,1,0,1,1,0,1,24.99989,0,0,8204
63925086711.8875,1,1,0,1,1,0,1,24.89988,0,0,8204
63925086711.9877,1,1,0,1,1,0,1,24.79988,0,0,8204
63925086712.0883,1,1,0,1,1,0,1,24.69988,0,0,8204
63925086712.1887,1,1,0,1,1,0,1,24.59988,0,0,8204
