wall,networked,host,slot,round,active,warmup,inProgress,left,cycle,intermissions,pid
63925086792.1492,1,0,0,0,0,0,0,90,0,0,2356
63925086793.6989,1,0,0,0,0,0,0,30,0,0,2356
63925086793.8367,1,0,0,0,0,0,0,30,0,0,2356
63925086793.9531,1,0,0,0,0,0,0,30,0,0,2356
63925086794.0688,1,0,0,0,0,0,0,30,0,0,2356
63925086794.1697,1,0,0,0,0,0,0,30,0,0,2356
63925086794.2824,1,0,1,0,0,0,0,30,0,0,2356
63925086794.3891,1,0,1,0,0,0,0,30,0,0,2356
63925086794.4892,1,0,1,0,0,0,0,30,0,0,2356
63925086794.5897,1,0,1,0,0,0,0,30,0,0,2356
63925086794.6969,1,0,1,0,0,0,0,30,0,0,2356
63925086794.7976,1,0,1,0,0,0,0,30,0,0,2356
63925086794.8973,1,0,1,0,0,0,0,30,0,0,2356
63925086795.0143,1,0,1,0,0,0,0,30,0,0,2356
63925086795.115,1,0,1,0,0,0,0,30,0,0,2356
63925086795.2146,1,0,1,0,0,0,0,30,0,0,2356
63925086795.6782,1,0,1,0,0,0,0,30,0,0,2356
63925086795.7814,1,0,1,0,0,0,0,30,0,0,2356
63925086795.8824,1,0,1,0,0,0,0,30,0,0,2356
63925086795.9818,1,0,1,0,0,0,0,30,0,0,2356
63925086796.0825,1,0,1,0,0,0,0,30,0,0,2356
63925086796.183,1,0,1,0,0,0,0,30,0,0,2356
63925086796.2833,1,0,1,0,0,0,0,30,0,0,2356
63925086796.385,1,0,1,0,0,0,0,30,0,0,2356
63925086796.4861,1,0,1,0,0,0,0,30,0,0,2356
63925086796.5865,1,0,1,0,0,0,0,30,0,0,2356
63925086796.6864,1,0,1,0,0,0,0,30,0,0,2356
63925086796.7884,1,0,1,0,0,0,0,30,0,0,2356
63925086796.8889,1,0,1,0,0,0,0,30,0,0,2356
63925086796.9901,1,0,1,0,0,0,0,30,0,0,2356
63925086797.0902,1,0,1,0,0,0,0,30,0,0,2356
63925086797.192,1,0,1,0,0,0,0,30,0,0,2356
63925086797.2917,1,0,1,0,0,0,0,30,0,0,2356
63925086797.3933,1,0,1,0,0,0,0,30,0,0,2356
63925086797.4932,1,0,1,0,0,0,0,30,0,0,2356
63925086797.5943,1,0,1,0,0,0,0,30,0,0,2356
63925086797.7106,1,0,1,0,0,0,0,30,0,0,2356
63925086797.8108,1,0,1,0,0,0,0,30,0,0,2356
63925086797.9112,1,0,1,0,0,0,0,30,0,0,2356
63925086798.0116,1,0,1,0,0,0,0,30,0,0,2356
63925086798.1117,1,0,1,0,0,0,0,30,0,0,2356
63925086798.2113,1,0,1,0,0,0,0,30,0,0,2356
63925086798.312,1,0,1,0,0,0,0,30,0,0,2356
63925086798.412,1,0,1,0,0,0,0,30,0,0,2356
63925086798.5125,1,0,1,0,0,0,0,30,0,0,2356
63925086798.6123,1,0,1,0,0,0,0,30,0,0,2356
63925086798.7155,1,0,1,1,1,0,1,29.77999,0,0,2356
63925086798.8152,1,0,1,1,1,0,1,29.67999,0,0,2356
63925086798.9153,1,0,1,1,1,0,1,29.57999,0,0,2356
63925086799.0317,1,0,1,1,1,0,1,29.45999,0,0,2356
63925086799.1329,1,0,1,1,1,0,1,29.35999,0,0,2356
63925086799.2328,1,0,1,1,1,0,1,29.25998,0,0,2356
63925086799.3342,1,0,1,1,1,0,1,29.15998,0,0,2356
63925086799.4354,1,0,1,1,1,0,1,29.05998,0,0,2356
63925086799.5371,1,0,1,1,1,0,1,28.95998,0,0,2356
63925086799.6524,1,0,1,1,1,0,1,28.83997,0,0,2356
63925086799.7523,1,0,1,1,1,0,1,28.73997,0,0,2356
63925086799.8529,1,0,1,1,1,0,1,28.61997,0,0,2356
63925086799.9533,1,0,1,1,1,0,1,28.51997,0,0,2356
63925086800.0539,1,0,1,1,1,0,1,28.43996,0,0,2356
