wall,networked,host,slot,round,active,warmup,inProgress,left,cycle,intermissions,pid
63925086788.2141,1,1,0,0,0,0,0,90,0,0,7188
63925086789.7849,1,1,0,0,0,0,0,30,0,0,7188
63925086789.9119,1,1,0,0,0,0,0,30,0,0,7188
63925086790.0289,1,1,0,0,0,0,0,30,0,0,7188
63925086790.1299,1,1,0,0,0,0,0,30,0,0,7188
63925086790.2304,1,1,0,0,0,0,0,30,0,0,7188
63925086790.3309,1,1,0,0,0,0,0,30,0,0,7188
63925086790.4309,1,1,0,0,0,0,0,30,0,0,7188
63925086790.5315,1,1,0,0,0,0,0,30,0,0,7188
63925086790.6321,1,1,0,0,0,0,0,30,0,0,7188
63925086790.7329,1,1,0,0,0,0,0,30,0,0,7188
63925086790.8336,1,1,0,0,0,0,0,30,0,0,7188
63925086790.9339,1,1,0,0,0,0,0,30,0,0,7188
63925086791.0341,1,1,0,0,0,0,0,30,0,0,7188
63925086791.1344,1,1,0,0,0,0,0,30,0,0,7188
63925086791.2357,1,1,0,0,0,0,0,30,0,0,7188
63925086791.3358,1,1,0,0,0,0,0,30,0,0,7188
63925086791.4361,1,1,0,0,0,0,0,30,0,0,7188
63925086791.5364,1,1,0,0,0,0,0,30,0,0,7188
63925086791.6374,1,1,0,0,0,0,0,30,0,0,7188
63925086791.7378,1,1,0,0,0,0,0,30,0,0,7188
63925086791.8385,1,1,0,0,0,0,0,30,0,0,7188
63925086791.9386,1,1,0,0,0,0,0,30,0,0,7188
63925086792.0388,1,1,0,0,0,0,0,30,0,0,7188
63925086792.139,1,1,0,0,0,0,0,30,0,0,7188
63925086792.2393,1,1,0,0,0,0,0,30,0,0,7188
63925086792.3415,1,1,0,0,0,0,0,30,0,0,7188
63925086792.4419,1,1,0,0,0,0,0,30,0,0,7188
63925086792.5585,1,1,0,0,0,0,0,30,0,0,7188
63925086792.6751,1,1,0,0,0,0,0,30,0,0,7188
63925086792.7759,1,1,0,0,0,0,0,30,0,0,7188
63925086792.8763,1,1,0,0,0,0,0,30,0,0,7188
63925086792.9774,1,1,0,0,0,0,0,30,0,0,7188
63925086793.0774,1,1,0,0,0,0,0,30,0,0,7188
63925086793.1778,1,1,0,0,0,0,0,30,0,0,7188
63925086793.2781,1,1,0,0,0,0,0,30,0,0,7188
63925086793.3786,1,1,0,0,0,0,0,30,0,0,7188
63925086793.4783,1,1,0,0,0,0,0,30,0,0,7188
63925086793.5788,1,1,0,0,0,0,0,30,0,0,7188
63925086793.6793,1,1,0,0,0,0,0,30,0,0,7188
63925086793.7791,1,1,0,0,0,0,0,30,0,0,7188
63925086793.8798,1,1,0,0,0,0,0,30,0,0,7188
63925086793.9801,1,1,0,0,0,0,0,30,0,0,7188
63925086794.0954,1,1,0,0,0,0,0,30,0,0,7188
63925086794.1954,1,1,0,0,0,0,0,30,0,0,7188
63925086794.296,1,1,0,0,0,0,0,30,0,0,7188
63925086794.4126,1,1,0,0,0,0,0,30,0,0,7188
63925086794.5212,1,1,0,0,0,0,0,30,0,0,7188
63925086794.6211,1,1,0,0,0,0,0,30,0,0,7188
63925086794.722,1,1,0,0,0,0,0,30,0,0,7188
63925086795.1535,1,1,0,0,0,0,0,30,0,0,7188
63925086795.2562,1,1,0,0,0,0,0,30,0,0,7188
63925086795.3577,1,1,0,0,0,0,0,30,0,0,7188
63925086795.4594,1,1,0,0,0,0,0,30,0,0,7188
63925086795.5594,1,1,0,0,0,0,0,30,0,0,7188
63925086795.6614,1,1,0,0,0,0,0,30,0,0,7188
63925086795.7612,1,1,0,0,0,0,0,30,0,0,7188
63925086795.8622,1,1,0,0,0,0,0,30,0,0,7188
63925086795.9625,1,1,0,0,0,0,0,30,0,0,7188
63925086796.063,1,1,0,0,0,0,0,30,0,0,7188
63925086796.163,1,1,0,0,0,0,0,30,0,0,7188
63925086796.2641,1,1,0,0,0,0,0,30,0,0,7188
63925086796.3654,1,1,0,0,0,0,0,30,0,0,7188
63925086796.4656,1,1,0,0,0,0,0,30,0,0,7188
63925086796.567,1,1,0,0,0,0,0,30,0,0,7188
63925086796.6674,1,1,0,0,0,0,0,30,0,0,7188
63925086796.7681,1,1,0,0,0,0,0,30,0,0,7188
63925086796.8692,1,1,0,0,0,0,0,30,0,0,7188
63925086796.9696,1,1,0,0,0,0,0,30,0,0,7188
63925086797.0705,1,1,0,0,0,0,0,30,0,0,7188
63925086797.1706,1,1,0,0,0,0,0,30,0,0,7188
63925086797.2712,1,1,0,0,0,0,0,30,0,0,7188
63925086797.3716,1,1,0,0,0,0,0,30,0,0,7188
63925086797.4726,1,1,0,0,0,0,0,30,0,0,7188
63925086797.5726,1,1,0,0,0,0,0,30,0,0,7188
63925086797.6735,1,1,0,0,0,0,0,30,0,0,7188
63925086797.7896,1,1,0,0,0,0,0,30,0,0,7188
63925086797.891,1,1,0,0,0,0,0,30,0,0,7188
63925086797.9916,1,1,0,0,0,0,0,30,0,0,7188
63925086798.0924,1,1,0,0,0,0,0,30,0,0,7188
63925086798.1917,1,1,0,0,0,0,0,30,0,0,7188
63925086798.2921,1,1,0,0,0,0,0,30,0,0,7188
63925086798.3946,1,1,0,1,1,0,1,29.96,0,0,7188
63925086798.4953,1,1,0,1,1,0,1,29.86,0,0,7188
63925086798.5962,1,1,0,1,1,0,1,29.75999,0,0,7188
63925086798.6962,1,1,0,1,1,0,1,29.65999,0,0,7188
63925086798.7966,1,1,0,1,1,0,1,29.55999,0,0,7188
63925086798.8991,1,1,0,1,1,0,1,29.43999,0,0,7188
63925086798.9986,1,1,0,1,1,0,1,29.33998,0,0,7188
63925086799.0993,1,1,0,1,1,0,1,29.23998,0,0,7188
63925086799.1991,1,1,0,1,1,0,1,29.13998,0,0,7188
63925086799.3006,1,1,0,1,1,0,1,29.03998,0,0,7188
63925086799.4016,1,1,0,1,1,0,1,28.93998,0,0,7188
63925086799.5019,1,1,0,1,1,0,1,28.83997,0,0,7188
63925086799.6189,1,1,0,1,1,0,1,28.71997,0,0,7188
63925086799.7192,1,1,0,1,1,0,1,28.61997,0,0,7188
63925086799.8354,1,1,0,1,1,0,1,28.51997,0,0,7188
63925086799.9361,1,1,0,1,1,0,1,28.41996,0,0,7188
63925086800.0362,1,1,0,1,1,0,1,28.31996,0,0,7188
63925086800.1369,1,1,0,1,1,0,1,28.21996,0,0,7188
63925086800.2373,1,1,0,1,1,0,1,28.11996,0,0,7188
63925086800.339,1,1,0,1,1,0,1,27.99995,0,0,7188
63925086800.4402,1,1,0,1,1,0,1,27.89995,0,0,7188
63925086800.5408,1,1,0,1,1,0,1,27.79995,0,0,7188
63925086800.6423,1,1,0,1,1,0,1,27.69995,0,0,7188
63925086800.758,1,1,0,1,1,0,1,27.59995,0,0,7188
63925086800.8594,1,1,0,1,1,0,1,27.47994,0,0,7188
63925086800.9593,1,1,0,1,1,0,1,27.37994,0,0,7188
63925086801.0765,1,1,0,1,1,0,1,27.27994,0,0,7188
63925086801.1762,1,1,0,1,1,0,1,27.17994,0,0,7188
63925086801.2771,1,1,0,1,1,0,1,27.07993,0,0,7188
63925086801.3784,1,1,0,1,1,0,1,26.97993,0,0,7188
63925086801.4777,1,1,0,1,1,0,1,26.87993,0,0,7188
63925086801.5787,1,1,0,1,1,0,1,26.75993,0,0,7188
63925086801.6797,1,1,0,1,1,0,1,26.65992,0,0,7188
63925086801.7802,1,1,0,1,1,0,1,26.55992,0,0,7188
63925086801.8808,1,1,0,1,1,0,1,26.45992,0,0,7188
63925086801.9809,1,1,0,1,1,0,1,26.35992,0,0,7188
63925086802.0819,1,1,0,1,1,0,1,26.25991,0,0,7188
63925086802.1818,1,1,0,1,1,0,1,26.15991,0,0,7188
63925086802.282,1,1,0,1,1,0,1,26.05991,0,0,7188
63925086802.3823,1,1,0,1,1,0,1,25.95991,0,0,7188
63925086802.483,1,1,0,1,1,0,1,25.85991,0,0,7188
63925086802.5837,1,1,0,1,1,0,1,25.7599,0,0,7188
63925086802.6842,1,1,0,1,1,0,1,25.6599,0,0,7188
63925086802.784,1,1,0,1,1,0,1,25.5599,0,0,7188
63925086802.8848,1,1,0,1,1,0,1,25.4599,0,0,7188
63925086802.986,1,1,0,1,1,0,1,25.35989,0,0,7188
63925086803.0866,1,1,0,1,1,0,1,25.25989,0,0,7188
63925086803.1876,1,1,0,1,1,0,1,25.15989,0,0,7188
63925086803.2878,1,1,0,1,1,0,1,25.05989,0,0,7188
63925086803.3881,1,1,0,1,1,0,1,24.95988,0,0,7188
63925086803.5055,1,1,0,1,1,0,1,24.83988,0,0,7188
63925086803.6223,1,1,0,1,1,0,1,24.71988,0,0,7188
63925086803.7236,1,1,0,1,1,0,1,24.61988,0,0,7188
63925086803.8246,1,1,0,1,1,0,1,24.51987,0,0,7188
63925086803.9249,1,1,0,1,1,0,1,24.41987,0,0,7188
63925086804.025,1,1,0,1,1,0,1,24.31987,0,0,7188
63925086804.1258,1,1,0,1,1,0,1,24.21987,0,0,7188
63925086804.2254,1,1,0,1,1,0,1,24.11987,0,0,7188
63925086804.3261,1,1,0,1,1,0,1,24.01986,0,0,7188
63925086804.4267,1,1,0,1,1,0,1,23.91986,0,0,7188
63925086804.5272,1,1,0,1,1,0,1,23.81986,0,0,7188
63925086804.627,1,1,0,1,1,0,1,23.71986,0,0,7188
63925086804.7271,1,1,0,1,1,0,1,23.61985,0,0,7188
63925086804.8271,1,1,0,1,1,0,1,23.51985,0,0,7188
63925086804.9275,1,1,0,1,1,0,1,23.41985,0,0,7188
63925086805.0286,1,1,0,1,1,0,1,23.31985,0,0,7188
63925086805.1281,1,1,0,1,1,0,1,23.21984,0,0,7188
63925086805.229,1,1,0,1,1,0,1,23.11984,0,0,7188
63925086805.3452,1,1,0,1,1,0,1,22.99984,0,0,7188
63925086805.446,1,1,0,1,1,0,1,22.89984,0,0,7188
63925086805.5466,1,1,0,1,1,0,1,22.79984,0,0,7188
63925086805.6466,1,1,0,1,1,0,1,22.69983,0,0,7188
63925086805.7476,1,1,0,1,1,0,1,22.59983,0,0,7188
63925086805.8477,1,1,0,1,1,0,1,22.49983,0,0,7188
63925086805.9475,1,1,0,1,1,0,1,22.39983,0,0,7188
63925086806.0481,1,1,0,1,1,0,1,22.29982,0,0,7188
63925086806.1495,1,1,0,1,1,0,1,22.19982,0,0,7188
63925086806.2495,1,1,0,1,1,0,1,22.09982,0,0,7188
63925086806.3505,1,1,0,1,1,0,1,21.99982,0,0,7188
63925086806.4511,1,1,0,1,1,0,1,21.89981,0,0,7188
63925086806.551,1,1,0,1,1,0,1,21.79981,0,0,7188
63925086806.6517,1,1,0,1,1,0,1,21.69981,0,0,7188
63925086806.76,1,1,0,1,1,0,1,21.57981,0,0,7188
63925086806.8605,1,1,0,1,1,0,1,21.4798,0,0,7188
63925086806.9616,1,1,0,1,1,0,1,21.3798,0,0,7188
63925086807.0629,1,1,0,1,1,0,1,21.2798,0,0,7188
63925086807.1784,1,1,0,1,1,0,1,21.1598,0,0,7188
63925086807.2798,1,1,0,1,1,0,1,21.0598,0,0,7188
63925086807.3805,1,1,0,1,1,0,1,20.95979,0,0,7188
63925086807.4808,1,1,0,1,1,0,1,20.85979,0,0,7188
63925086807.5812,1,1,0,1,1,0,1,20.75979,0,0,7188
63925086807.6819,1,1,0,1,1,0,1,20.65979,0,0,7188
63925086807.7835,1,1,0,1,1,0,1,20.55978,0,0,7188
63925086807.8838,1,1,0,1,1,0,1,20.45978,0,0,7188
63925086807.984,1,1,0,1,1,0,1,20.35978,0,0,7188
63925086808.0845,1,1,0,1,1,0,1,20.25978,0,0,7188
63925086808.1847,1,1,0,1,1,0,1,20.15977,0,0,7188
63925086808.285,1,1,0,1,1,0,1,20.05977,0,0,7188
63925086808.3849,1,1,0,1,1,0,1,19.95977,0,0,7188
63925086808.4854,1,1,0,1,1,0,1,19.85977,0,0,7188
63925086808.5851,1,1,0,1,1,0,1,19.75977,0,0,7188
63925086808.6857,1,1,0,1,1,0,1,19.65976,0,0,7188
63925086808.786,1,1,0,1,1,0,1,19.55976,0,0,7188
63925086808.8866,1,1,0,1,1,0,1,19.45976,0,0,7188
63925086808.9873,1,1,0,1,1,0,1,19.35976,0,0,7188
63925086809.1036,1,1,0,1,1,0,1,19.23975,0,0,7188
63925086809.2045,1,1,0,1,1,0,1,19.13975,0,0,7188
63925086809.3052,1,1,0,1,1,0,1,19.03975,0,0,7188
63925086809.405,1,1,0,1,1,0,1,18.93975,0,0,7188
63925086809.5063,1,1,0,1,1,0,1,18.83974,0,0,7188
63925086809.6062,1,1,0,1,1,0,1,18.73974,0,0,7188
63925086809.7072,1,1,0,1,1,0,1,18.63974,0,0,7188
63925086809.8075,1,1,0,1,1,0,1,18.53974,0,0,7188
63925086809.9093,1,1,0,1,1,0,1,18.43974,0,0,7188
63925086810.0095,1,1,0,1,1,0,1,18.33973,0,0,7188
63925086810.1096,1,1,0,1,1,0,1,18.23973,0,0,7188
63925086810.2102,1,1,0,1,1,0,1,18.13973,0,0,7188
63925086810.3111,1,1,0,1,1,0,1,18.03973,0,0,7188
63925086810.4116,1,1,0,1,1,0,1,17.93972,0,0,7188
63925086810.5121,1,1,0,1,1,0,1,17.83972,0,0,7188
63925086810.6121,1,1,0,1,1,0,1,17.73972,0,0,7188
63925086810.7141,1,1,0,1,1,0,1,17.63972,0,0,7188
63925086810.8147,1,1,0,1,1,0,1,17.53971,0,0,7188
63925086810.9149,1,1,0,1,1,0,1,17.43971,0,0,7188
63925086811.015,1,1,0,1,1,0,1,17.33971,0,0,7188
63925086811.1173,1,1,0,1,1,0,1,17.23971,0,0,7188
63925086811.2342,1,1,0,1,1,0,1,17.11971,0,0,7188
63925086811.3347,1,1,0,1,1,0,1,17.0197,0,0,7188
63925086811.435,1,1,0,1,1,0,1,16.9197,0,0,7188
63925086811.5349,1,1,0,1,1,0,1,16.8197,0,0,7188
63925086811.6524,1,1,0,1,1,0,1,16.6997,0,0,7188
63925086811.7535,1,1,0,1,1,0,1,16.59969,0,0,7188
63925086811.8546,1,1,0,1,1,0,1,16.49969,0,0,7188
63925086811.9546,1,1,0,1,1,0,1,16.39969,0,0,7188
63925086812.0548,1,1,0,1,1,0,1,16.29969,0,0,7188
63925086812.1558,1,1,0,1,1,0,1,16.19968,0,0,7188
63925086812.2563,1,1,0,1,1,0,1,16.09968,0,0,7188
63925086812.3578,1,1,0,1,1,0,1,15.99968,0,0,7188
63925086812.4582,1,1,0,1,1,0,1,15.89968,0,0,7188
63925086812.5583,1,1,0,1,1,0,1,15.79967,0,0,7188
63925086812.6756,1,1,0,1,1,0,1,15.67967,0,0,7188
63925086812.7924,1,1,0,1,1,0,1,15.55967,0,0,7188
63925086812.8924,1,1,0,1,1,0,1,15.45967,0,0,7188
63925086812.9939,1,1,0,1,1,0,1,15.35966,0,0,7188
63925086813.0942,1,1,0,1,1,0,1,15.25966,0,0,7188
63925086813.1943,1,1,0,1,1,0,1,15.15966,0,0,7188
63925086813.2947,1,1,0,1,1,0,1,15.05966,0,0,7188
63925086813.3949,1,1,0,1,1,0,1,14.95966,0,0,7188
63925086813.4952,1,1,0,1,1,0,1,14.85965,0,0,7188
63925086813.5949,1,1,0,1,1,0,1,14.75965,0,0,7188
63925086813.6954,1,1,0,1,1,0,1,14.65965,0,0,7188
63925086813.812,1,1,0,1,1,0,1,14.53965,0,0,7188
63925086813.9289,1,1,0,1,1,0,1,14.41964,0,0,7188
63925086814.029,1,1,0,1,1,0,1,14.31964,0,0,7188
63925086814.1461,1,1,0,1,1,0,1,14.19964,0,0,7188
63925086814.2626,1,1,0,1,1,0,1,14.07964,0,0,7188
63925086814.3797,1,1,0,1,1,0,1,13.95963,0,0,7188
63925086814.4797,1,1,0,1,1,0,1,13.85963,0,0,7188
63925086814.5802,1,1,0,1,1,0,1,13.75963,0,0,7188
63925086814.6812,1,1,0,1,1,0,1,13.65963,0,0,7188
63925086814.7813,1,1,0,1,1,0,1,13.55962,0,0,7188
63925086814.8824,1,1,0,1,1,0,1,13.45962,0,0,7188
63925086814.9818,1,1,0,1,1,0,1,13.35962,0,0,7188
63925086815.084,1,1,0,1,1,0,1,13.25962,0,0,7188
63925086815.1844,1,1,0,1,1,0,1,13.15961,0,0,7188
63925086815.2848,1,1,0,1,1,0,1,13.05961,0,0,7188
63925086815.3852,1,1,0,1,1,0,1,12.95961,0,0,7188
63925086815.4853,1,1,0,1,1,0,1,12.85961,0,0,7188
63925086815.586,1,1,0,1,1,0,1,12.75961,0,0,7188
63925086815.6867,1,1,0,1,1,0,1,12.6596,0,0,7188
63925086815.8033,1,1,0,1,1,0,1,12.5396,0,0,7188
63925086815.9037,1,1,0,1,1,0,1,12.4396,0,0,7188
63925086816.0037,1,1,0,1,1,0,1,12.3396,0,0,7188
63925086816.1049,1,1,0,1,1,0,1,12.23959,0,0,7188
63925086816.2044,1,1,0,1,1,0,1,12.13959,0,0,7188
63925086816.3215,1,1,0,1,1,0,1,12.01959,0,0,7188
63925086816.421,1,1,0,1,1,0,1,11.91959,0,0,7188
63925086816.5218,1,1,0,1,1,0,1,11.81958,0,0,7188
63925086816.6222,1,1,0,1,1,0,1,11.71958,0,0,7188
63925086816.7226,1,1,0,1,1,0,1,11.61958,0,0,7188
63925086816.8227,1,1,0,1,1,0,1,11.51958,0,0,7188
63925086816.9234,1,1,0,1,1,0,1,11.41957,0,0,7188
63925086817.024,1,1,0,1,1,0,1,11.31957,0,0,7188
63925086817.1238,1,1,0,1,1,0,1,11.21957,0,0,7188
63925086817.2245,1,1,0,1,1,0,1,11.11957,0,0,7188
63925086817.3418,1,1,0,1,1,0,1,10.99957,0,0,7188
63925086817.4418,1,1,0,1,1,0,1,10.89956,0,0,7188
63925086817.5421,1,1,0,1,1,0,1,10.79956,0,0,7188
63925086817.642,1,1,0,1,1,0,1,10.69956,0,0,7188
63925086817.742,1,1,0,1,1,0,1,10.59956,0,0,7188
63925086817.8432,1,1,0,1,1,0,1,10.49955,0,0,7188
63925086817.9437,1,1,0,1,1,0,1,10.39955,0,0,7188
63925086818.0444,1,1,0,1,1,0,1,10.29955,0,0,7188
63925086818.1446,1,1,0,1,1,0,1,10.19955,0,0,7188
63925086818.2444,1,1,0,1,1,0,1,10.09954,0,0,7188
63925086818.3458,1,1,0,1,1,0,1,9.999542,0,0,7188
63925086818.4456,1,1,0,1,1,0,1,9.89954,0,0,7188
63925086818.5464,1,1,0,1,1,0,1,9.799538,0,0,7188
63925086818.6471,1,1,0,1,1,0,1,9.699535,0,0,7188
63925086818.748,1,1,0,1,1,0,1,9.599533,0,0,7188
63925086818.8488,1,1,0,1,1,0,1,9.499531,0,0,7188
63925086818.95,1,1,0,1,1,0,1,9.399529,0,0,7188
63925086819.0511,1,1,0,1,1,0,1,9.299526,0,0,7188
63925086819.1677,1,1,0,1,1,0,1,9.179523,0,0,7188
63925086819.2686,1,1,0,1,1,0,1,9.079521,0,0,7188
63925086819.3694,1,1,0,1,1,0,1,8.979519,0,0,7188
63925086819.469,1,1,0,1,1,0,1,8.879517,0,0,7188
63925086819.5704,1,1,0,1,1,0,1,8.779514,0,0,7188
63925086819.6711,1,1,0,1,1,0,1,8.679512,0,0,7188
63925086819.7728,1,1,0,1,1,0,1,8.57951,0,0,7188
63925086819.8736,1,1,0,1,1,0,1,8.479507,0,0,7188
63925086819.9742,1,1,0,1,1,0,1,8.379505,0,0,7188
63925086820.0751,1,1,0,1,1,0,1,8.279503,0,0,7188
63925086820.1747,1,1,0,1,1,0,1,8.179501,0,0,7188
63925086820.2761,1,1,0,1,1,0,1,8.079498,0,0,7188
63925086820.377,1,1,0,1,1,0,1,7.979497,0,0,7188
63925086820.4771,1,1,0,1,1,0,1,7.879497,0,0,7188
63925086820.5787,1,1,0,1,1,0,1,7.759497,0,0,7188
63925086820.6952,1,1,0,1,1,0,1,7.659497,0,0,7188
63925086820.7954,1,1,0,1,1,0,1,7.559497,0,0,7188
63925086820.8949,1,1,0,1,1,0,1,7.459497,0,0,7188
63925086820.996,1,1,0,1,1,0,1,7.359498,0,0,7188
63925086821.1133,1,1,0,1,1,0,1,7.239498,0,0,7188
63925086821.2131,1,1,0,1,1,0,1,7.139498,0,0,7188
63925086821.3142,1,1,0,1,1,0,1,7.039498,0,0,7188
63925086821.4155,1,1,0,1,1,0,1,6.939498,0,0,7188
63925086821.5317,1,1,0,1,1,0,1,6.819498,0,0,7188
63925086821.6324,1,1,0,1,1,0,1,6.719498,0,0,7188
63925086821.7321,1,1,0,1,1,0,1,6.619498,0,0,7188
63925086821.8332,1,1,0,1,1,0,1,6.519498,0,0,7188
63925086821.9342,1,1,0,1,1,0,1,6.419498,0,0,7188
63925086822.035,1,1,0,1,1,0,1,6.319499,0,0,7188
63925086822.1353,1,1,0,1,1,0,1,6.219499,0,0,7188
63925086822.2514,1,1,0,1,1,0,1,6.099499,0,0,7188
63925086822.3523,1,1,0,1,1,0,1,5.999499,0,0,7188
63925086822.4546,1,1,0,1,1,0,1,5.899499,0,0,7188
63925086822.5552,1,1,0,1,1,0,1,5.799499,0,0,7188
63925086822.6556,1,1,0,1,1,0,1,5.699499,0,0,7188
63925086822.7552,1,1,0,1,1,0,1,5.599499,0,0,7188
63925086822.8558,1,1,0,1,1,0,1,5.499499,0,0,7188
63925086822.9563,1,1,0,1,1,0,1,5.399499,0,0,7188
63925086823.056,1,1,0,1,1,0,1,5.2995,0,0,7188
63925086823.1579,1,1,0,1,1,0,1,5.1995,0,0,7188
63925086823.2575,1,1,0,1,1,0,1,5.0995,0,0,7188
63925086823.3586,1,1,0,1,1,0,1,4.9795,0,0,7188
63925086823.4591,1,1,0,1,1,0,1,4.8795,0,0,7188
63925086823.559,1,1,0,1,1,0,1,4.7795,0,0,7188
63925086823.6598,1,1,0,1,1,0,1,4.6795,0,0,7188
63925086823.7603,1,1,0,1,1,0,1,4.5795,0,0,7188
63925086823.8763,1,1,0,1,1,0,1,4.4795,0,0,7188
63925086823.9774,1,1,0,1,1,0,1,4.3795,0,0,7188
63925086824.0779,1,1,0,1,1,0,1,4.2795,0,0,7188
63925086824.1774,1,1,0,1,1,0,1,4.179501,0,0,7188
63925086824.2789,1,1,0,1,1,0,1,4.059501,0,0,7188
63925086824.3788,1,1,0,1,1,0,1,3.959501,0,0,7188
63925086824.4802,1,1,0,1,1,0,1,3.859501,0,0,7188
63925086824.5808,1,1,0,1,1,0,1,3.759501,0,0,7188
63925086824.6825,1,1,0,1,1,0,1,3.659501,0,0,7188
63925086824.7827,1,1,0,1,1,0,1,3.559501,0,0,7188
63925086824.884,1,1,0,1,1,0,1,3.459501,0,0,7188
63925086824.984,1,1,0,1,1,0,1,3.359501,0,0,7188
63925086825.085,1,1,0,1,1,0,1,3.259501,0,0,7188
63925086825.1852,1,1,0,1,1,0,1,3.159502,0,0,7188
63925086825.2851,1,1,0,1,1,0,1,3.059502,0,0,7188
63925086825.3854,1,1,0,1,1,0,1,2.959502,0,0,7188
63925086825.5026,1,1,0,1,1,0,1,2.839502,0,0,7188
63925086825.6032,1,1,0,1,1,0,1,2.739502,0,0,7188
63925086825.7042,1,1,0,1,1,0,1,2.639502,0,0,7188
63925086825.8045,1,1,0,1,1,0,1,2.539502,0,0,7188
63925086825.9051,1,1,0,1,1,0,1,2.439502,0,0,7188
63925086826.0059,1,1,0,1,1,0,1,2.339502,0,0,7188
63925086826.1058,1,1,0,1,1,0,1,2.239502,0,0,7188
63925086826.2058,1,1,0,1,1,0,1,2.139503,0,0,7188
63925086826.3064,1,1,0,1,1,0,1,2.039503,0,0,7188
63925086826.4066,1,1,0,1,1,0,1,1.939503,0,0,7188
63925086826.5073,1,1,0,1,1,0,1,1.839503,0,0,7188
63925086826.6081,1,1,0,1,1,0,1,1.739503,0,0,7188
63925086826.7089,1,1,0,1,1,0,1,1.639503,0,0,7188
63925086826.8101,1,1,0,1,1,0,1,1.539503,0,0,7188
63925086826.9128,1,1,0,1,1,0,1,1.439503,0,0,7188
63925086827.0147,1,1,0,1,1,0,1,1.339503,0,0,7188
63925086827.1145,1,1,0,1,1,0,1,1.239503,0,0,7188
63925086827.2311,1,1,0,1,1,0,1,1.119503,0,0,7188
63925086827.3329,1,1,0,1,1,0,1,1.019504,0,0,7188
63925086827.4341,1,1,0,1,1,0,1,0.9195037,0,0,7188
63925086827.5353,1,1,0,1,1,0,1,0.8195038,0,0,7188
63925086827.6528,1,1,0,1,1,0,1,0.6995039,0,0,7188
63925086827.7522,1,1,0,1,1,0,1,0.599504,0,0,7188
63925086827.8532,1,1,0,1,1,0,1,0.4995041,0,0,7188
63925086827.9697,1,1,0,1,1,0,1,0.3795042,0,0,7188
63925086828.0702,1,1,0,1,1,0,1,0.2795043,0,0,7188
63925086828.1711,1,1,0,1,1,0,1,0.1795043,0,0,7188
63925086828.2732,1,1,0,1,1,0,1,0.07950436,0,0,7188
63925086828.3746,1,1,0,1,0,1,1,0,0,1,7188
63925086828.4912,1,1,0,1,0,1,1,0,0,1,7188
63925086828.6072,1,1,0,1,0,1,1,0,0,1,7188
63925086828.7076,1,1,0,1,0,1,1,0,0,1,7188
63925086828.8084,1,1,0,1,0,1,1,0,0,1,7188
63925086828.9091,1,1,0,1,0,1,1,0,0,1,7188
63925086829.0091,1,1,0,1,0,1,1,0,0,1,7188
63925086829.1096,1,1,0,1,0,1,1,0,0,1,7188
63925086829.2098,1,1,0,1,0,1,1,0,0,1,7188
63925086829.3106,1,1,0,1,0,1,1,0,0,1,7188
63925086829.4277,1,1,0,1,0,1,1,0,0,1,7188
63925086829.5279,1,1,0,1,0,1,1,0,0,1,7188
63925086829.6276,1,1,0,1,0,1,1,0,0,1,7188
63925086829.728,1,1,0,1,0,1,1,0,0,1,7188
