person,shoe,worst_vertices,charge,spin
bayan,tsinelas,18991,0.35,1
bayan,crocs,11561,0.35,1
bayan,pantulog,1890,0.35,1
bayan,sike,22895,0.35,1
bayan,spartan,4970,0.35,1
bayan,alpombra,40541,0.35,1
bayan,pambahay,2258,0.35,1
bayan,heels,8869,0.35,1
bayan,sandals,6069,0.35,1
bayan,loafers,633,0.35,1
maring,tsinelas,11911,0.35,1
maring,crocs,5595,1,0
maring,pantulog,1171,0.35,1
maring,sike,20103,0.35,1
maring,spartan,3886,0.35,1
maring,alpombra,31937,0.35,1
maring,pambahay,1343,1,0
maring,heels,6843,0.35,1
maring,sandals,3950,0.35,1
maring,loafers,417,0.35,1
totoy,tsinelas,18991,0.35,1
totoy,crocs,11561,0.35,1
totoy,pantulog,1890,0.35,1
totoy,sike,22895,0.35,1
totoy,spartan,4970,0.35,1
totoy,alpombra,40541,0.35,1
totoy,pambahay,2258,0.35,1
totoy,heels,8869,0.35,1
totoy,sandals,6069,0.35,1
totoy,loafers,633,0.35,1
inday,tsinelas,22118,0.35,1
inday,crocs,14461,0.35,1
inday,pantulog,2132,0.35,1
inday,sike,26819,0.35,1
inday,spartan,6419,0.35,1
inday,alpombra,40675,0.35,1
inday,pambahay,2654,0.35,1
inday,heels,8533,0.35,1
inday,sandals,7740,0.35,1
inday,loafers,775,0.35,1
kuya_boy,tsinelas,17357,0.35,1
kuya_boy,crocs,10851,0.35,1
kuya_boy,pantulog,1492,0.35,1
kuya_boy,sike,19851,0.35,1
kuya_boy,spartan,4184,0.35,1
kuya_boy,alpombra,40208,0.35,1
kuya_boy,pambahay,2081,0.35,1
kuya_boy,heels,7558,0.35,1
kuya_boy,sandals,5149,0.35,1
kuya_boy,loafers,540,0.35,1
ate_girlie,tsinelas,18991,0.35,1
ate_girlie,crocs,11561,0.35,1
ate_girlie,pantulog,1890,0.35,1
ate_girlie,sike,22895,0.35,1
ate_girlie,spartan,4970,0.35,1
ate_girlie,alpombra,40541,0.35,1
ate_girlie,pambahay,2258,0.35,1
ate_girlie,heels,8869,0.35,1
ate_girlie,sandals,6069,0.35,1
ate_girlie,loafers,633,0.35,1
tikboy,tsinelas,18991,0.35,1
tikboy,crocs,11561,0.35,1
tikboy,pantulog,1890,0.35,1
tikboy,sike,22895,0.35,1
tikboy,spartan,4970,0.35,1
tikboy,alpombra,40541,0.35,1
tikboy,pambahay,2258,0.35,1
tikboy,heels,8875,0.35,1
tikboy,sandals,6069,0.35,1
tikboy,loafers,633,0.35,1
bebang,tsinelas,18991,0.35,1
bebang,crocs,11561,0.35,1
bebang,pantulog,1779,0.35,1
bebang,sike,22895,0.35,1
bebang,spartan,4843,0.35,1
bebang,alpombra,40013,0.35,1
bebang,pambahay,2241,0.35,1
bebang,heels,6517,0.35,1
bebang,sandals,6069,0.35,1
bebang,loafers,633,0.35,1
jun_jun,tsinelas,18991,0.35,1
jun_jun,crocs,11561,0.35,1
jun_jun,pantulog,1890,0.35,1
jun_jun,sike,22895,0.35,1
jun_jun,spartan,4970,0.35,1
jun_jun,alpombra,40541,0.35,1
jun_jun,pambahay,2258,0.35,1
jun_jun,heels,8869,0.35,1
jun_jun,sandals,6069,0.35,1
jun_jun,loafers,633,0.35,1
lola_pacing,tsinelas,18991,0.35,1
lola_pacing,crocs,11561,0.35,1
lola_pacing,pantulog,1779,0.35,1
lola_pacing,sike,22895,0.35,1
