action,t,right_vx,right_vy,right_depth,left_vx,left_vy,left_depth
throw,0.00,0.836,-0.120,0.346,0.120,-0.496,0.390
throw,0.13,0.835,-0.119,0.346,0.120,-0.496,0.390
throw,0.18,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,0.19,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,0.24,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,0.29,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,0.29,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,0.34,0.835,-0.117,0.346,0.120,-0.496,0.390
throw,0.40,0.834,-0.098,0.356,0.131,-0.472,0.385
throw,0.45,0.823,-0.045,0.391,0.143,-0.446,0.379
throw,0.50,0.826,-0.061,0.378,0.152,-0.427,0.376
throw,0.51,0.821,-0.048,0.388,0.158,-0.414,0.373
throw,0.56,0.821,-0.047,0.389,0.159,-0.413,0.373
throw,0.61,0.813,-0.030,0.402,0.164,-0.401,0.370
throw,0.66,0.806,-0.013,0.416,0.169,-0.392,0.369
throw,0.71,0.798,0.005,0.431,0.172,-0.384,0.367
throw,0.76,0.789,0.022,0.446,0.175,-0.378,0.366
throw,0.81,0.781,0.038,0.461,0.177,-0.374,0.365
throw,0.86,0.773,0.054,0.477,0.179,-0.370,0.364
throw,0.87,0.766,0.069,0.492,0.180,-0.367,0.364
throw,0.91,0.766,0.071,0.493,0.181,-0.367,0.364
throw,0.92,0.759,0.085,0.508,0.182,-0.364,0.363
throw,0.97,0.758,0.086,0.509,0.182,-0.364,0.363
throw,0.97,0.752,0.101,0.524,0.183,-0.362,0.363
throw,1.02,0.751,0.102,0.525,0.183,-0.362,0.363
throw,1.07,0.745,0.117,0.541,0.183,-0.361,0.362
throw,1.12,0.738,0.132,0.557,0.184,-0.359,0.362
throw,1.17,0.732,0.146,0.572,0.184,-0.359,0.362
throw,1.18,0.727,0.159,0.586,0.185,-0.358,0.362
throw,1.22,0.726,0.160,0.587,0.185,-0.358,0.362
throw,1.23,0.721,0.173,0.601,0.185,-0.357,0.362
throw,1.28,0.721,0.173,0.602,0.185,-0.357,0.362
throw,1.33,0.717,0.185,0.616,0.185,-0.357,0.362
throw,1.39,0.635,0.050,0.440,0.078,-0.562,0.383
throw,1.44,0.505,-0.141,0.428,0.039,-0.622,0.376
throw,1.49,0.506,-0.157,0.410,0.040,-0.621,0.376
throw,1.55,0.517,-0.163,0.400,0.044,-0.615,0.377
throw,1.60,0.556,-0.160,0.390,0.055,-0.598,0.379
throw,1.61,0.606,-0.153,0.380,0.068,-0.577,0.381
throw,1.66,0.616,-0.152,0.379,0.070,-0.574,0.381
throw,1.71,0.688,-0.141,0.367,0.088,-0.546,0.385
throw,1.71,0.748,-0.131,0.358,0.102,-0.525,0.387
throw,1.76,0.758,-0.130,0.356,0.104,-0.522,0.387
