sample,frame_ms
0,3.361295
1,6.638804
2,3.374199
3,6.627303
4,3.346499
5,6.656200
6,3.355300
7,6.661593
8,6.666702
9,3.341199
10,6.646301
11,3.354804
12,6.650496
13,6.663400
14,3.347003
15,6.645897
16,3.350999
17,6.661600
18,3.330003
19,6.655201
20,3.334999
21,6.659899
22,3.346102
23,6.653196
24,3.348101
25,6.659701
26,3.369799
27,6.632504
28,3.343693
29,6.661303
30,3.330003
31,6.675702
32,6.656399
33,3.329996
34,6.665703
35,3.356200
36,6.635899
37,3.367602
38,6.629599
39,3.361898
40,6.653798
41,3.351800
42,6.639406
43,3.358900
44,6.667397
45,6.659198
46,3.356300
47,6.629499
48,6.678302
49,3.335502
50,6.649100
51,3.357199
52,6.642396
53,3.342503
54,6.684899
55,3.330003
56,6.654301
57,6.653097
58,3.366504
59,6.638499
60,6.691497
61,3.346102
62,6.644097
63,6.645699
64,3.340802
65,6.664902
66,3.337698
67,6.661699
68,3.337202
69,6.653097
70,3.341001
71,6.659503
72,3.371896
73,6.626204
74,3.338797
75,6.661402
76,3.329996
77,6.666504
78,3.368800
79,6.653203
80,6.666794
81,3.342304
82,6.665498
83,6.658999
84,3.345798
85,6.659602
86,6.662599
87,3.340101
88,6.683100
89,3.330003
90,6.622902
91,3.329996
92,6.673704
93,3.334496
94,6.667701
95,3.336402
96,6.659297
97,3.377601
98,6.624306
99,3.349695
100,6.654004
101,3.329996
102,6.658100
103,3.346804
104,6.652997
105,3.364598
106,6.635501
107,3.394905
108,6.614300
109,3.350199
110,6.642496
111,3.361699
112,6.641504
113,3.349001
114,6.651601
115,3.380301
116,6.620196
117,3.362401
118,6.627501
119,3.350496
120,6.660105
121,3.354400
122,6.636395
123,3.349802
124,6.654103
125,3.363400
126,6.633298
127,3.355903
128,6.644097
129,3.351899
130,6.649199
131,3.355003
132,6.641298
133,3.340398
134,6.663606
135,3.343098
136,6.653600
137,3.351098
138,6.654202
139,3.338598
140,6.654805
141,3.374497
142,6.650602
143,6.656895
144,3.355300
145,6.657802
146,6.656399
147,3.356399
148,6.634701
149,6.671705
150,3.339796
151,6.646698
152,3.345004
153,6.661097
154,3.330003
155,6.663499
156,3.343899
157,6.660204
158,3.401495
159,6.597704
160,3.341695
161,6.651403
162,3.353600
163,6.651403
164,3.335296
165,6.664399
166,3.350404
167,6.648696
168,3.361905
169,6.633794
170,3.340703
171,6.656300
172,3.361097
173,6.636501
174,3.383000
175,6.651205
176,6.647598
177,3.340802
178,6.661501
179,3.329996
180,6.664902
181,3.359396
182,6.641801
183,3.358099
184,6.642000
185,3.361501
186,6.630400
187,3.330003
188,6.669799
189,3.333603
190,6.688797
191,3.344997
192,6.641206
193,6.671096
194,3.349100
195,6.660204
196,6.659297
197,3.330003
198,6.660899
199,3.356902
200,6.631895
201,3.336104
202,6.667701
203,3.345699
204,6.653798
205,3.367000
206,6.644402
207,6.677600
208,3.329996
209,6.655003
210,3.379996
211,6.606200
212,3.376502
213,6.627501
214,3.342701
215,6.655697
216,3.372300
217,6.629599
218,3.340703
219,6.668502
220,6.670997
221,3.337401
222,6.680902
223,6.661699
224,3.329996
225,6.677700
226,3.330003
227,6.629896
228,3.341404
229,6.658999
230,3.352501
231,6.664796
232,3.353005
233,6.643396
234,3.351701
235,6.646797
236,3.330003
237,6.683404
238,3.339399
239,6.645394
240,3.363003
241,6.643701
242,3.335898
243,6.668502
244,6.662996
245,3.362401
246,6.649703
247,6.665200
248,3.330003
249,6.673696
250,6.668601
251,3.330003
252,6.634198
253,3.365901
254,6.672400
255,6.650900
256,3.373597
257,6.617000
258,6.673200
259,3.335502
260,6.673299
261,6.657604
262,3.329996
263,6.658100
264,3.346804
265,6.669394
266,6.652402
267,3.347704
268,6.671698
269,6.654301
270,3.354301
271,6.638598
272,6.671995
273,3.351205
274,6.647895
275,6.679705
276,3.329996
277,6.657505
278,13.317100
279,3.352197
280,6.694402
281,6.648299
282,6.642999
283,6.688499
284,3.330003
285,6.690398
286,6.624100
287,6.659602
288,3.345897
289,6.682001
290,6.634099
291,3.364300
292,6.643205
293,6.692397
294,6.649001
295,3.338003
296,6.681796
297,6.639300
298,3.346003
299,6.657596
300,6.668601
301,3.335601
302,6.694799
303,6.627601
304,3.352303
305,6.677898
306,6.660197
307,3.330003
308,6.666199
309,6.643205
310,3.377494
311,6.638606
312,6.655697
313,3.351701
314,6.655499
315,6.668601
316,3.329996
317,10.001700
318,3.344402
319,9.980002
320,3.353401
321,6.665399
322,6.646996
323,3.368403
324,6.647697
325,6.649703
326,3.380400
327,6.626304
328,6.660395
329,3.360403
330,6.658397
331,6.648200
332,3.354500
333,6.669600
334,6.635700
335,3.363499
336,6.654606
337,6.668998
338,3.371301
339,6.624001
340,6.651495
341,3.363598
342,6.659007
343,6.646400
344,3.363995
345,6.648902
