sample,frame_ms
0,6.521301
1,6.658496
2,3.334304
3,6.678493
4,6.653805
5,3.347697
6,6.677600
7,6.618701
8,3.358900
9,6.654400
10,3.329996
11,6.675305
12,3.339002
13,6.671499
14,6.664598
15,3.338301
16,6.657596
17,6.651502
18,3.343403
19,6.687195
20,6.642900
21,3.343006
22,6.664094
23,6.658305
24,3.329996
25,6.685105
26,3.337394
27,6.649603
28,6.659198
29,3.351899
30,6.663903
31,6.656300
32,3.346797
33,6.670706
34,3.329996
35,6.657199
36,6.657100
37,3.337004
38,6.675694
39,6.660303
40,3.353096
41,6.680506
42,6.621896
43,3.353699
44,6.650404
45,6.675900
46,3.358099
47,6.646400
48,3.362302
49,6.625298
50,6.671698
51,3.342099
52,6.664102
53,6.645103
54,3.346195
55,6.671606
56,6.653394
57,3.359304
58,6.647796
59,6.656803
60,3.364101
61,6.648200
62,6.658801
63,3.342198
64,6.659800
65,6.661097
66,3.345004
67,6.679400
68,6.634800
69,3.356300
70,6.673498
71,6.661600
72,6.655003
73,3.364193
74,9.967900
75,3.350106
76,6.648299
77,6.670897
78,3.345203
79,6.669295
80,6.647803
81,3.341900
82,6.657596
83,6.660800
84,3.342106
85,6.675900
86,6.647995
87,3.337103
88,6.673101
89,6.671301
90,6.644799
91,3.359099
92,6.670302
93,6.658900
94,3.335197
95,6.660998
96,6.651800
97,3.354004
98,6.659503
99,6.654996
100,3.350199
101,6.661699
102,6.659701
103,6.657604
104,3.358496
105,9.986005
106,3.348498
107,6.659297
108,6.657505
109,3.337599
110,6.668098
111,6.651403
112,3.367800
113,6.658000
114,6.634800
115,3.368495
116,9.986904
117,3.360098
118,6.636997
119,6.666405
120,6.660800
121,3.345097
122,9.989202
123,3.339201
124,6.675900
125,6.638499
126,3.345302
127,6.701998
128,6.629301
129,6.665802
130,3.360296
131,6.646004
132,6.658000
133,3.362996
134,6.657604
135,6.652997
136,3.336402
137,6.668502
138,6.644197
139,3.369799
140,6.642404
141,6.672300
142,3.337301
143,6.643899
144,6.680797
145,6.661805
146,3.359899
147,6.667999
148,6.627799
149,3.354500
150,6.668601
151,6.646400
152,3.375000
153,6.642000
154,6.652502
155,3.363698
156,6.656902
157,6.654195
158,3.347003
159,6.653501
160,3.335898
161,6.671903
162,6.654698
163,3.348200
164,6.656696
165,6.664201
166,3.354400
167,6.653501
168,6.652601
169,3.364803
170,6.642701
171,6.663698
172,3.337599
173,6.675000
174,6.658397
175,3.373902
176,6.619104
177,6.659099
178,3.347697
179,6.676899
180,6.640200
181,3.369806
182,6.643198
183,3.344501
184,6.671301
185,6.646500
186,3.329996
187,6.676304
188,6.651297
189,3.361104
190,6.659694
191,6.642205
192,3.349199
193,6.667800
194,6.662996
195,3.360799
