sample,frame_ms
0,6.649199
1,6.679004
2,9.994699
3,3.329996
4,10.031500
5,9.976205
6,3.329996
7,10.000110
8,3.329996
9,23.343300
10,3.329996
11,6.682001
12,6.650099
13,3.330003
14,10.024700
15,3.330003
16,6.649001
17,6.664697
18,3.330003
19,6.666702
20,6.684396
21,3.336905
22,6.649199
23,6.653798
24,3.352898
25,6.669700
26,3.330003
27,6.643701
28,3.340101
29,10.011600
30,3.329996
31,6.656703
32,6.682695
33,3.330003
34,6.662599
35,6.678501
36,3.330003
37,6.657398
38,6.661600
39,3.342198
40,6.672300
41,6.662904
42,3.329996
43,6.663599
44,6.653600
45,6.666100
46,6.682306
47,6.670295
48,3.330003
49,6.664803
50,6.658999
51,3.329996
52,6.667404
53,6.696301
54,3.329996
55,6.648002
56,6.682596
57,3.330003
58,6.657398
59,6.650404
60,3.344501
61,13.330300
62,3.329996
63,13.331800
64,3.329996
65,13.364800
66,3.330003
67,6.640399
68,6.687599
69,3.330003
70,6.640597
71,6.681902
72,3.329996
73,6.664902
74,6.679698
75,3.330003
76,6.651601
77,6.680598
78,3.339201
79,6.659998
80,6.660501
81,3.335601
82,6.671598
83,6.659099
84,3.342000
85,6.675099
86,6.659899
87,3.330003
88,6.653302
89,6.676594
90,3.330003
91,6.656498
92,6.690505
93,3.329996
94,6.659099
95,6.671301
96,3.330003
97,6.690299
98,6.647300
99,3.330003
100,10.002900
101,3.329996
102,6.663507
103,6.668799
104,3.329996
105,6.657299
106,6.670104
107,3.359899
108,9.989003
109,3.333695
110,10.005100
111,3.330003
112,6.640101
113,6.678096
114,3.338804
115,6.656498
116,6.660098
117,3.339300
118,6.672002
119,6.669700
120,3.346301
121,6.667099
122,6.652402
123,3.329996
124,10.015900
125,3.330003
126,6.641695
127,6.665504
128,3.342496
129,6.673604
130,6.672499
131,3.330003
132,6.644593
133,6.677303
134,13.357500
135,3.330003
136,6.654797
137,6.674901
138,3.330003
139,6.655697
140,6.670599
141,3.330003
142,6.656902
143,6.678897
144,3.330003
145,6.664796
146,3.330003
147,6.690497
148,6.651999
149,3.330003
150,6.660800
151,6.685800
152,3.330003
153,6.664902
154,6.637699
155,3.365200
156,9.993396
157,3.330003
158,6.656498
159,6.681201
160,3.330003
161,6.689101
162,6.642000
163,3.329996
164,6.666801
165,6.654103
166,3.329996
167,9.999405
168,3.345295
169,23.371900
170,3.329996
171,6.622902
172,6.679004
173,3.329996
174,6.657398
175,6.660105
176,6.673299
177,6.663102
178,3.351998
179,10.008500
180,3.330003
181,6.663400
182,6.641397
183,3.361005
184,6.665994
185,3.330003
186,6.673398
187,6.657802
188,3.330003
189,6.667800
190,6.677898
191,3.329996
192,6.674405
193,6.659099
194,3.330003
195,6.660800
196,3.355896
197,9.994402
198,3.342198
199,6.635204
200,6.661196
201,6.676205
202,6.656498
203,3.334099
204,6.665001
205,6.673398
206,3.333900
207,6.660800
208,6.676502
209,3.329996
210,6.658504
211,6.682398
212,3.341100
213,6.671103
214,6.647697
215,3.334099
216,6.665703
217,6.656498
218,3.340405
219,6.688095
220,6.674405
221,3.333695
222,6.643502
223,6.651403
224,3.353699
225,9.999100
226,3.333397
227,6.644104
228,6.684198
229,3.350000
230,6.660098
231,6.645203
232,3.333397
233,6.657100
234,6.687599
235,3.330003
236,6.652997
237,6.684701
238,3.330003
239,6.656399
240,6.680399
241,3.329996
242,6.664102
243,6.648101
244,3.396904
245,9.952700
246,3.329996
247,6.683801
248,6.642000
249,3.341199
250,10.012900
251,3.329996
252,6.655704
253,6.673200
254,3.329996
255,6.671499
256,6.651403
257,3.346202
258,19.988800
259,6.645805
260,3.365894
261,10.002300
262,3.329996
263,6.646705
264,6.679400
265,3.344395
266,6.633801
267,6.702303
268,6.629400
269,6.677395
270,6.693403
271,6.676098
272,3.330003
273,6.625702
274,6.676701
275,6.684694
276,3.330003
277,6.647399
278,6.674200
279,3.330003
280,6.658999
281,6.700000
282,3.330003
283,6.653798
284,6.672796
285,3.330003
286,6.686897
287,3.330003
288,6.651197
289,6.654202
290,3.330003
291,6.676198
292,6.685098
293,3.330003
294,6.636402
295,6.680797
296,3.330003
297,6.662599
298,6.688400
299,3.329996
300,6.665604
301,6.653897
302,6.661501
303,3.330003
304,6.696599
305,6.662302
306,3.339498
307,6.640200
308,6.677197
309,3.330003
310,6.674603
311,6.668594
312,3.330003
313,6.656002
314,6.675000
315,3.329996
316,6.655499
317,6.686501
318,3.330003
319,6.647399
320,6.683999
321,3.330003
322,6.658397
323,3.330003
324,6.669394
325,3.330003
326,6.697499
327,6.635601
328,3.341001
329,6.666801
330,6.675397
331,3.330003
332,9.988697
333,6.656399
334,3.351906
335,6.651693
336,3.335402
337,6.666901
338,6.650198
339,6.684999
340,6.665504
341,3.358801
342,6.638896
343,6.682100
344,3.330003
345,6.649299
346,6.688698
347,3.330003
348,6.661097
349,6.660601
350,3.368403
351,6.628898
352,6.673604
353,3.329996
354,6.669005
355,6.660494
356,3.330003
357,6.670196
358,6.679400
359,3.330003
360,6.673200
361,6.662302
362,3.329996
363,6.658999
364,6.673604
365,3.329996
366,6.656101
367,6.688804
368,3.329996
369,6.640901
370,6.695401
371,3.330003
372,6.651700
373,3.336196
374,6.685800
375,6.682199
376,3.330003
377,6.620698
378,6.695103
379,3.329996
380,6.644799
381,6.684403
382,6.663301
383,3.329996
384,6.658702
385,6.678897
386,3.330003
387,6.658702
388,6.676198
389,20.006610
390,3.329996
391,6.652098
392,6.680003
393,3.330003
394,6.655697
395,6.685403
396,3.354797
397,6.626998
398,6.672002
399,3.330003
400,6.710098
401,6.640101
402,3.329996
403,6.649405
404,6.672895
405,3.330003
406,6.669501
407,6.681696
408,3.330003
409,6.665901
410,6.658000
411,3.329996
412,6.656902
413,6.674603
414,3.329996
415,6.668799
416,6.684503
417,3.329996
418,6.650602
419,6.680201
420,3.330003
421,6.645897
422,6.684503
423,3.329996
424,23.350400
425,3.329996
426,6.668403
427,6.636501
428,6.680499
429,3.330003
430,6.687798
431,6.656101
432,3.329996
433,6.648505
434,6.664399
435,3.338598
436,6.676999
437,6.689002
438,3.329996
439,6.648604
440,6.689201
441,3.329996
442,6.641001
443,6.697201
444,3.330003
445,6.654096
446,6.655704
447,3.329996
448,6.688499
449,6.644104
450,3.329996
451,6.665703
452,6.687401
453,6.644402
454,3.329996
455,6.649001
456,6.689902
457,6.668502
458,3.334496
459,10.019400
460,3.330003
461,6.641695
462,6.676502
463,3.330003
464,6.664094
465,6.669203
466,3.342297
467,6.651205
468,6.689194
469,3.330003
470,6.654904
471,6.673894
472,3.330003
473,6.668601
474,6.657199
475,3.357398
476,9.998901
477,3.329996
478,6.641603
479,6.683602
480,3.329996
481,6.650999
482,6.719905
483,3.329996
484,6.629301
485,6.670104
486,3.329996
487,6.654500
488,6.667404
489,3.337195
490,6.666100
491,6.704804
492,3.329996
493,6.651700
494,6.659701
495,3.330003
496,20.003400
497,6.650900
498,3.329996
499,10.007800
500,3.339399
501,10.008600
502,3.329996
503,6.658305
504,6.656498
505,3.338797
506,6.672101
507,6.659403
508,3.329996
509,6.676304
510,6.648101
511,6.676396
512,3.347704
513,6.663599
514,6.683100
515,3.329996
516,10.026400
517,3.330003
518,6.637897
519,6.656300
520,6.640703
521,3.377197
522,9.966100
523,3.333503
524,6.663698
525,6.681101
526,3.329996
527,6.652402
