sample,frame_ms
0,3.340497
1,6.656597
2,3.350801
3,6.648505
4,3.345097
5,6.650503
6,3.365200
7,6.638598
8,3.370600
9,6.629202
10,3.359198
11,6.638499
12,3.363202
13,6.654301
14,6.676198
15,3.336203
16,6.666794
17,6.649001
18,3.339399
19,6.667000
20,6.655201
21,3.349001
22,6.675602
23,6.653501
24,3.329996
25,6.677700
26,6.655201
27,3.352898
28,6.654103
29,6.662599
30,3.336600
31,6.676999
32,3.330003
33,6.658100
34,3.330003
35,6.653295
36,3.330003
37,6.659800
38,3.352898
39,6.648101
40,3.352700
41,6.650298
42,3.349206
43,6.648696
44,3.364101
45,6.636898
46,3.337904
47,6.662500
48,3.374497
49,6.620599
50,3.357299
51,6.647704
52,3.339895
53,6.667404
54,3.330003
55,6.662797
56,3.356399
57,6.646500
58,3.350000
59,6.642602
60,3.353096
61,6.646301
62,3.334403
63,6.665200
64,3.369898
65,6.636997
66,3.336402
67,6.660204
68,3.347095
69,6.649901
70,3.345904
71,6.657100
72,3.379797
73,6.617899
74,3.352098
75,6.647506
76,3.344700
77,6.654301
78,3.346698
79,6.654400
80,3.357497
81,6.640399
82,3.342304
83,6.662401
84,3.357100
85,6.659899
86,6.655301
87,3.351396
88,6.655499
89,6.664399
90,3.349206
91,6.675099
92,6.628699
93,3.361295
94,6.648505
95,6.673696
96,3.330003
97,6.679301
98,6.634999
99,3.352501
100,6.676297
101,6.653798
102,3.346606
103,6.666794
104,3.330003
105,6.656399
106,3.330003
107,6.661898
108,3.346698
109,6.647201
110,3.347803
111,6.645897
112,3.367000
113,6.641702
114,3.350900
115,6.639498
116,3.354004
117,6.650496
118,3.354004
119,6.642297
120,3.458199
121,6.551105
122,3.366497
123,6.650602
124,3.329996
125,6.667900
126,3.330003
127,6.642099
128,3.344898
129,6.659602
130,3.347605
131,6.655499
132,3.353997
133,6.655102
134,3.350701
135,6.686501
136,6.629294
137,3.337706
138,6.660700
139,6.660700
140,3.345196
141,6.668303
142,6.655995
143,3.355605
144,6.656597
145,6.686097
146,3.330003
147,6.652997
148,3.338804
149,6.665901
150,6.633595
151,3.351899
152,6.679103
153,3.330003
154,6.634496
155,3.370500
156,6.653401
157,3.330003
158,6.679400
159,3.336097
160,6.655902
161,6.664895
162,3.343105
163,6.669097
164,6.642503
165,3.346698
166,6.662500
167,6.652402
168,3.355896
169,6.671903
170,6.655797
171,3.350099
172,6.649199
173,6.652502
174,3.363102
175,6.648902
176,6.651999
177,3.357497
178,6.673299
179,6.642900
180,3.359304
181,6.677799
182,3.330003
183,6.645897
184,6.655598
185,3.346903
186,6.656902
187,6.661600
188,3.348398
189,6.650900
190,6.669097
191,3.348803
192,6.677898
193,3.330003
194,6.651999
195,3.336196
196,6.667503
197,3.330003
198,6.650198
199,3.329996
200,6.657405
201,3.363499
202,6.659899
203,3.330003
204,6.648498
205,3.360799
206,6.640597
207,3.349306
208,6.670196
209,3.334999
210,6.641206
211,3.340894
212,6.660906
213,3.350099
214,6.648498
215,3.349802
216,6.654096
217,3.369699
218,6.636203
219,3.355903
220,6.662897
221,6.635501
222,3.495897
223,6.542099
224,6.633100
225,3.364902
226,6.639704
227,3.361501
228,6.650900
229,6.666199
230,3.346896
231,6.650099
232,3.351701
233,6.650099
234,3.351502
235,6.643098
236,6.660402
237,3.373002
238,6.623696
239,3.380102
240,6.617503
241,3.352594
242,6.641504
243,3.373597
244,6.632199
245,3.360403
246,6.642701
247,3.335296
248,6.665001
249,3.353401
250,6.645798
251,3.348299
252,6.651403
253,3.330003
254,6.691000
255,3.335395
256,6.654301
257,6.654897
258,3.355804
259,6.672002
260,6.641901
261,3.352700
262,6.666199
263,6.653401
264,3.353493
265,6.653103
266,3.341298
267,6.642099
268,3.373703
269,6.641001
270,6.658199
271,3.363102
272,6.647697
273,6.659503
274,3.341001
275,6.653600
276,6.665200
277,3.353898
278,6.674001
279,6.625198
280,3.360098
281,6.658404
282,6.650099
283,3.371903
284,6.647095
285,6.658999
286,3.345599
287,6.671903
288,6.640901
289,3.386799
290,6.634396
291,6.638400
292,3.357901
293,6.678699
294,6.638606
295,3.348101
296,6.677395
297,6.642000
298,3.358305
299,6.654897
300,6.639704
301,3.380194
302,6.652105
303,6.650496
304,3.368403
305,6.635296
306,6.662606
307,3.343197
308,6.673696
309,6.663507
310,6.650496
311,3.361302
312,6.654897
313,6.638102
314,3.356902
315,6.661997
316,6.660204
317,3.354996
318,6.659899
319,6.658199
320,3.338903
321,9.983999
322,3.345500
323,6.666199
324,6.650099
325,3.373703
326,6.650496
327,6.643701
328,3.356505
329,6.666298
330,6.657199
331,3.342396
332,6.656803
333,6.674603
334,6.660998
335,3.341702
336,6.659297
337,6.638697
338,3.359800
339,6.678501
340,6.633603
341,3.363301
342,6.659297
343,6.654904
344,3.346499
345,6.652601
346,6.665001
347,3.368296
348,6.659800
349,6.635303
350,3.374894
351,6.656300
352,6.626105
353,3.358099
354,6.660998
355,6.659899
356,3.347803
357,6.670599
358,6.651396
359,3.342503
360,6.671797
361,6.635303
362,3.357199
363,6.657299
364,6.666702
365,3.364697
366,6.646301
367,6.660204
368,3.361898
369,6.643297
370,6.650106
371,3.348795
372,6.668700
373,6.642503
374,3.357901
375,6.676098
376,6.624596
377,3.356101
378,6.672903
379,6.642000
380,3.358900
381,6.677296
382,6.640901
383,3.359503
384,6.656002
385,6.639399
386,3.373299
387,6.657299
388,6.649100
389,3.355796
390,6.656406
391,6.647095
392,3.330003
393,6.689300
394,6.645798
395,3.369402
396,6.649199
397,6.654500
398,3.330003
399,6.677395
400,6.655902
401,3.373399
402,6.635402
403,6.659602
404,3.347095
405,6.666702
406,6.652303
407,3.343601
408,6.673994
409,6.642701
410,3.349802
411,6.671903
412,6.652898
413,3.337897
414,6.671400
415,6.667602
416,3.334899
417,6.674497
418,6.640001
419,3.371103
420,6.643198
421,6.660303
422,3.348795
423,6.662103
424,6.651098
425,3.351899
426,13.324500
427,3.329996
428,26.679710
429,6.656101
430,6.671499
431,6.656597
432,6.669898
433,3.333503
434,9.991397
435,3.351205
436,6.658397
437,6.646301
438,3.365901
439,9.977494
440,3.355506
441,6.665498
442,6.637401
443,3.370897
444,6.655301
445,6.643403
446,3.370096
447,9.978203
448,3.344097
449,6.642000
450,6.655201
451,3.369898
452,6.653401
453,6.650602
454,3.371103
455,6.643198
456,6.647902
457,3.340299
458,10.009400
459,3.355102
460,6.656498
461,6.647399
462,6.682299
463,6.653904
464,6.685998
465,6.655598
466,6.653706
467,3.343700
468,6.670897
469,6.638598
470,3.376601
471,6.658397
472,6.629805
473,3.357795
474,9.990101
475,3.341702
476,6.680102
477,6.641001
478,3.349596
479,6.667000
480,6.651105
481,3.347194
482,6.671202
483,6.648101
484,3.355003
485,9.966397
486,3.373703
487,6.646797
488,6.656101
489,3.345897
490,6.680102
491,6.637798
492,3.342198
493,6.672300
494,6.647101
495,3.345599
496,6.674603
497,6.725801
498,3.329996
499,9.922201
500,3.361798
501,6.651906
502,6.649497
503,3.350999
504,6.678699
505,6.641702
506,3.356101
507,6.666397
508,6.644600
509,3.353302
510,6.664796
511,6.646605
512,3.354996
513,6.652700
514,6.664300
515,3.362500
516,9.978699
517,3.336005
518,6.682695
519,6.636806
520,3.347095
521,6.671705
522,6.637996
523,3.362004
524,6.665994
525,6.640901
526,3.351502
527,9.986997
528,3.362004
529,6.643502
530,6.660800
531,3.356498
532,6.645401
533,6.669196
534,3.365505
535,6.647201
536,6.655095
537,3.353798
538,6.655301
539,6.648200
540,3.362904
541,9.994997
542,3.330003
543,6.669402
544,6.636295
545,3.356505
546,6.673398
547,6.635197
548,3.360403
549,6.664598
550,6.649100
551,3.354500
552,6.673604
553,6.633900
554,3.376800
555,6.647995
556,6.657604
557,3.337996
558,9.993700
559,3.350205
560,6.660494
561,6.642404
562,3.356399
563,6.658702
564,6.650397
565,3.359205
566,6.669494
567,6.637401
568,3.349100
569,9.993898
570,3.336005
571,6.680896
572,6.638804
573,3.353401
574,6.665597
575,6.651899
576,3.345401
577,6.668601
578,6.655598
579,3.342999
580,6.676899
581,6.655301
582,3.339406
583,6.656094
584,6.665001
585,3.341801
586,9.991603
587,3.354500
588,6.654797
589,6.663698
590,6.652601
591,3.356704
592,6.671499
593,6.634999
594,3.359503
595,6.666100
596,6.640299
597,3.353501
598,6.668396
599,6.639704
600,3.359099
601,6.657299
602,6.650999
603,3.352799
604,6.663201
605,6.680499
606,3.336203
607,6.668098
608,6.674901
609,3.330003
610,6.653501
611,6.655095
612,3.352905
613,6.661798
614,6.633801
615,3.354599
616,6.677395
617,6.643106
618,3.354897
619,6.671202
620,6.630697
621,3.359205
622,6.659899
623,6.670897
624,3.349398
625,6.651502
626,6.645004
627,3.364697
628,6.667800
629,6.637203
630,3.362699
631,6.665399
632,6.655102
633,3.329996
634,6.687904
635,6.631101
636,3.357398
637,6.672803
638,6.635495
639,3.352905
640,6.672293
641,6.640405
642,3.348498
643,6.663903
644,6.657299
645,3.354096
646,6.666901
647,6.649504
648,3.329996
649,6.690101
650,6.640001
651,3.348398
652,6.682604
653,6.623497
654,6.686401
655,3.329996
656,6.820904
657,9.836302
658,3.352197
659,6.671698
660,6.666702
661,6.644203
662,3.356597
663,6.659602
664,6.643899
665,3.357398
666,6.662797
667,6.658107
668,3.369296
669,6.650900
670,6.658000
671,3.338698
672,6.652402
673,6.654202
674,3.364498
675,6.670798
676,6.631406
677,3.360296
678,6.663903
679,6.646896
680,3.367701
681,6.650397
682,6.636302
683,3.376198
684,6.663201
685,6.640604
686,3.356399
687,6.656696
688,6.646804
689,3.358099
690,6.652700
691,6.659198
692,3.358199
693,6.662705
694,6.636600
695,3.364995
696,6.660006
