frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.0731,0.0059,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8204,0.5445,0.5532,0.1800
1,0.1346,0.0831,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5445,0.5532,0.1800
2,0.1961,0.1439,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5445,0.5532,0.1800
3,0.2583,0.2057,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5445,0.5532,0.1800
4,0.3631,0.2671,0.0000,True,0.000,hero-cheska-nova,-1.0000,0.0000,0.000,0.000,0.7523,0.5445,0.5532,0.1800
5,0.4251,0.2910,0.0000,True,0.042,hero-cheska-nova,-1.0000,0.0000,0.195,-11.224,0.4533,0.4373,0.6982,0.1800
6,0.4968,0.3535,0.0000,True,1.011,hero-cheska-nova,-1.0000,0.0000,4.718,-32.349,0.0201,0.2968,0.2963,0.1800
7,0.5664,0.4255,0.0000,True,2.354,hero-cheska-nova,-1.0000,0.0000,10.993,-75.381,0.3555,0.5629,0.0231,0.1800
8,0.6360,0.4948,0.0000,True,2.996,hero-cheska-nova,-1.0000,0.0000,14.000,-84.001,0.5558,0.5643,-0.0980,0.1800
9,0.7028,0.5641,0.0000,True,3.198,hero-cheska-nova,-1.0000,0.0000,11.805,-85.422,0.4577,0.6039,0.0390,0.1800
10,0.7725,0.6313,0.0000,True,4.130,hero-cheska-nova,-1.0000,0.0000,1.354,-35.092,0.2604,0.2602,0.7008,0.1800
11,0.8459,0.7066,0.0000,True,4.894,hero-cheska-nova,-1.0000,0.0000,-7.800,9.800,0.8064,-0.0193,0.8932,0.1800
12,0.9115,0.7739,0.0000,True,4.905,hero-cheska-nova,-1.0000,0.0000,-7.180,9.180,0.7566,-0.0176,0.8982,0.1800
13,0.9802,0.8403,0.0000,True,4.582,hero-cheska-nova,-1.0000,0.0000,-6.659,8.545,0.6854,-0.0183,0.9021,0.1800
14,1.0488,0.9090,0.0000,True,2.530,hero-cheska-nova,-1.0000,0.0000,-4.549,5.732,0.3679,-0.0223,0.8410,0.1800
15,1.1160,0.9772,0.0000,True,1.787,hero-cheska-nova,-1.0000,0.0000,-3.590,4.487,0.2495,-0.0227,0.7850,0.1800
16,1.1872,1.0442,0.0000,True,0.735,hero-cheska-nova,-1.0000,0.0000,-1.471,1.839,0.0677,-0.0228,0.6296,0.1800
17,1.2547,1.1158,0.0000,True,0.000,hero-cheska-nova,-1.0000,0.0000,0.000,0.000,-0.0178,-0.0213,0.4947,0.1800
18,1.3214,1.1832,0.0000,True,0.003,holding-right,-1.0000,0.0000,-0.006,-1.263,-0.0064,0.0001,0.5198,0.1800
19,1.3875,1.2498,0.0000,True,0.001,holding-right,-1.0000,0.0000,-0.003,-10.692,0.3924,0.3871,0.7167,0.1800
20,1.4528,1.3152,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7571,0.5433,0.5519,0.1800
21,1.5193,1.3813,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7555,0.5437,0.5523,0.1800
22,1.5858,1.4474,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7544,0.5440,0.5526,0.1800
23,1.6542,1.5146,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7536,0.5442,0.5528,0.1800
24,1.7217,1.5821,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7531,0.5443,0.5530,0.1800
25,1.7958,1.6502,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7527,0.5444,0.5531,0.1800
26,1.8622,1.7239,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7525,0.5445,0.5531,0.1800
27,1.9281,1.7904,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5445,0.5532,0.1800
28,1.9950,1.8560,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5446,0.5532,0.1800
29,2.0630,1.9226,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7522,0.5446,0.5532,0.1800
30,2.1348,1.9919,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7522,0.5446,0.5532,0.1800
31,2.2016,2.0630,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7522,0.5446,0.5532,0.1800
32,2.2682,2.1301,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7522,0.5446,0.5532,0.1800
