frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.0802,0.0179,0.0000,True,0.000,holding-right,-1.0000,0.0000,-0.071,-2.918,0.3519,0.1020,0.8288,0.1800
1,0.1431,0.1019,0.0000,True,0.000,holding-right,-1.0000,0.0000,-0.175,-2.736,0.6877,0.5069,0.6259,0.1800
2,0.2048,0.1649,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
3,0.2666,0.2258,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
4,0.3405,0.2879,0.0000,True,0.000,hero-dante-stomp,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
5,0.4049,0.3623,0.0000,True,1.031,hero-dante-stomp,-1.0000,0.0000,0.197,10.536,0.2099,-0.0923,0.7609,0.1800
6,0.4709,0.4262,0.0000,True,354.741,hero-dante-stomp,-1.0000,0.0000,32.241,-10.681,0.2511,0.0573,0.7886,0.1800
7,0.5333,0.4920,0.0000,True,355.879,hero-dante-stomp,-1.0000,0.0000,27.126,-6.845,0.2091,0.0147,0.7515,0.1800
8,0.5964,0.5547,0.0000,True,356.222,hero-dante-stomp,-1.0000,0.0000,25.385,-5.858,0.1940,0.0038,0.7379,0.1800
9,0.6732,0.6322,0.0000,True,357.015,hero-dante-stomp,-1.0000,0.0000,19.793,-4.568,0.0705,-0.0095,0.8030,0.1800
10,0.7363,0.6941,0.0000,True,358.014,hero-dante-stomp,-1.0000,0.0000,13.019,-3.004,0.0358,-0.0152,0.7187,0.1800
11,0.8005,0.7576,0.0000,True,359.066,hero-dante-stomp,-1.0000,0.0000,6.083,-1.404,-0.0004,-0.0105,0.6270,0.1800
12,0.8643,0.8225,0.0000,True,359.830,hero-dante-stomp,-1.0000,0.0000,1.108,-0.256,-0.0229,-0.0023,0.5566,0.1800
13,0.9261,0.8856,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,-1.166,-0.0167,0.0211,0.5563,0.1800
14,0.9904,0.9481,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,-10.989,0.3032,0.4031,0.7491,0.1800
15,1.0560,1.0124,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.6719,0.5772,0.5574,0.1800
16,1.1252,1.0779,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.6921,0.5705,0.5509,0.1800
17,1.1914,1.1478,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7089,0.5649,0.5455,0.1800
18,1.2542,1.2129,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7208,0.5610,0.5417,0.1800
19,1.3189,1.2755,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7294,0.5581,0.5389,0.1800
20,1.3803,1.3405,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7361,0.5559,0.5368,0.1800
21,1.4407,1.4009,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7405,0.5544,0.5354,0.1800
22,1.5036,1.4615,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7438,0.5533,0.5343,0.1800
23,1.5650,1.5244,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7462,0.5525,0.5335,0.1800
24,1.6251,1.5859,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7478,0.5520,0.5330,0.1800
25,1.6861,1.6463,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7488,0.5517,0.5327,0.1800
26,1.7472,1.7069,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7495,0.5514,0.5325,0.1800
27,1.8112,1.7691,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
28,1.8749,1.8331,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7502,0.5512,0.5323,0.1800
29,1.9364,1.8955,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7503,0.5512,0.5322,0.1800
30,1.9974,1.9575,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7503,0.5512,0.5322,0.1800
31,2.0573,2.0183,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7503,0.5512,0.5322,0.1800
32,2.1223,2.0783,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7503,0.5512,0.5322,0.1800
33,2.1839,2.1429,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7502,0.5512,0.5323,0.1800
34,2.2460,2.2049,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7502,0.5512,0.5323,0.1800
35,2.3104,2.2672,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7501,0.5512,0.5323,0.1800
36,2.3778,2.3313,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7501,0.5512,0.5323,0.1800
37,2.4387,2.3991,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7500,0.5513,0.5323,0.1800
38,2.4998,2.4595,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7500,0.5513,0.5323,0.1800
39,2.5615,2.5209,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7500,0.5513,0.5323,0.1800
40,2.6241,2.5830,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7500,0.5513,0.5323,0.1800
41,2.6845,2.6452,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
42,2.7466,2.7055,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
43,2.8079,2.7675,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
44,2.8685,2.8293,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
45,2.9309,2.8892,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
46,2.9918,2.9522,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
47,3.0517,3.0127,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
48,3.1136,3.0726,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
49,3.1764,3.1343,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
50,3.2381,3.1969,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
51,3.3010,3.2598,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
52,3.3649,3.3225,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
53,3.4258,3.3856,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
54,3.4879,3.4465,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
55,3.5474,3.5085,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
56,3.6076,3.5680,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
57,3.6681,3.6285,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
58,3.7313,3.6888,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
59,3.7932,3.7521,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
60,3.8565,3.8146,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
61,3.9177,3.8773,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
62,3.9795,3.9390,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
63,4.0398,4.0001,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
64,4.1042,4.0603,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
65,4.1677,4.1261,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
66,4.2302,4.1885,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
67,4.2905,4.2514,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
68,4.3543,4.3122,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
