frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.1076,0.0811,0.0000,True,0.000,holding-right,-1.0000,0.0000,-0.260,-3.303,0.4018,0.1966,0.6020,0.1800
1,0.1692,0.1703,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
2,0.2321,0.2305,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
3,0.2939,0.2932,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
4,0.3644,0.3549,0.0000,True,0.000,hero-nemu-ghoststep,-1.0000,0.0000,0.000,0.000,0.5306,0.2752,0.5470,0.1800
5,0.4291,0.4273,0.0000,True,12.348,hero-nemu-ghoststep,-1.0000,0.0000,-7.149,34.239,0.2867,-0.1459,0.3876,0.1800
6,0.4923,0.4908,0.0000,True,14.538,hero-nemu-ghoststep,-1.0000,0.0000,-3.775,36.961,0.2653,-0.2172,0.3391,0.1800
7,0.5553,0.5544,0.0000,True,9.857,hero-nemu-ghoststep,-1.0000,0.0000,-3.295,25.405,0.1911,-0.1583,0.3351,0.1800
8,0.6186,0.6174,0.0000,True,6.160,hero-nemu-ghoststep,-1.0000,0.0000,-2.679,16.421,0.1336,-0.1072,0.3282,0.1800
9,0.6794,0.6803,0.0000,True,5.457,hero-nemu-ghoststep,-1.0000,0.0000,-2.439,14.583,0.1238,-0.0967,0.3258,0.1800
10,0.7428,0.7413,0.0000,True,3.816,hero-nemu-ghoststep,-1.0000,0.0000,-1.766,10.186,0.1037,-0.0711,0.3173,0.1800
11,0.8056,0.8054,0.0000,True,1.736,hero-nemu-ghoststep,-1.0000,0.0000,-0.839,4.630,0.0787,-0.0386,0.3040,0.1800
12,0.8694,0.8679,0.0000,True,0.252,hero-nemu-ghoststep,-1.0000,0.0000,-0.125,0.671,0.0606,-0.0157,0.2930,0.1800
13,0.9324,0.9313,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,-0.896,0.0615,-0.0030,0.3106,0.1800
14,0.9928,0.9940,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,-7.226,0.2500,0.1620,0.5406,0.1800
15,1.0554,1.0543,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5090,0.2793,0.5552,0.1800
16,1.1202,1.1179,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5084,0.2795,0.5554,0.1800
17,1.1829,1.1829,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5080,0.2795,0.5555,0.1800
18,1.2486,1.2454,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5077,0.2796,0.5556,0.1800
19,1.3189,1.3105,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5075,0.2796,0.5557,0.1800
20,1.3827,1.3803,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5073,0.2797,0.5558,0.1800
21,1.4465,1.4442,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5072,0.2797,0.5558,0.1800
22,1.5065,1.5078,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5072,0.2797,0.5558,0.1800
23,1.5673,1.5678,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
24,1.6307,1.6296,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
25,1.6910,1.6922,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
26,1.7555,1.7530,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
27,1.8187,1.8172,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
28,1.8813,1.8810,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
29,1.9427,1.9434,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
30,2.0065,2.0036,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
31,2.0677,2.0680,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
32,2.1308,2.1299,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
33,2.1923,2.1923,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
34,2.2550,2.2540,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
35,2.3178,2.3171,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
36,2.3823,2.3798,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
37,2.4442,2.4440,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
38,2.5067,2.5057,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
39,2.5699,2.5683,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
40,2.6328,2.6324,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
41,2.6938,2.6942,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
42,2.7678,2.7553,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
43,2.8512,2.8322,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
44,2.9273,2.9166,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
45,3.0058,2.9904,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
46,3.0707,3.0679,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
47,3.1367,3.1346,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
48,3.1994,3.1981,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
49,3.2597,3.2607,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
50,3.3192,3.3209,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
51,3.3833,3.3804,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
52,3.4462,3.4449,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
53,3.5060,3.5076,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
54,3.5666,3.5673,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
55,3.6274,3.6281,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
56,3.6870,3.6886,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
57,3.7472,3.7479,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
58,3.8099,3.8088,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
59,3.8706,3.8712,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
60,3.9326,3.9317,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
61,3.9956,3.9938,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
62,4.0558,4.0573,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2797,0.5559,0.1800
