frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.0740,0.0065,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8193,0.5642,0.5398,0.1800
1,0.1408,0.0846,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5642,0.5398,0.1800
2,0.2022,0.1510,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5642,0.5398,0.1800
3,0.2661,0.2129,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5642,0.5398,0.1800
4,0.4641,0.2765,0.0000,True,0.000,hero-phaister-eclipse,-1.0000,0.0000,0.000,0.000,0.7523,0.5642,0.5398,0.1800
5,0.5382,0.4775,0.0000,True,4.010,hero-phaister-eclipse,-1.0000,0.0000,19.688,38.598,0.2137,-0.5593,0.3465,0.1800
6,0.6170,0.5484,0.0000,True,4.160,hero-phaister-eclipse,-1.0000,0.0000,15.192,18.280,0.0557,-0.3396,0.4785,0.1800
7,0.6890,0.6278,0.0000,True,4.528,hero-phaister-eclipse,-1.0000,0.0000,4.046,-32.895,0.2340,0.1380,0.7644,0.1800
8,0.7616,0.6995,0.0000,True,4.803,hero-phaister-eclipse,-1.0000,0.0000,-4.319,-70.113,0.6098,0.1479,0.8869,0.1800
9,0.8368,0.7728,0.0000,True,4.988,hero-phaister-eclipse,-1.0000,0.0000,-10.005,-83.984,0.7083,-0.0565,0.9253,0.1800
10,0.9113,0.8469,0.0000,True,5.178,hero-phaister-eclipse,-1.0000,0.0000,-14.626,-70.577,0.8073,-0.0199,0.9064,0.1800
11,0.9848,0.9227,0.0000,True,5.461,hero-phaister-eclipse,-1.0000,0.0000,-21.569,-50.059,0.9794,-0.0420,0.8515,0.1800
12,1.0581,0.9956,0.0000,True,5.696,hero-phaister-eclipse,-1.0000,0.0000,-27.322,-33.522,1.1067,-0.1595,0.7857,0.1800
13,1.1338,1.0688,0.0000,True,5.901,hero-phaister-eclipse,-1.0000,0.0000,-32.367,-18.710,1.1674,-0.3310,0.7104,0.1800
14,1.2067,1.1445,0.0000,True,5.967,hero-phaister-eclipse,-1.0000,0.0000,-33.910,-14.180,1.1734,-0.3875,0.6836,0.1800
15,1.2800,1.2176,0.0000,True,5.967,hero-phaister-eclipse,-1.0000,0.0000,-33.688,-14.625,1.1780,-0.3815,0.6815,0.1800
16,1.3526,1.2907,0.0000,True,5.967,hero-phaister-eclipse,-1.0000,0.0000,-33.465,-15.070,1.1825,-0.3754,0.6795,0.1800
17,1.4249,1.3628,0.0000,True,5.967,hero-phaister-eclipse,-1.0000,0.0000,-33.246,-15.509,1.1870,-0.3694,0.6774,0.1800
18,1.4968,1.4352,0.0000,True,5.967,hero-phaister-eclipse,-1.0000,0.0000,-33.094,-15.812,1.1900,-0.3652,0.6760,0.1800
19,1.5690,1.5069,0.0000,True,5.999,hero-phaister-eclipse,-1.0000,0.0000,-32.683,-16.729,1.1942,-0.3510,0.6773,0.1800
20,1.6447,1.5802,0.0000,True,6.236,hero-phaister-eclipse,-1.0000,0.0000,-30.369,-21.991,1.2058,-0.2694,0.6923,0.1800
21,1.7185,1.6550,0.0000,True,7.421,hero-phaister-eclipse,-1.0000,0.0000,-18.649,-49.027,1.1265,0.0984,0.7643,0.1800
22,1.7921,1.7294,0.0000,True,8.978,hero-phaister-eclipse,-1.0000,0.0000,-3.052,-82.627,0.8515,0.3491,0.8329,0.1800
23,1.8670,1.8033,0.0000,True,11.781,hero-phaister-eclipse,-1.0000,0.0000,26.485,-25.802,0.5994,0.2914,0.9205,0.1800
24,1.9552,1.8852,0.0000,True,11.809,hero-phaister-eclipse,-1.0000,0.0000,31.948,-8.974,0.5951,0.2525,0.9272,0.1800
25,2.0338,1.9663,0.0000,True,10.195,hero-phaister-eclipse,-1.0000,0.0000,27.199,-6.599,0.5441,0.2027,0.9211,0.1800
26,2.1120,2.0447,0.0000,True,9.585,hero-phaister-eclipse,-1.0000,0.0000,25.459,-5.875,0.5170,0.1821,0.9162,0.1800
27,2.1926,2.1232,0.0000,True,7.837,hero-phaister-eclipse,-1.0000,0.0000,20.664,-4.769,0.3953,0.1155,0.8801,0.1800
28,2.2758,2.2034,0.0000,True,4.938,hero-phaister-eclipse,-1.0000,0.0000,12.908,-2.979,0.2060,0.0424,0.7752,0.1800
29,2.3593,2.2874,0.0000,True,1.873,hero-phaister-eclipse,-1.0000,0.0000,4.872,-1.124,0.0413,0.0069,0.6155,0.1800
30,2.4389,2.3704,0.0000,True,0.105,hero-phaister-eclipse,-1.0000,0.0000,0.273,-0.063,-0.0238,0.0002,0.5064,0.1800
31,2.5184,2.4495,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,-1.303,-0.0152,0.0224,0.5238,0.1800
