frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.1433,0.0601,0.0000,True,0.000,holding-right,-1.0000,0.0000,-0.235,-5.906,0.8442,0.3552,0.8282,0.1800
1,0.2093,0.2059,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,1.0868,0.5573,0.5647,0.1800
2,0.2702,0.2688,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,1.0868,0.5573,0.5647,0.1800
3,0.3835,0.3297,0.0000,True,0.000,hero-sean-dash,-1.0000,0.0000,0.000,0.000,1.0693,0.5740,0.5562,0.1800
4,0.4546,0.4480,0.0000,True,29.512,hero-sean-dash,-1.0000,0.0000,47.431,78.861,1.2376,0.1340,0.7187,0.3386
5,0.5210,0.5172,0.0000,True,23.988,hero-sean-dash,-1.0000,0.0000,40.983,65.971,1.1075,-0.0004,0.6953,0.2957
6,0.5851,0.5816,0.0000,True,20.984,hero-sean-dash,-1.0000,0.0000,36.979,58.964,0.8259,-0.0758,0.7317,0.1800
7,0.6500,0.6457,0.0000,True,16.290,hero-sean-dash,-1.0000,0.0000,30.720,48.010,0.7027,-0.1531,0.7061,0.1800
8,0.7164,0.7129,0.0000,True,14.342,hero-sean-dash,-1.0000,0.0000,27.903,43.025,0.6534,-0.1707,0.6898,0.1800
9,0.7804,0.7766,0.0000,True,9.439,hero-sean-dash,-1.0000,0.0000,19.732,28.318,0.4896,-0.1675,0.6474,0.1800
10,0.8514,0.8414,0.0000,True,3.109,hero-sean-dash,-1.0000,0.0000,9.181,9.326,0.3346,-0.0617,0.5931,0.1800
11,0.9214,0.9135,0.0000,True,0.012,hero-sean-dash,-1.0000,0.0000,4.020,0.036,0.3026,0.0142,0.5642,0.1800
12,0.9903,0.9846,0.0000,True,0.005,holding-right,-1.0000,0.0000,1.640,-10.670,0.6986,0.4328,0.7526,0.1800
13,1.0597,1.0508,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,1.0588,0.5640,0.5715,0.1800
14,1.1290,1.1208,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,1.0670,0.5620,0.5695,0.1800
15,1.1920,1.1892,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,1.0731,0.5606,0.5680,0.1800
16,1.2539,1.2517,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,1.0772,0.5596,0.5670,0.1800
17,1.3150,1.3133,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,1.0802,0.5589,0.5663,0.1800
18,1.3767,1.3746,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,1.0824,0.5583,0.5658,0.1800
19,1.4436,1.4368,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,1.0840,0.5580,0.5654,0.1800
