frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.0717,0.0069,0.0000,False,0.000,idle,-1.0000,0.0000,-0.002,-1.215,0.7926,0.5334,0.5920,0.1800
1,0.1335,0.0825,0.0000,False,0.000,idle,-1.0000,0.0000,-0.541,-4.883,0.4038,0.1971,0.8472,0.1800
2,0.1953,0.1449,0.0000,False,0.000,idle,-1.0000,0.0000,-2.016,0.000,0.3005,-0.0200,0.8507,0.1800
3,0.2542,0.2064,0.0000,False,0.000,idle,-1.0000,0.0000,-3.371,0.000,0.3458,-0.0217,0.8709,0.1800
4,0.3241,0.2646,0.0000,True,0.000,hero-zack-charge,-1.0000,0.0000,-4.446,0.000,0.3826,-0.0247,0.8847,0.1800
5,0.3901,0.3367,0.0000,True,6.416,hero-zack-charge,-1.0000,0.0000,8.591,-56.529,0.2171,0.5609,0.4605,0.1800
6,0.4537,0.4027,0.0000,True,354.154,hero-zack-charge,-1.0000,0.0000,-7.607,17.599,0.2813,-0.4502,0.7082,0.1800
7,0.5160,0.4648,0.0000,True,355.470,hero-zack-charge,-1.0000,0.0000,-5.562,14.084,0.2111,-0.3630,0.7017,0.1800
8,0.5810,0.5271,0.0000,True,356.838,hero-zack-charge,-1.0000,0.0000,-3.630,10.433,0.1414,-0.2711,0.6810,0.1800
9,0.6464,0.5926,0.0000,True,357.262,hero-zack-charge,-1.0000,0.0000,-3.084,9.127,0.1163,-0.2383,0.6666,0.1800
10,0.7105,0.6589,0.0000,True,358.362,hero-zack-charge,-1.0000,0.0000,-1.763,5.462,0.0502,-0.1474,0.6104,0.1800
11,0.7742,0.7220,0.0000,True,359.504,hero-zack-charge,-1.0000,0.0000,-0.508,1.653,-0.0051,-0.0578,0.5358,0.1800
12,0.8347,0.7855,0.0000,True,-0.003,hero-zack-charge,-1.0000,0.0000,-0.003,0.011,-0.0232,-0.0216,0.4989,0.1800
13,0.8951,0.8457,0.0000,True,-0.002,holding-right,-1.0000,0.0000,-0.002,-11.132,0.3014,0.3333,0.7235,0.1800
14,0.9552,0.9057,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5485,0.5555,0.1800
15,1.1184,0.9664,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5485,0.5555,0.1800
16,1.1845,1.1310,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5485,0.5555,0.1800
17,1.2446,1.1955,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5485,0.5555,0.1800
18,1.3063,1.2557,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5485,0.5555,0.1800
19,1.3695,1.3173,0.0000,True,0.000,holding-right,0.0000,0.0000,0.000,0.000,0.7523,0.5485,0.5555,0.1800
20,1.4350,1.3812,0.0000,True,0.000,holding-right,0.0256,0.0000,-1.430,-5.071,0.7575,0.4801,0.6345,0.1800
21,1.4993,1.4477,0.0000,True,0.000,holding-right,0.0522,0.0000,-2.751,-9.754,0.7599,0.4095,0.6984,0.1800
22,1.5647,1.5123,0.0000,True,0.000,holding-right,0.0780,0.0000,-3.891,-13.791,0.7601,0.3440,0.7460,0.1800
23,1.6278,1.5760,0.0000,True,0.000,holding-right,0.1035,0.0000,-4.895,-17.340,0.7589,0.2838,0.7820,0.1800
24,1.6929,1.6407,0.0000,True,0.000,holding-right,0.1294,0.0000,-5.802,-20.543,0.7568,0.2278,0.8098,0.1800
25,1.7563,1.7052,0.0000,True,0.000,holding-right,0.1552,0.0000,-6.607,-23.383,0.7542,0.1771,0.8307,0.1800
26,1.8198,1.7688,0.0000,True,0.000,holding-right,0.1806,0.0000,-7.314,-25.877,0.7513,0.1322,0.8462,0.1800
27,1.8812,1.8313,0.0000,True,0.000,holding-right,0.2056,0.0000,-7.935,-28.059,0.7485,0.0926,0.8576,0.1800
28,1.9433,1.8930,0.0000,True,0.000,holding-right,0.2303,0.0000,-8.482,-29.981,0.7457,0.0576,0.8659,0.1800
29,2.0076,1.9550,0.0000,False,0.000,holding-right,-1.0000,0.0000,-8.938,-31.580,0.7144,0.0306,0.8412,0.1800
30,2.0684,2.0183,0.0000,False,0.000,idle,-1.0000,0.0000,11.081,-5.581,0.8137,0.7343,0.2332,0.1800
31,2.1295,2.0785,0.0000,False,0.000,idle,-1.0000,0.0000,14.528,1.342,0.7260,0.7748,0.0068,0.1800
32,2.1914,2.1399,0.0000,False,0.000,idle,-1.0000,0.0000,16.990,6.217,0.6558,0.7448,-0.1610,0.1800
33,2.2543,2.2029,0.0000,False,0.000,idle,-1.0000,0.0000,15.125,2.574,0.6473,0.7843,-0.0373,0.1800
34,2.3154,2.2654,0.0000,False,0.000,idle,-1.0000,0.0000,10.652,-3.294,0.6304,0.7821,0.2642,0.1800
35,2.3757,2.3261,0.0000,False,0.000,idle,-1.0000,0.0000,5.203,-6.646,0.5818,0.6078,0.6054,0.1800
36,2.4945,2.3862,0.0000,False,0.000,idle,-1.0000,0.0000,0.437,-5.556,0.4729,0.3076,0.8184,0.1800
37,2.6003,2.5143,0.0000,False,0.000,idle,-1.0000,0.0000,-1.961,0.000,0.2734,-0.0194,0.8327,0.1800
38,2.6621,2.6123,0.0000,False,0.000,idle,-1.0000,0.0000,-0.154,0.000,0.2361,-0.0213,0.8129,0.1800
39,2.7256,2.6734,0.0000,False,0.000,idle,-1.0000,0.0000,0.885,0.000,0.2450,-0.0230,0.8196,0.1800
40,2.8321,2.7364,0.0000,False,0.000,idle,-1.0000,0.0000,2.109,0.000,0.2763,-0.0238,0.8387,0.1800
41,2.8922,2.8439,0.0000,False,0.000,idle,-1.0000,0.0000,4.064,0.000,0.3500,-0.0205,0.8745,0.1800
42,2.9527,2.9029,0.0000,False,0.000,idle,-1.0000,0.0000,4.756,0.000,0.3815,-0.0177,0.8865,0.1800
43,3.0191,2.9639,0.0000,False,0.000,idle,-1.0000,0.0000,4.963,0.000,0.3922,-0.0166,0.8903,0.1800
44,3.0803,3.0299,0.0000,False,0.000,idle,-1.0000,0.0000,4.341,0.000,0.3717,-0.0188,0.8833,0.1800
45,3.1413,3.0918,0.0000,False,0.000,idle,-1.0000,0.0000,3.163,0.000,0.3335,-0.0216,0.8679,0.1800
46,3.2043,3.1526,0.0000,False,0.000,idle,-1.0000,0.0000,1.813,0.000,0.2908,-0.0229,0.8474,0.1800
47,3.2647,3.2151,0.0000,False,0.000,idle,-1.0000,0.0000,0.630,0.000,0.2546,-0.0223,0.8269,0.1800
48,3.3247,3.2750,0.0000,False,0.000,idle,-1.0000,0.0000,0.104,0.000,0.2390,-0.0216,0.8170,0.1800
49,3.3869,3.3352,0.0000,False,0.000,idle,-1.0000,0.0000,-0.294,0.000,0.2451,-0.0209,0.8206,0.1800
50,3.4468,3.3970,0.0000,False,0.000,idle,-1.0000,0.0000,-1.258,0.000,0.2758,-0.0200,0.8381,0.1800
51,3.5093,3.4578,0.0000,False,0.000,idle,-1.0000,0.0000,-2.562,0.000,0.3185,-0.0205,0.8592,0.1800
52,3.5710,3.5196,0.0000,False,0.000,idle,-1.0000,0.0000,-3.878,0.000,0.3631,-0.0229,0.8777,0.1800
