sample,frame_ms
0,6.655003
1,6.694997
2,6.649199
3,3.336806
4,6.663400
5,6.696797
6,3.330003
7,6.671995
8,6.630605
9,3.345897
10,6.676098
11,3.330003
12,6.674497
13,6.647399
14,3.330003
15,6.667999
16,6.669097
17,3.330003
18,6.681300
19,6.653103
20,3.342000
21,6.648696
22,3.338499
23,6.664002
24,6.678203
25,3.329996
26,6.645401
27,3.330003
28,6.680095
29,3.330003
30,6.687897
31,6.651800
32,3.336005
33,6.653699
34,6.696499
35,3.330003
36,6.653897
37,6.664102
38,3.329996
39,6.664399
40,3.335204
41,6.660395
42,3.330003
43,6.664102
44,3.343197
45,6.669905
46,6.674894
47,3.330003
48,6.689002
49,6.645897
50,3.330003
51,6.663201
52,3.329996
53,6.664300
54,3.345302
55,6.656597
56,3.330003
57,6.676899
58,6.668700
59,3.330003
60,6.673894
61,6.636905
62,3.345097
63,6.655102
64,6.683001
65,3.329996
66,6.677806
67,6.654797
68,3.341497
69,6.669501
70,3.330003
71,6.667198
72,3.330003
73,6.681101
74,6.641497
75,3.337698
76,6.656505
77,3.343998
78,6.673597
79,3.330003
80,6.674497
81,6.660402
82,3.330003
83,6.682398
84,3.329996
85,10.020400
86,3.330003
87,6.642602
88,10.086000
89,3.329996
90,13.254700
91,10.013900
92,3.330003
93,6.638797
94,3.346903
95,6.653600
96,6.668098
97,3.330003
98,6.671896
99,6.709899
100,3.330003
101,6.653302
102,6.649398
103,3.330003
104,6.685899
105,3.329996
106,6.648604
107,6.654301
108,3.336600
109,6.674200
110,6.675999
111,3.333801
112,6.692496
113,6.615306
114,3.338797
115,6.672101
116,3.329996
117,6.711905
118,6.629797
119,3.330003
120,6.687401
121,6.650596
122,3.330003
123,6.652898
124,6.688201
125,3.329996
126,6.635204
127,6.724901
128,3.329996
129,6.631299
130,6.656902
131,3.337103
132,6.693296
133,9.990603
134,3.329996
135,6.659701
136,3.330003
137,6.685998
138,6.662599
139,3.330003
140,6.642999
141,6.692297
142,3.330003
143,6.654698
144,6.692801
145,3.330003
146,6.675900
147,6.648795
148,3.330003
149,6.694799
150,6.632504
151,3.329996
152,6.660601
153,6.720600
154,3.330003
155,6.632894
156,6.678401
157,3.330003
158,6.656498
159,3.330003
160,6.641397
161,6.707703
162,3.329996
163,6.644005
164,6.692900
165,3.329996
166,6.644501
167,6.675900
168,3.330003
169,10.001200
170,3.330003
171,6.677197
172,6.676198
173,3.330003
174,6.656399
175,6.685303
176,3.329996
177,6.644905
178,6.681201
179,3.329996
180,6.642900
181,6.697704
182,6.640399
183,9.999001
184,3.329996
185,20.002500
186,3.330003
187,16.675300
188,3.330003
189,23.337700
190,6.691000
191,6.684899
192,3.330003
193,9.971293
194,3.335303
195,9.968998
196,3.340505
197,10.029800
198,3.330003
199,6.628997
200,6.707200
201,6.630102
202,3.340696
203,6.658900
204,6.700801
205,6.660303
206,3.329996
207,6.653401
208,6.667000
209,6.681704
210,3.329996
211,6.693006
212,6.631598
213,6.683496
214,6.644806
215,6.669799
216,3.346698
217,10.006400
218,3.330003
219,6.629896
220,6.711104
221,6.637699
222,3.353203
223,9.986296
224,3.334701
225,10.002700
226,3.330003
227,6.686897
228,6.640399
229,6.683206
230,6.654797
231,6.652601
232,3.348795
233,9.988400
234,3.342503
235,10.030300
236,3.330003
237,9.977197
238,3.343197
239,6.641504
240,6.691100
241,6.626800
242,6.701602
243,6.654698
244,3.335998
245,6.683100
246,6.649405
247,3.333596
248,6.659701
249,6.671705
250,6.660494
251,6.657100
252,6.694799
253,3.330003
254,6.649497
255,6.671606
256,6.660700
257,6.658000
258,3.361898
259,6.652402
260,6.668098
261,3.330003
262,6.662195
263,6.665901
264,3.336600
265,6.643899
266,6.698802
267,3.329996
268,6.698902
269,6.628798
270,3.330003
271,6.671103
272,6.687897
273,3.330003
274,6.655797
275,6.667503
276,3.329996
277,6.690703
278,6.644799
279,3.330003
280,6.676999
281,6.659602
282,3.329996
283,6.648902
284,6.718502
285,6.605598
286,3.358404
287,10.008900
288,3.329996
289,6.722301
290,6.604202
291,3.329996
292,6.673406
293,6.659595
294,3.330003
295,9.982702
296,3.338797
297,9.993898
298,3.337599
299,6.675099
300,6.691206
301,3.329996
302,6.664300
303,6.645302
304,3.355796
305,9.997300
306,3.330003
307,6.652601
308,6.671698
309,3.330003
310,6.650900
311,6.718098
312,3.330003
313,6.640101
314,6.654897
315,6.697903
316,6.630095
317,3.341702
318,10.018800
319,3.330003
320,6.657398
321,6.657398
322,6.685403
323,3.330003
324,6.660700
325,6.663599
326,6.673299
327,3.330003
328,6.699893
329,6.611005
330,3.356498
331,10.025900
332,3.330003
333,6.626700
334,6.677395
335,3.330003
336,10.000900
337,3.329996
338,6.664201
339,6.696606
340,3.329996
341,6.674801
342,6.636600
343,3.329996
344,6.655704
345,6.709000
346,6.641298
347,3.330003
348,6.672895
349,6.667106
350,3.329996
351,6.651403
352,6.676701
353,6.671400
354,3.329996
355,6.692304
356,6.655995
357,3.336905
358,6.664697
359,6.647598
360,16.674100
361,3.330003
362,6.669097
363,6.644402
364,6.689201
365,3.330003
366,6.677898
367,6.652997
