sample,frame_ms
0,6.668899
1,6.656200
2,3.353401
3,6.636997
4,3.377197
5,6.646705
6,3.329996
7,6.644402
8,3.385898
9,6.610105
10,3.343197
11,6.664201
12,3.364598
13,6.639102
14,3.363698
15,6.652105
16,3.342000
17,6.641199
18,3.353096
19,6.638003
20,3.350701
21,6.651700
22,3.360700
23,6.641298
24,3.350602
25,6.656399
26,3.348895
27,6.641603
28,3.340703
29,6.655797
30,3.382200
31,6.624504
32,3.364399
33,6.637401
34,3.376701
35,6.623094
36,3.341404
37,6.647796
38,3.337904
39,6.665200
40,3.364002
41,6.643899
42,3.364300
43,6.627098
44,3.362599
45,6.641199
46,3.333404
47,6.662096
48,3.362599
49,6.649802
50,3.357504
51,6.626396
52,3.364101
53,6.637302
54,3.362401
55,6.636494
56,3.346507
57,6.655499
58,3.357795
59,6.657306
60,3.357894
61,6.633404
62,3.365901
63,6.641199
64,3.350595
65,6.631902
66,3.340001
67,6.667000
68,3.346202
69,6.654996
70,3.366100
71,6.627204
72,3.358397
73,6.643899
74,3.333503
75,6.665703
76,3.344296
77,6.656200
78,3.333702
79,6.665101
80,3.349596
81,6.655902
82,3.367000
83,6.637897
84,3.351105
85,6.660899
86,3.348200
87,6.631902
88,3.360197
89,6.635098
90,3.330003
91,6.672598
92,3.344700
93,6.655803
94,3.339895
95,6.656505
96,3.361997
97,6.643601
98,3.338301
99,6.657596
100,3.334906
101,6.672400
102,3.334198
103,6.675801
104,3.329996
105,6.649901
106,3.380301
107,6.621004
108,3.375000
109,6.632802
110,3.329996
111,6.665802
112,3.329996
113,6.664002
114,3.375900
115,6.617899
116,3.373200
117,6.633702
118,3.358099
119,6.641397
120,3.361402
121,6.630003
122,3.372399
123,6.637195
124,3.359800
125,6.637104
126,3.396698
127,6.636905
128,6.640093
129,3.358503
130,6.631002
131,3.360898
132,6.641702
133,3.349298
134,6.654301
135,3.335998
136,6.660700
137,3.353699
138,6.651403
139,3.360898
140,6.630903
141,3.346294
142,6.650206
143,3.341794
144,6.668105
145,3.360998
146,6.634198
147,3.367900
148,6.629499
149,3.333603
150,6.673597
151,3.372704
152,6.624001
153,3.404896
154,6.595500
155,6.665802
156,3.343998
157,6.672201
158,3.344898
159,6.646202
160,6.657199
161,3.350999
162,6.655301
163,6.688201
164,3.330003
165,6.655797
166,3.335601
167,6.646400
168,6.685403
169,3.343700
170,6.651800
171,6.657993
172,3.349901
173,6.667404
174,6.657596
175,3.347704
176,6.636402
177,3.362599
178,6.632398
179,3.343601
180,6.657802
181,3.357398
182,6.652402
183,3.359396
184,6.628798
185,3.361104
186,6.653401
187,3.342496
188,6.658999
189,6.657100
190,3.347903
191,6.652799
192,6.664399
193,3.337500
194,6.671301
195,6.666000
196,3.400099
197,6.600999
198,6.650999
199,3.377303
200,6.648902
201,6.647796
202,3.338804
203,6.672895
204,6.660204
205,3.334694
206,6.674504
207,6.661898
208,3.349001
209,6.646103
210,6.650198
211,3.372300
212,6.654103
213,6.661097
214,3.353401
215,6.631399
216,6.669898
217,3.340001
218,6.668700
219,6.649703
220,3.340597
221,6.690604
222,6.645500
223,3.378699
224,6.640901
225,6.649199
226,3.338499
227,6.664399
228,6.645699
229,3.366603
230,6.671400
231,6.640498
232,3.351297
233,6.667503
234,6.644600
235,3.353600
236,6.677197
237,6.638804
238,3.363896
239,6.659304
240,6.632001
241,3.371797
242,6.655803
243,6.645599
244,3.368998
245,6.654500
246,6.651601
247,3.339002
248,6.685395
249,6.636402
250,3.353501
251,6.662797
252,6.644799
253,3.385105
254,6.637195
255,6.654004
256,3.342999
257,6.667397
258,6.646301
259,3.359899
260,6.652402
261,6.658504
262,3.358099
263,6.665498
264,6.653897
265,3.349603
266,6.639102
267,6.694295
268,6.637805
269,3.351800
270,6.657299
271,6.661402
272,3.348696
273,6.643601
274,6.684297
275,3.345203
276,6.636600
277,6.678798
278,3.346606
279,6.672796
280,6.652098
281,3.372300
282,6.624001
283,6.664102
284,3.349398
285,6.651006
286,6.668694
287,3.333404
288,6.683900
289,6.648696
290,3.330003
291,6.660501
292,6.675198
293,3.342099
294,6.665802
295,6.655499
296,3.358099
297,6.643403
298,6.666595
299,3.361798
300,6.651906
301,3.342396
302,6.650801
303,6.663301
304,3.336196
305,6.668601
306,6.669005
