bayan/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.08, 1.00, 1.08); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.941, 0.694, 0.518, 1.000)
bayan/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.08, 1.00, 1.08); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.941, 0.694, 0.518, 1.000)
maring/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(0.90, 1.00, 0.90); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.969, 0.788, 0.651, 1.000)
maring/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(0.90, 1.00, 0.90); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.969, 0.788, 0.651, 1.000)
totoy/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.941, 0.694, 0.518, 1.000)
totoy/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.941, 0.694, 0.518, 1.000)
inday/Right: mesh=IndayRestored_right_ExactArm; size=(0.75, 0.84, 0.61); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=1; skin15=(0.69, 0.32, 0.15, 1.00); color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=True; quality=Linear; expectedSkin=RGBA(0.851, 0.604, 0.424, 1.000)
inday/Left: mesh=IndayRestored_left_ExactArm; size=(0.75, 0.84, 0.61); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=1; skin15=(0.69, 0.32, 0.15, 1.00); color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=True; quality=Linear; expectedSkin=RGBA(0.851, 0.604, 0.424, 1.000)
kuya_boy/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.690, 0.443, 0.290, 1.000)
kuya_boy/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.690, 0.443, 0.290, 1.000)
ate_girlie/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(0.90, 1.00, 0.90); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.969, 0.788, 0.651, 1.000)
ate_girlie/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(0.90, 1.00, 0.90); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.969, 0.788, 0.651, 1.000)
tikboy/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.851, 0.604, 0.424, 1.000)
tikboy/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.851, 0.604, 0.424, 1.000)
bebang/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(0.90, 1.00, 0.90); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.941, 0.694, 0.518, 1.000)
bebang/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(0.90, 1.00, 0.90); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.941, 0.694, 0.518, 1.000)
jun_jun/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.969, 0.788, 0.651, 1.000)
jun_jun/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.00, 1.00, 1.00); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.969, 0.788, 0.651, 1.000)
lola_pacing/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(0.90, 1.00, 0.90); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.969, 0.788, 0.651, 1.000)
lola_pacing/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(0.90, 1.00, 0.90); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.969, 0.788, 0.651, 1.000)
mang_kanor/Right: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.06, 1.00, 1.06); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.690, 0.443, 0.290, 1.000)
mang_kanor/Left: mesh=default; size=(0.32, 0.84, 0.30); scale=(1.06, 1.00, 1.06); shader=TumbangPreso/Toon; palette=0; skin15=none; color=RGBA(1.000, 1.000, 1.000, 1.000); blockEmpty=False; quality=Linear; expectedSkin=RGBA(0.690, 0.443, 0.290, 1.000)
