frame,real_seconds,focus_amount,control_scale,label_scale
0,0.000531,0.000000,1.000000,1.000000
1,0.041825,0.000000,1.000000,1.000000
2,0.081442,0.000000,1.000000,1.000000
3,0.081841,0.000000,1.000000,1.000000
4,0.083597,0.000000,1.000000,1.000000
5,0.087049,0.000000,1.000000,1.000000
6,0.090336,0.000000,1.000000,1.000000
7,0.093644,0.000000,1.000000,1.000000
8,0.096980,0.000000,1.000000,1.000000
9,0.100366,0.000000,1.000000,1.000000
10,0.103716,0.000000,1.000000,1.000000
11,0.132468,0.000000,1.000000,1.000000
12,0.161320,0.000000,1.000000,1.000000
13,0.161775,0.000000,1.000000,1.000000
14,0.163629,0.000000,1.000000,1.000000
15,0.167078,0.000000,1.000000,1.000000
16,0.170524,0.000000,1.000000,1.000000
17,0.173716,0.000000,1.000000,1.000000
18,0.177133,0.000000,1.000000,1.000000
19,0.180482,0.000000,1.000000,1.000000
20,0.183736,0.000000,1.000000,1.000000
21,0.187142,0.000000,1.000000,1.000000
22,0.190305,0.000000,1.000000,1.000000
23,0.193709,0.000000,1.000000,1.000000
24,0.196968,0.000000,1.000000,1.000000
25,0.200405,0.000000,1.000000,1.000000
26,0.203664,0.000000,1.000000,1.000000
27,0.231221,0.000000,1.000000,1.000000
28,0.258786,0.000000,1.000000,1.000000
29,0.259275,0.000000,1.000000,1.000000
30,0.260225,0.000000,1.000000,1.000000
31,0.263725,0.000000,1.000000,1.000000
32,0.267082,0.000000,1.000000,1.000000
33,0.270371,0.000000,1.000000,1.000000
34,0.273927,0.000000,1.000000,1.000000
35,0.277164,0.000000,1.000000,1.000000
36,0.280313,0.000000,1.000000,1.000000
37,0.283668,0.000000,1.000000,1.000000
38,0.286966,0.000000,1.000000,1.000000
39,0.290317,0.000000,1.000000,1.000000
40,0.293720,0.000000,1.000000,1.000000
41,0.297129,0.000000,1.000000,1.000000
42,0.300407,0.000000,1.000000,1.000000
43,0.303747,0.000000,1.000000,1.000000
44,0.329568,0.000000,1.000000,1.000000
45,0.355579,0.000000,1.000000,1.000000
46,0.356146,0.033300,1.000000,1.000000
47,0.357073,0.066600,1.000000,1.000000
48,0.360301,0.099900,1.000000,1.000000
49,0.363729,0.200045,1.000000,1.000000
50,0.367145,0.233469,1.000000,1.000000
51,0.370303,0.266769,1.000000,1.000000
52,0.373649,0.300069,1.000000,1.000000
53,0.377233,0.333436,1.000000,1.000000
54,0.380381,0.366736,1.000000,1.000000
55,0.383532,0.400036,1.000000,1.000000
56,0.387216,0.433336,1.000000,1.000000
57,0.390355,0.466636,1.000000,1.000000
58,0.393677,0.499936,1.000000,1.000000
59,0.396999,0.533417,1.000000,1.000000
60,0.400453,0.566717,1.000000,1.000000
61,0.403729,0.600017,1.000000,1.000000
62,0.430863,0.700004,1.000000,1.000000
63,0.457835,0.999932,1.000000,1.000000
64,0.458307,1.000000,1.000000,1.000000
65,0.460091,1.000000,1.000000,1.000000
66,0.463803,1.000000,1.000000,1.000000
67,0.467080,1.000000,1.000000,1.000000
68,0.470342,1.000000,1.000000,1.000000
69,0.473672,1.000000,1.000000,1.000000
70,0.477002,1.000000,1.000000,1.000000
71,0.480410,1.000000,1.000000,1.000000
72,0.483749,1.000000,1.000000,1.000000
73,0.487105,1.000000,1.000000,1.000000
74,0.490476,1.000000,1.000000,1.000000
75,0.493720,1.000000,1.000000,1.000000
76,0.497047,1.000000,1.000000,1.000000
77,0.500486,1.000000,1.000000,1.000000
78,0.503689,1.000000,1.000000,1.000000
79,0.530577,1.000000,1.000000,1.000000
80,0.557990,1.000000,1.000000,1.000000
81,0.558801,1.000000,1.000000,1.000000
82,0.560597,1.000000,1.000000,1.000000
83,0.564283,1.000000,1.000000,1.000000
84,0.567013,1.000000,1.000000,1.000000
85,0.570350,1.000000,1.000000,1.000000
86,0.573628,1.000000,1.000000,1.000000
87,0.577051,1.000000,1.000000,1.000000
88,0.580379,1.000000,1.000000,1.000000
89,0.583637,1.000000,1.000000,1.000000
90,0.587004,1.000000,1.000000,1.000000
91,0.590515,1.000000,1.000000,1.000000
92,0.593640,1.000000,1.000000,1.000000
93,0.597096,1.000000,1.000000,1.000000
94,0.600362,1.000000,1.000000,1.000000
95,0.603672,1.000000,1.000000,1.000000
96,0.607083,1.000000,1.000000,1.000000
97,0.636493,1.000000,1.000000,1.000000
98,0.665888,1.000000,1.000000,1.000000
99,0.666272,1.000000,1.000000,1.000000
100,0.670231,1.000000,1.000000,1.000000
101,0.673734,1.000000,1.000000,1.000000
102,0.677042,1.000000,1.000000,1.000000
103,0.680203,1.000000,1.000000,1.000000
104,0.683628,1.000000,1.000000,1.000000
105,0.687006,1.000000,1.000000,1.000000
106,0.690198,1.000000,1.000000,1.000000
107,0.693637,1.000000,1.000000,1.000000
108,0.697015,1.000000,1.000000,1.000000
109,0.700394,1.000000,1.000000,1.000000
110,0.703713,1.000000,1.000000,1.000000
111,0.706964,1.000000,1.000000,1.000000
112,0.732661,1.000000,1.000000,1.000000
113,0.758707,1.000000,1.000000,1.000000
114,0.759122,1.000000,1.000000,1.000000
115,0.760390,1.000000,1.000000,1.000000
116,0.763605,1.000000,1.000000,1.000000
117,0.767021,1.000000,1.000000,1.000000
118,0.770447,1.000000,1.000000,1.000000
119,0.773683,1.000000,1.000000,1.000000
120,0.776921,1.000000,1.000000,1.000000
121,0.780336,1.000000,1.000000,1.000000
122,0.783656,1.000000,1.000000,1.000000
123,0.787020,1.000000,1.000000,1.000000
124,0.790340,1.000000,1.000000,1.000000
125,0.793758,1.000000,1.000000,1.000000
126,0.797018,1.000000,1.000000,1.000000
127,0.800331,1.000000,1.000000,1.000000
128,0.803664,1.000000,1.000000,1.000000
129,0.806934,1.000000,1.000000,1.000000
130,0.810233,1.000000,1.000000,1.000000
131,0.837153,1.000000,1.000000,1.000000
132,0.863912,1.000000,1.000000,1.000000
133,0.864633,1.000000,1.000000,1.000000
134,0.867041,1.000000,1.000000,1.000000
135,0.870492,1.000000,1.000000,1.000000
136,0.873792,1.000000,1.000000,1.000000
137,0.877173,1.000000,1.000000,1.000000
138,0.880552,1.000000,1.000000,1.000000
139,0.884219,1.000000,1.000000,1.000000
140,0.887480,1.000000,1.000000,1.000000
141,0.890430,1.000000,1.000000,1.000000
142,0.893823,1.000000,1.000000,1.000000
143,0.897330,1.000000,1.000000,1.000000
144,0.900362,1.000000,1.000000,1.000000
