frame,real_seconds,focus_amount,control_scale,label_scale
0,0.000320,0.000000,1.000000,1.000000
1,0.026634,0.000000,1.000000,1.000000
2,0.053118,0.000000,1.000000,1.000000
3,0.053396,0.000000,1.000000,1.000000
4,0.056950,0.000000,1.000000,1.000000
5,0.060368,0.000000,1.000000,1.000000
6,0.064051,0.000000,1.000000,1.000000
7,0.067093,0.000000,1.000000,1.000000
8,0.070524,0.000000,1.000000,1.000000
9,0.073750,0.000000,1.000000,1.000000
10,0.077053,0.000000,1.000000,1.000000
11,0.080433,0.000000,1.000000,1.000000
12,0.083584,0.000000,1.000000,1.000000
13,0.086956,0.000000,1.000000,1.000000
14,0.090490,0.000000,1.000000,1.000000
15,0.093769,0.000000,1.000000,1.000000
16,0.097059,0.000000,1.000000,1.000000
17,0.100617,0.000000,1.000000,1.000000
18,0.103821,0.000000,1.000000,1.000000
19,0.133947,0.000000,1.000000,1.000000
20,0.162506,0.000000,1.000000,1.000000
21,0.162785,0.000000,1.000000,1.000000
22,0.167038,0.000000,1.000000,1.000000
23,0.170416,0.000000,1.000000,1.000000
24,0.173618,0.000000,1.000000,1.000000
25,0.176924,0.000000,1.000000,1.000000
26,0.180134,0.000000,1.000000,1.000000
27,0.183580,0.000000,1.000000,1.000000
28,0.186832,0.000000,1.000000,1.000000
29,0.190270,0.000000,1.000000,1.000000
30,0.193674,0.000000,1.000000,1.000000
31,0.196941,0.000000,1.000000,1.000000
32,0.200220,0.000000,1.000000,1.000000
33,0.203560,0.000000,1.000000,1.000000
34,0.206745,0.000000,1.000000,1.000000
35,0.233414,0.000000,1.000000,1.000000
36,0.260391,0.000000,1.000000,1.000000
37,0.260799,0.000000,1.000000,1.000000
38,0.263462,0.000000,1.000000,1.000000
39,0.266834,0.000000,1.000000,1.000000
40,0.270308,0.000000,1.000000,1.000000
41,0.273544,0.000000,1.000000,1.000000
42,0.276873,0.000000,1.000000,1.000000
43,0.280199,0.000000,1.000000,1.000000
44,0.283583,0.000000,1.000000,1.000000
45,0.286701,0.000000,1.000000,1.000000
46,0.290562,0.000000,1.000000,1.000000
47,0.293768,0.000000,1.000000,1.000000
48,0.296969,0.000000,1.000000,1.000000
49,0.300379,0.000000,1.000000,1.000000
50,0.303667,0.000000,1.000000,1.000000
51,0.307087,0.000000,1.000000,1.000000
52,0.335095,0.000000,1.000000,1.000000
53,0.363592,0.000000,1.000000,1.000000
54,0.364151,1.000000,1.000000,1.000000
55,0.366819,1.000000,1.000000,1.000000
56,0.370266,1.000000,1.000000,1.000000
57,0.373533,1.000000,1.000000,1.000000
58,0.376814,1.000000,1.000000,1.000000
