real_seconds,scale
0.000391,1.023949
0.003624,1.023294
0.007082,1.022652
0.010311,1.022032
0.013432,1.021429
0.017092,1.020843
0.020363,1.020272
0.023678,1.019717
0.027147,1.019178
0.030451,1.018653
0.033434,1.018142
0.037207,1.017642
0.040352,1.017159
0.043598,1.016689
0.047220,1.016233
0.050369,1.015788
0.053446,1.015356
0.057081,1.014935
0.060375,1.014526
0.063437,1.014129
0.067156,1.013740
0.070379,1.013364
0.073509,1.012999
0.077047,1.012642
0.080311,1.012296
0.083511,1.011960
0.087053,1.011632
0.090450,1.011313
0.093510,1.011003
0.097147,1.010702
0.100534,1.010409
0.103764,1.010124
0.107277,1.009845
0.110235,1.009576
0.113686,1.009314
0.117043,1.009058
0.120262,1.008811
0.123562,1.008569
0.126989,1.008334
0.130350,1.008106
0.133610,1.007885
0.137045,1.007668
0.140307,1.007458
0.143467,1.007254
0.147080,1.007055
0.150286,1.006862
0.153622,1.006674
0.157017,1.006491
0.160311,1.006313
0.163742,1.006141
0.167034,1.005972
0.170286,1.005809
0.173700,1.005649
0.176968,1.005494
0.180216,1.005344
0.183792,1.005198
0.187021,1.005056
0.190096,1.004917
0.193783,1.004782
0.196922,1.004651
0.200504,1.004524
0.203629,1.004400
0.206944,1.004279
0.210260,1.004162
0.213709,1.004048
0.217009,1.003937
0.220093,1.003829
0.223816,1.003724
0.227007,1.003623
0.230223,1.003523
0.233681,1.003427
0.237007,1.003333
0.240250,1.003242
0.243790,1.003153
0.246878,1.003066
0.250361,1.002982
0.253841,1.002900
0.256828,1.002821
0.260366,1.002744
0.263615,1.002668
0.266943,1.002595
0.270309,1.002524
0.273672,1.002455
0.276886,1.002388
0.280356,1.002323
0.283508,1.002259
0.287005,1.002197
0.290310,1.002137
0.293659,1.002078
0.296902,1.002021
0.300310,1.001966
0.303509,1.001912
0.307026,1.001860
0.310461,1.001809
0.313740,1.001759
0.316931,1.001711
0.320370,1.001664
0.323475,1.001619
0.326956,1.001574
0.330357,1.001531
0.333521,1.001489
0.336990,1.001448
0.340338,1.001409
0.343517,1.001370
0.347183,1.001332
0.350262,1.001296
0.353582,1.001260
0.357042,1.001226
0.360296,1.001192
0.363630,1.001160
0.366955,1.001128
0.370365,1.001097
0.373493,1.001067
0.376974,1.001038
0.380316,1.001009
0.383734,1.000982
0.387020,1.000955
0.390562,1.000929
0.393768,1.000903
0.396875,1.000878
0.400356,1.000854
0.403597,1.000831
0.406942,1.000808
0.410318,1.000786
0.413488,1.000764
0.416880,1.000744
0.420349,1.000723
0.423658,1.000703
0.426916,1.000684
0.430473,1.000665
0.433626,1.000647
0.436819,1.000629
0.440353,1.000612
0.443489,1.000595
0.446903,1.000579
0.450346,1.000563
0.453634,1.000548
0.456904,1.000533
0.460411,1.000518
0.463640,1.000504
0.467117,1.000490
0.470509,1.000476
0.473751,1.000463
0.477230,1.000451
0.480413,1.000438
0.483652,1.000426
0.487068,1.000415
0.490204,1.000403
0.493727,1.000392
0.497179,1.000382
0.500393,1.000371
0.503754,1.000361
0.507010,1.000351
0.510239,1.000341
0.513672,1.000332
0.517223,1.000323
0.520289,1.000314
0.523687,1.000306
0.527073,1.000297
0.530174,1.000289
0.533791,1.000281
0.536951,1.000273
0.540369,1.000266
0.543755,1.000259
0.546959,1.000252
0.550226,1.000245
0.553764,1.000238
0.556948,1.000231
0.560270,1.000225
0.563705,1.000219
0.566940,1.000213
0.570288,1.000207
0.573647,1.000201
0.577011,1.000196
0.580282,1.000190
0.583679,1.000185
0.586893,1.000180
0.590321,1.000175
0.593653,1.000170
0.596884,1.000166
0.600388,1.000161
0.603594,1.000157
0.606813,1.000153
0.610344,1.000148
0.613470,1.000144
0.617024,1.000140
0.620178,1.000137
0.623522,1.000133
0.627014,1.000129
0.630106,1.000126
0.633638,1.000122
0.637013,1.000119
0.640238,1.000116
0.643705,1.000112
0.646998,1.000109
0.650206,1.000106
0.653706,1.000103
0.657055,1.000101
0.660221,1.000098
0.663643,1.000095
0.666855,1.000093
0.670286,1.000090
0.673742,1.000087
0.676998,1.000085
0.680229,1.000083
0.683842,1.000080
0.686997,1.000078
0.690229,1.000076
0.693699,1.000074
0.696917,1.000072
0.700205,1.000070
