sample,real_seconds,simulation_seconds,round_left,gc0,gc1,gc2
0,0.001892,16.140630,89.600070,139,139,139
1,0.016516,16.140630,89.600070,139,139,139
2,0.018501,16.140630,89.600070,139,139,139
3,0.033215,16.140630,89.600070,139,139,139
4,0.035248,16.140630,89.600070,139,139,139
5,0.049940,16.140630,89.600070,139,139,139
6,0.051987,16.140630,89.600070,139,139,139
7,0.066597,16.140630,89.600070,139,139,139
8,0.068626,16.140630,89.600070,139,139,139
9,0.083260,16.140630,89.600070,139,139,139
10,0.085306,16.140630,89.600070,139,139,139
11,0.099997,16.140630,89.600070,139,139,139
12,0.102089,16.140630,89.600070,139,139,139
13,0.116625,16.140630,89.600070,139,139,139
14,0.118664,16.140630,89.600070,139,139,139
15,0.133236,16.140630,89.600070,139,139,139
16,0.135263,16.140630,89.600070,139,139,139
17,0.150045,16.140630,89.600070,139,139,139
18,0.152082,16.140630,89.600070,139,139,139
19,0.166662,16.140630,89.600070,139,139,139
20,0.168675,16.140630,89.600070,139,139,139
21,0.183334,16.140630,89.600070,139,139,139
22,0.185354,16.140630,89.600070,139,139,139
23,0.200064,16.140630,89.600070,139,139,139
24,0.202126,16.140630,89.600070,139,139,139
25,0.216732,16.140630,89.600070,139,139,139
26,0.218773,16.140630,89.600070,139,139,139
27,0.233376,16.140630,89.600070,139,139,139
28,0.235426,16.140630,89.600070,139,139,139
29,0.250114,16.140630,89.600070,139,139,139
30,0.252115,16.140630,89.600070,139,139,139
31,0.266853,16.140630,89.600070,139,139,139
32,0.268946,16.140630,89.600070,139,139,139
33,0.283470,16.140630,89.600070,139,139,139
34,0.286200,16.140630,89.600070,139,139,139
35,0.300150,16.140630,89.600070,139,139,139
36,0.302683,16.140630,89.600070,139,139,139
37,0.317009,16.140630,89.600070,139,139,139
38,0.319088,16.140630,89.600070,139,139,139
39,0.333534,16.140630,89.600070,139,139,139
40,0.335493,16.140630,89.600070,139,139,139
41,0.350195,16.140630,89.600070,139,139,139
42,0.352144,16.140630,89.600070,139,139,139
43,0.366936,16.140630,89.600070,139,139,139
44,0.368931,16.140630,89.600070,139,139,139
45,0.383553,16.140630,89.600070,139,139,139
46,0.385651,16.140630,89.600070,139,139,139
47,0.400198,16.140630,89.600070,139,139,139
48,0.402193,16.140630,89.600070,139,139,139
49,0.416973,16.140630,89.600070,139,139,139
50,0.419014,16.140630,89.600070,139,139,139
51,0.433659,16.140630,89.600070,139,139,139
52,0.435743,16.140630,89.600070,139,139,139
53,0.450264,16.140630,89.600070,139,139,139
54,0.452459,16.140630,89.600070,139,139,139
55,0.467035,16.140630,89.600070,139,139,139
56,0.469099,16.140630,89.600070,139,139,139
57,0.483685,16.140630,89.600070,139,139,139
58,0.485766,16.140630,89.600070,139,139,139
59,0.500301,16.140630,89.600070,139,139,139
60,0.502312,16.140630,89.600070,139,139,139
61,0.517160,16.140630,89.600070,139,139,139
62,0.519182,16.140630,89.600070,139,139,139
63,0.533705,16.140630,89.600070,139,139,139
64,0.535692,16.140630,89.600070,139,139,139
65,0.550402,16.140630,89.600070,139,139,139
66,0.552424,16.140630,89.600070,139,139,139
67,0.567099,16.140630,89.600070,139,139,139
68,0.569082,16.140630,89.600070,139,139,139
69,0.583763,16.140630,89.600070,139,139,139
70,0.585775,16.140630,89.600070,139,139,139
71,0.600426,16.140630,89.600070,139,139,139
72,0.602421,16.140630,89.600070,139,139,139
73,0.617498,16.140630,89.600070,139,139,139
74,0.619629,16.140630,89.600070,139,139,139
75,0.633844,16.140630,89.600070,139,139,139
76,0.635849,16.140630,89.600070,139,139,139
77,0.650633,16.140630,89.600070,139,139,139
78,0.652624,16.140630,89.600070,139,139,139
79,0.667166,16.140630,89.600070,139,139,139
80,0.669231,16.140630,89.600070,139,139,139
81,0.683933,16.140630,89.600070,139,139,139
82,0.685928,16.140630,89.600070,139,139,139
83,0.688942,16.140630,89.600070,139,139,139
84,0.700510,16.140630,89.600070,139,139,139
85,0.702513,16.140630,89.600070,139,139,139
86,0.717232,16.140630,89.600070,139,139,139
87,0.719212,16.140630,89.600070,139,139,139
88,0.722240,16.140630,89.600070,139,139,139
89,0.733954,16.140630,89.600070,139,139,139
90,0.736013,16.140630,89.600070,139,139,139
91,0.738945,16.140630,89.600070,139,139,139
92,0.750637,16.140630,89.600070,139,139,139
93,0.752705,16.140630,89.600070,139,139,139
94,0.755499,16.140630,89.600070,139,139,139
95,0.767235,16.140630,89.600070,139,139,139
96,0.769278,16.140630,89.600070,139,139,139
97,0.772125,16.140630,89.600070,139,139,139
98,0.783976,16.140630,89.600070,139,139,139
99,0.787083,16.140630,89.600070,140,140,140
100,0.790148,16.140630,89.600070,140,140,140
101,0.800560,16.140630,89.600070,140,140,140
102,0.802570,16.140630,89.600070,140,140,140
103,0.805355,16.140630,89.600070,140,140,140
104,0.817236,16.140630,89.600070,140,140,140
105,0.819305,16.140630,89.600070,140,140,140
106,0.822331,16.140630,89.600070,140,140,140
107,0.833998,16.140630,89.600070,140,140,140
108,0.836084,16.140630,89.600070,140,140,140
109,0.839254,16.140630,89.600070,140,140,140
110,0.850683,16.140630,89.600070,140,140,140
111,0.852697,16.140630,89.600070,140,140,140
112,0.855419,16.140630,89.600070,140,140,140
113,0.867298,16.140630,89.600070,140,140,140
114,0.869330,16.140630,89.600070,140,140,140
115,0.872498,16.140630,89.600070,140,140,140
116,0.884056,16.140630,89.600070,140,140,140
117,0.886065,16.140630,89.600070,140,140,140
118,0.888933,16.140630,89.600070,140,140,140
119,0.900715,16.140630,89.600070,140,140,140
120,0.902771,16.140630,89.600070,140,140,140
121,0.905539,16.140630,89.600070,140,140,140
122,0.917383,16.140630,89.600070,140,140,140
123,0.919458,16.140630,89.600070,140,140,140
124,0.922358,16.140630,89.600070,140,140,140
125,0.934071,16.140630,89.600070,140,140,140
126,0.936115,16.140630,89.600070,140,140,140
127,0.939438,16.140630,89.600070,140,140,140
128,0.950796,16.140630,89.600070,140,140,140
129,0.952822,16.140630,89.600070,140,140,140
130,0.955299,16.140630,89.600070,140,140,140
131,0.967487,16.140630,89.600070,140,140,140
132,0.969503,16.140630,89.600070,140,140,140
133,0.972284,16.140630,89.600070,140,140,140
134,0.984133,16.140630,89.600070,140,140,140
135,0.986181,16.140630,89.600070,140,140,140
136,0.989033,16.140630,89.600070,140,140,140
137,1.000801,16.140630,89.600070,140,140,140
138,1.002846,16.140630,89.600070,140,140,140
139,1.005278,16.140630,89.600070,140,140,140
140,1.017452,16.140630,89.600070,140,140,140
141,1.019482,16.140630,89.600070,140,140,140
142,1.021986,16.140630,89.600070,140,140,140
143,1.034142,16.140630,89.600070,140,140,140
144,1.036200,16.140630,89.600070,140,140,140
145,1.039190,16.140630,89.600070,140,140,140
146,1.050941,16.140630,89.600070,140,140,140
147,1.052944,16.140630,89.600070,140,140,140
148,1.055771,16.140630,89.600070,140,140,140
149,1.067482,16.140630,89.600070,140,140,140
150,1.069511,16.140630,89.600070,140,140,140
151,1.071964,16.140630,89.600070,140,140,140
152,1.084270,16.140630,89.600070,140,140,140
153,1.086262,16.140630,89.600070,140,140,140
154,1.089041,16.140630,89.600070,140,140,140
155,1.101023,16.140630,89.600070,140,140,140
156,1.103058,16.140630,89.600070,140,140,140
157,1.106035,16.140630,89.600070,140,140,140
158,1.117647,16.140630,89.600070,140,140,140
159,1.119789,16.140630,89.600070,140,140,140
160,1.122385,16.140630,89.600070,140,140,140
161,1.134258,16.140630,89.600070,140,140,140
162,1.136265,16.140630,89.600070,140,140,140
163,1.139130,16.140630,89.600070,140,140,140
