sample,real_seconds,simulation_seconds,round_left,gc0,gc1,gc2
0,0.002583,16.341090,89.400100,148,148,148
1,0.016544,16.341090,89.400100,148,148,148
2,0.019272,16.341090,89.400100,148,148,148
3,0.033237,16.341090,89.400100,148,148,148
4,0.035957,16.341090,89.400100,148,148,148
5,0.049904,16.341090,89.400100,148,148,148
6,0.052612,16.341090,89.400100,148,148,148
7,0.066624,16.341090,89.400100,148,148,148
8,0.069408,16.341090,89.400100,148,148,148
9,0.083298,16.341090,89.400100,148,148,148
10,0.086021,16.341090,89.400100,148,148,148
11,0.100086,16.341090,89.400100,148,148,148
12,0.102814,16.341090,89.400100,148,148,148
13,0.116657,16.341090,89.400100,148,148,148
14,0.119328,16.341090,89.400100,148,148,148
15,0.133316,16.341090,89.400100,148,148,148
16,0.136066,16.341090,89.400100,148,148,148
17,0.150105,16.341090,89.400100,148,148,148
18,0.152821,16.341090,89.400100,148,148,148
19,0.166767,16.341090,89.400100,148,148,148
20,0.169487,16.341090,89.400100,148,148,148
21,0.183563,16.341090,89.400100,148,148,148
22,0.186394,16.341090,89.400100,148,148,148
23,0.199932,16.341090,89.400100,148,148,148
24,0.202713,16.341090,89.400100,148,148,148
25,0.216480,16.341090,89.400100,148,148,148
26,0.219215,16.341090,89.400100,148,148,148
27,0.222504,16.341090,89.400100,148,148,148
28,0.225441,16.341090,89.400100,148,148,148
29,0.233372,16.341090,89.400100,148,148,148
30,0.236122,16.341090,89.400100,148,148,148
31,0.249924,16.341090,89.400100,148,148,148
32,0.252609,16.341090,89.400100,148,148,148
33,0.255604,16.341090,89.400100,148,148,148
34,0.258579,16.341090,89.400100,148,148,148
35,0.266666,16.341090,89.400100,148,148,148
36,0.269482,16.341090,89.400100,148,148,148
37,0.283176,16.341090,89.400100,148,148,148
38,0.285957,16.341090,89.400100,148,148,148
39,0.288799,16.341090,89.400100,148,148,148
40,0.291817,16.341090,89.400100,148,148,148
41,0.299912,16.341090,89.400100,148,148,148
42,0.302643,16.341090,89.400100,148,148,148
43,0.316528,16.341090,89.400100,148,148,148
44,0.319225,16.341090,89.400100,148,148,148
45,0.322208,16.341090,89.400100,148,148,148
46,0.325157,16.341090,89.400100,148,148,148
47,0.333344,16.341090,89.400100,148,148,148
48,0.336102,16.341090,89.400100,148,148,148
49,0.349991,16.341090,89.400100,148,148,148
50,0.352844,16.341090,89.400100,148,148,148
51,0.355537,16.341090,89.400100,148,148,148
52,0.358414,16.341090,89.400100,148,148,148
53,0.366806,16.341090,89.400100,148,148,148
54,0.369503,16.341090,89.400100,148,148,148
55,0.383263,16.341090,89.400100,148,148,148
56,0.385998,16.341090,89.400100,148,148,148
57,0.389751,16.341090,89.400100,148,148,148
58,0.392429,16.341090,89.400100,148,148,148
59,0.400394,16.341090,89.400100,148,148,148
60,0.403118,16.341090,89.400100,148,148,148
61,0.416683,16.341090,89.400100,148,148,148
62,0.419441,16.341090,89.400100,148,148,148
63,0.433312,16.341090,89.400100,148,148,148
64,0.436157,16.341090,89.400100,148,148,148
65,0.438892,16.341090,89.400100,148,148,148
66,0.441898,16.341090,89.400100,148,148,148
67,0.450039,16.341090,89.400100,148,148,148
68,0.452763,16.341090,89.400100,148,148,148
69,0.466747,16.341090,89.400100,148,148,148
70,0.469673,16.341090,89.400100,148,148,148
71,0.472420,16.341090,89.400100,148,148,148
72,0.475605,16.341090,89.400100,148,148,148
73,0.483475,16.341090,89.400100,148,148,148
74,0.486225,16.341090,89.400100,148,148,148
75,0.500050,16.341090,89.400100,148,148,148
76,0.503281,16.341090,89.400100,149,149,149
77,0.516762,16.341090,89.400100,149,149,149
78,0.519501,16.341090,89.400100,149,149,149
79,0.533424,16.341090,89.400100,149,149,149
80,0.536251,16.341090,89.400100,149,149,149
81,0.539085,16.341090,89.400100,149,149,149
82,0.542179,16.341090,89.400100,149,149,149
83,0.550182,16.341090,89.400100,149,149,149
84,0.552944,16.341090,89.400100,149,149,149
85,0.566948,16.341090,89.400100,149,149,149
86,0.569660,16.341090,89.400100,149,149,149
87,0.583473,16.341090,89.400100,149,149,149
88,0.586186,16.341090,89.400100,149,149,149
89,0.600109,16.341090,89.400100,149,149,149
90,0.602837,16.341090,89.400100,149,149,149
91,0.616859,16.341090,89.400100,149,149,149
