sample,real_seconds,simulation_seconds,round_left,gc0,gc1,gc2
0,0.001839,16.341090,89.400100,146,146,146
1,0.016556,16.341090,89.400100,146,146,146
2,0.018570,16.341090,89.400100,146,146,146
3,0.021614,16.341090,89.400100,146,146,146
4,0.023975,16.341090,89.400100,146,146,146
5,0.033192,16.341090,89.400100,146,146,146
6,0.035202,16.341090,89.400100,146,146,146
7,0.049892,16.341090,89.400100,146,146,146
8,0.051926,16.341090,89.400100,146,146,146
9,0.054817,16.341090,89.400100,146,146,146
10,0.057137,16.341090,89.400100,146,146,146
11,0.066650,16.341090,89.400100,146,146,146
12,0.068703,16.341090,89.400100,146,146,146
13,0.083237,16.341090,89.400100,146,146,146
14,0.085297,16.341090,89.400100,146,146,146
15,0.088085,16.341090,89.400100,146,146,146
16,0.090485,16.341090,89.400100,146,146,146
17,0.099922,16.341090,89.400100,146,146,146
18,0.102135,16.341090,89.400100,146,146,146
19,0.116680,16.341090,89.400100,146,146,146
20,0.118706,16.341090,89.400100,146,146,146
21,0.121609,16.341090,89.400100,146,146,146
22,0.123959,16.341090,89.400100,146,146,146
23,0.133343,16.341090,89.400100,146,146,146
24,0.135380,16.341090,89.400100,146,146,146
25,0.149933,16.341090,89.400100,146,146,146
26,0.151970,16.341090,89.400100,146,146,146
27,0.154724,16.341090,89.400100,146,146,146
28,0.157063,16.341090,89.400100,146,146,146
29,0.166752,16.341090,89.400100,146,146,146
30,0.168949,16.341090,89.400100,146,146,146
31,0.183353,16.341090,89.400100,146,146,146
32,0.185349,16.341090,89.400100,146,146,146
33,0.188454,16.341090,89.400100,146,146,146
34,0.191181,16.341090,89.400100,146,146,146
35,0.200047,16.341090,89.400100,146,146,146
36,0.202087,16.341090,89.400100,146,146,146
37,0.216740,16.341090,89.400100,146,146,146
38,0.218967,16.341090,89.400100,146,146,146
39,0.222454,16.341090,89.400100,146,146,146
40,0.224655,16.341090,89.400100,146,146,146
41,0.233471,16.341090,89.400100,146,146,146
42,0.235535,16.341090,89.400100,146,146,146
43,0.250065,16.341090,89.400100,146,146,146
44,0.252171,16.341090,89.400100,146,146,146
45,0.254978,16.341090,89.400100,146,146,146
46,0.257565,16.341090,89.400100,146,146,146
47,0.266789,16.341090,89.400100,146,146,146
48,0.268780,16.341090,89.400100,146,146,146
49,0.283482,16.341090,89.400100,146,146,146
50,0.285511,16.341090,89.400100,146,146,146
51,0.288376,16.341090,89.400100,146,146,146
52,0.290871,16.341090,89.400100,146,146,146
53,0.300083,16.341090,89.400100,146,146,146
54,0.302792,16.341090,89.400100,146,146,146
55,0.316826,16.341090,89.400100,146,146,146
56,0.318859,16.341090,89.400100,146,146,146
57,0.321560,16.341090,89.400100,146,146,146
58,0.323837,16.341090,89.400100,146,146,146
59,0.333576,16.341090,89.400100,146,146,146
60,0.335602,16.341090,89.400100,146,146,146
61,0.350163,16.341090,89.400100,146,146,146
62,0.352291,16.341090,89.400100,146,146,146
63,0.354923,16.341090,89.400100,146,146,146
64,0.357689,16.341090,89.400100,146,146,146
65,0.366856,16.341090,89.400100,146,146,146
66,0.368858,16.341090,89.400100,146,146,146
67,0.383595,16.341090,89.400100,146,146,146
68,0.385647,16.341090,89.400100,146,146,146
69,0.388741,16.341090,89.400100,146,146,146
70,0.390953,16.341090,89.400100,146,146,146
71,0.400162,16.341090,89.400100,146,146,146
72,0.402214,16.341090,89.400100,146,146,146
73,0.416916,16.341090,89.400100,147,147,147
74,0.418942,16.341090,89.400100,147,147,147
75,0.422012,16.341090,89.400100,147,147,147
76,0.424229,16.341090,89.400100,147,147,147
77,0.433636,16.341090,89.400100,147,147,147
78,0.435814,16.341090,89.400100,147,147,147
79,0.450310,16.341090,89.400100,147,147,147
80,0.452732,16.341090,89.400100,147,147,147
81,0.456299,16.341090,89.400100,147,147,147
82,0.458698,16.341090,89.400100,147,147,147
83,0.467323,16.341090,89.400100,147,147,147
84,0.469482,16.341090,89.400100,147,147,147
85,0.483711,16.341090,89.400100,147,147,147
86,0.485920,16.341090,89.400100,147,147,147
87,0.500523,16.341090,89.400100,147,147,147
88,0.503140,16.341090,89.400100,147,147,147
89,0.517063,16.341090,89.400100,147,147,147
90,0.519302,16.341090,89.400100,147,147,147
91,0.522450,16.341090,89.400100,147,147,147
92,0.524628,16.341090,89.400100,147,147,147
93,0.533730,16.341090,89.400100,147,147,147
94,0.535923,16.341090,89.400100,147,147,147
95,0.550461,16.341090,89.400100,147,147,147
96,0.552708,16.341090,89.400100,147,147,147
97,0.555981,16.341090,89.400100,147,147,147
98,0.567116,16.341090,89.400100,147,147,147
99,0.569309,16.341090,89.400100,147,147,147
100,0.583775,16.341090,89.400100,147,147,147
101,0.586006,16.341090,89.400100,147,147,147
102,0.600510,16.341090,89.400100,147,147,147
103,0.602634,16.341090,89.400100,147,147,147
104,0.605469,16.341090,89.400100,147,147,147
105,0.608006,16.341090,89.400100,147,147,147
106,0.617115,16.341090,89.400100,147,147,147
107,0.619343,16.341090,89.400100,147,147,147
108,0.633778,16.341090,89.400100,147,147,147
109,0.635986,16.341090,89.400100,147,147,147
110,0.638908,16.341090,89.400100,147,147,147
111,0.650524,16.341090,89.400100,147,147,147
112,0.652836,16.341090,89.400100,147,147,147
113,0.656517,16.341090,89.400100,147,147,147
114,0.667187,16.341090,89.400100,147,147,147
115,0.669537,16.341090,89.400100,147,147,147
116,0.683876,16.341090,89.400100,147,147,147
117,0.686043,16.341090,89.400100,147,147,147
118,0.688965,16.341090,89.400100,147,147,147
119,0.691105,16.341090,89.400100,147,147,147
120,0.700623,16.341090,89.400100,147,147,147
121,0.702702,16.341090,89.400100,147,147,147
122,0.717278,16.341090,89.400100,147,147,147
123,0.719490,16.341090,89.400100,147,147,147
124,0.733906,16.341090,89.400100,147,147,147
125,0.736034,16.341090,89.400100,147,147,147
126,0.750694,16.341090,89.400100,147,147,147
127,0.752953,16.341090,89.400100,147,147,147
128,0.767357,16.341090,89.400100,147,147,147
129,0.769627,16.341090,89.400100,147,147,147
130,0.783962,16.341090,89.400100,147,147,147
131,0.786114,16.341090,89.400100,147,147,147
132,0.800705,16.341090,89.400100,147,147,147
133,0.802895,16.341090,89.400100,147,147,147
134,0.817329,16.341090,89.400100,147,147,147
135,0.819435,16.341090,89.400100,147,147,147
136,0.834282,16.341090,89.400100,147,147,147
137,0.837353,16.341090,89.400100,147,147,147
138,0.850925,16.341090,89.400100,147,147,147
139,0.853367,16.341090,89.400100,147,147,147
140,0.867481,16.341090,89.400100,147,147,147
141,0.869835,16.341090,89.400100,147,147,147
142,0.884094,16.341090,89.400100,147,147,147
143,0.886562,16.341090,89.400100,147,147,147
144,0.900883,16.341090,89.400100,147,147,147
145,0.903301,16.341090,89.400100,147,147,147
146,0.917557,16.341090,89.400100,147,147,147
147,0.919991,16.341090,89.400100,147,147,147
148,0.934231,16.341090,89.400100,147,147,147
149,0.936958,16.341090,89.400100,147,147,147
150,0.950836,16.341090,89.400100,147,147,147
151,0.953228,16.341090,89.400100,147,147,147
152,0.967693,16.341090,89.400100,147,147,147
153,0.970554,16.341090,89.400100,147,147,147
154,0.984425,16.341090,89.400100,147,147,147
155,0.987053,16.341090,89.400100,147,147,147
156,1.000904,16.341090,89.400100,147,147,147
157,1.003208,16.341090,89.400100,147,147,147
158,1.017689,16.341090,89.400100,147,147,147
159,1.020473,16.341090,89.400100,147,147,147
160,1.034359,16.341090,89.400100,147,147,147
161,1.037659,16.341090,89.400100,147,147,147
162,1.050999,16.341090,89.400100,147,147,147
163,1.053299,16.341090,89.400100,147,147,147
164,1.067711,16.341090,89.400100,147,147,147
165,1.070465,16.341090,89.400100,147,147,147
166,1.084347,16.341090,89.400100,147,147,147
167,1.086796,16.341090,89.400100,147,147,147
168,1.101158,16.341090,89.400100,147,147,147
169,1.103935,16.341090,89.400100,147,147,147
170,1.117752,16.341090,89.400100,147,147,147
171,1.120071,16.341090,89.400100,147,147,147
172,1.134403,16.341090,89.400100,147,147,147
173,1.136929,16.341090,89.400100,147,147,147
174,1.151066,16.341090,89.400100,147,147,147
175,1.153332,16.341090,89.400100,147,147,147
176,1.167778,16.341090,89.400100,147,147,147
177,1.170120,16.341090,89.400100,147,147,147
178,1.184807,16.341090,89.400100,147,147,147
179,1.187729,16.341090,89.400100,147,147,147
180,1.201427,16.341090,89.400100,147,147,147
181,1.204346,16.341090,89.400100,147,147,147
182,1.218086,16.341090,89.400100,147,147,147
183,1.221104,16.341090,89.400100,147,147,147
184,1.234806,16.341090,89.400100,147,147,147
185,1.237923,16.341090,89.400100,147,147,147
186,1.251431,16.341090,89.400100,147,147,147
187,1.254501,16.341090,89.400100,147,147,147
188,1.267994,16.341090,89.400100,147,147,147
189,1.270683,16.341090,89.400100,147,147,147
190,1.284798,16.341090,89.400100,147,147,147
191,1.287628,16.341090,89.400100,147,147,147
192,1.301384,16.341090,89.400100,147,147,147
193,1.305412,16.341090,89.400100,147,147,147
194,1.318142,16.341090,89.400100,147,147,147
195,1.320911,16.341090,89.400100,147,147,147
196,1.334698,16.341090,89.400100,147,147,147
197,1.337566,16.341090,89.400100,147,147,147
198,1.351280,16.341090,89.400100,147,147,147
199,1.353607,16.341090,89.400100,147,147,147
200,1.368027,16.341090,89.400100,147,147,147
201,1.371178,16.341090,89.400100,147,147,147
202,1.384781,16.341090,89.400100,147,147,147
203,1.387470,16.341090,89.400100,147,147,147
204,1.401375,16.341090,89.400100,147,147,147
205,1.404602,16.341090,89.400100,147,147,147
206,1.418198,16.341090,89.400100,147,147,147
207,1.420647,16.341090,89.400100,147,147,147
208,1.434837,16.341090,89.400100,147,147,147
209,1.437195,16.341090,89.400100,147,147,147
210,1.451443,16.341090,89.400100,147,147,147
211,1.454220,16.341090,89.400100,147,147,147
212,1.468151,16.341090,89.400100,147,147,147
213,1.470619,16.341090,89.400100,147,147,147
214,1.484943,16.341090,89.400100,147,147,147
215,1.487785,16.341090,89.400100,147,147,147
216,1.501385,16.341090,89.400100,147,147,147
