sample,frame_ms
0,2.084396
1,14.639900
2,2.064300
3,2.987302
4,2.371202
5,9.205094
6,2.093906
7,14.637800
8,2.056803
9,2.872895
10,2.258099
11,9.536005
12,2.136295
13,14.493300
14,2.089895
15,2.733404
16,2.383000
17,9.442100
18,2.234602
19,14.550100
20,2.073696
21,2.862599
22,2.343006
23,9.361295
24,2.086005
25,14.529190
26,2.069203
27,2.696499
28,2.325900
29,9.661303
30,2.240200
31,14.420390
32,2.049305
33,3.023597
34,2.741900
35,8.872399
36,2.099497
37,14.571400
38,2.214902
39,3.491298
40,2.258000
41,8.769403
42,2.125602
43,14.502200
44,2.125404
45,2.771797
46,2.598498
47,9.182100
48,2.064704
49,14.675000
50,2.068899
51,2.806597
52,2.478600
53,9.249603
54,2.711997
55,14.038000
56,2.073002
57,2.637195
58,2.258099
59,9.748505
60,2.096996
61,14.514600
62,2.084396
63,2.655903
64,2.739598
65,9.217701
66,2.044501
67,14.690700
68,2.075298
69,3.075900
70,2.206697
71,9.229500
72,2.064101
73,14.669700
74,2.073101
75,3.029202
76,2.230697
77,9.394904
78,2.123399
79,14.499790
80,2.329004
81,3.592397
82,2.468807
83,8.614697
84,2.201297
85,14.191800
86,2.216404
87,14.536000
88,2.644997
89,13.974600
90,2.227601
91,3.147300
92,2.166001
93,9.114797
94,2.169005
95,14.551500
96,2.303302
97,3.214201
98,11.141900
99,2.205697
100,14.474400
101,2.207100
102,14.511100
103,2.148398
104,2.828104
105,2.542198
106,9.078600
107,2.208596
108,14.461710
109,2.195798
110,2.957597
111,11.598000
112,2.307299
113,3.630903
114,10.685900
115,2.328501
116,14.398700
117,2.183999
118,2.908099
119,2.138400
120,9.519296
121,2.101105
122,14.546400
123,2.213499
124,14.407790
125,2.142602
126,14.632800
127,2.268396
128,14.372800
129,2.309800
130,14.335900
131,2.166504
132,14.575400
133,2.159304
134,14.479800
135,2.097201
136,14.766800
137,2.984297
138,13.670500
139,2.441900
140,14.156400
141,2.350900
142,14.259700
143,2.448200
144,14.344000
145,2.431200
146,14.256600
147,2.408999
148,14.217100
149,2.710998
150,13.926900
151,2.371003
152,14.460500
153,2.811196
154,13.896600
155,2.625000
156,13.910000
157,2.255301
158,14.505000
159,2.738598
160,13.962300
161,3.284297
162,13.344200
163,2.316100
164,14.404500
165,2.689002
166,13.957100
167,2.430499
168,14.350500
169,2.758305
170,13.871400
171,2.266695
172,14.360800
173,2.520203
174,14.155300
175,2.244501
176,14.465700
177,2.307001
178,14.614200
179,2.933900
180,13.734000
181,2.906300
182,13.741300
183,3.030704
184,13.673700
185,3.090604
186,13.532900
187,3.065001
188,13.554700
189,2.686997
190,14.071000
191,2.878196
192,13.746000
193,4.043700
194,12.700000
195,2.785998
196,13.770600
197,2.851701
198,13.791700
199,2.317602
200,14.354600
201,3.083801
202,13.722500
203,2.671797
204,13.905700
205,3.122293
206,13.637800
207,2.539697
208,14.172400
209,2.379705
210,14.209800
211,2.781200
212,13.944800
213,2.452799
214,14.293200
215,2.882703
216,13.627000
