sample,real_seconds,simulation_seconds,round_left,gc0,gc1,gc2
0,0.002325,15.957170,89.800030,133,133,133
1,0.016502,15.957170,89.800030,133,133,133
2,0.018976,15.957170,89.800030,133,133,133
3,0.033268,15.957170,89.800030,133,133,133
4,0.035692,15.957170,89.800030,133,133,133
5,0.049995,15.957170,89.800030,133,133,133
6,0.052397,15.957170,89.800030,133,133,133
7,0.066553,15.957170,89.800030,133,133,133
8,0.068993,15.957170,89.800030,133,133,133
9,0.083292,15.957170,89.800030,133,133,133
10,0.085712,15.957170,89.800030,133,133,133
11,0.100002,15.957170,89.800030,133,133,133
12,0.102593,15.957170,89.800030,133,133,133
13,0.116640,15.957170,89.800030,133,133,133
14,0.119055,15.957170,89.800030,133,133,133
15,0.133263,15.957170,89.800030,133,133,133
16,0.135691,15.957170,89.800030,133,133,133
17,0.150038,15.957170,89.800030,133,133,133
18,0.152477,15.957170,89.800030,133,133,133
19,0.166723,15.957170,89.800030,133,133,133
20,0.169163,15.957170,89.800030,133,133,133
21,0.183378,15.957170,89.800030,133,133,133
22,0.185810,15.957170,89.800030,133,133,133
23,0.200085,15.957170,89.800030,133,133,133
24,0.202543,15.957170,89.800030,133,133,133
25,0.216724,15.957170,89.800030,133,133,133
26,0.219185,15.957170,89.800030,133,133,133
27,0.233385,15.957170,89.800030,133,133,133
28,0.235815,15.957170,89.800030,133,133,133
29,0.250193,15.957170,89.800030,133,133,133
30,0.252626,15.957170,89.800030,133,133,133
31,0.266768,15.957170,89.800030,133,133,133
32,0.269236,15.957170,89.800030,133,133,133
33,0.283464,15.957170,89.800030,133,133,133
34,0.285900,15.957170,89.800030,133,133,133
35,0.300213,15.957170,89.800030,133,133,133
36,0.302683,15.957170,89.800030,133,133,133
37,0.316856,15.957170,89.800030,133,133,133
38,0.319302,15.957170,89.800030,133,133,133
39,0.333624,15.957170,89.800030,133,133,133
40,0.336035,15.957170,89.800030,133,133,133
41,0.350302,15.957170,89.800030,133,133,133
42,0.352726,15.957170,89.800030,133,133,133
43,0.366932,15.957170,89.800030,133,133,133
44,0.369408,15.957170,89.800030,133,133,133
45,0.383596,15.957170,89.800030,134,134,134
46,0.386269,15.957170,89.800030,134,134,134
47,0.400269,15.957170,89.800030,134,134,134
48,0.402683,15.957170,89.800030,134,134,134
49,0.416987,15.957170,89.800030,134,134,134
50,0.419413,15.957170,89.800030,134,134,134
51,0.433594,15.957170,89.800030,134,134,134
52,0.436028,15.957170,89.800030,134,134,134
53,0.450312,15.957170,89.800030,134,134,134
54,0.452745,15.957170,89.800030,134,134,134
55,0.467070,15.957170,89.800030,134,134,134
56,0.469536,15.957170,89.800030,134,134,134
57,0.483646,15.957170,89.800030,134,134,134
58,0.486137,15.957170,89.800030,134,134,134
59,0.500336,15.957170,89.800030,134,134,134
60,0.502758,15.957170,89.800030,134,134,134
61,0.517090,15.957170,89.800030,134,134,134
62,0.519510,15.957170,89.800030,134,134,134
63,0.533722,15.957170,89.800030,134,134,134
64,0.536118,15.957170,89.800030,134,134,134
65,0.550732,15.957170,89.800030,134,134,134
66,0.553137,15.957170,89.800030,134,134,134
67,0.567474,15.957170,89.800030,134,134,134
68,0.569883,15.957170,89.800030,134,134,134
69,0.584143,15.957170,89.800030,134,134,134
70,0.586554,15.957170,89.800030,134,134,134
