sample,real_seconds,simulation_seconds,round_left,gc0,gc1,gc2
0,0.002039,15.957170,89.800030,131,131,131
1,0.016022,15.957170,89.800030,131,131,131
2,0.018032,15.957170,89.800030,131,131,131
3,0.021042,15.957170,89.800030,131,131,131
4,0.023899,15.957170,89.800030,131,131,131
5,0.032768,15.957170,89.800030,131,131,131
6,0.035046,15.957170,89.800030,131,131,131
7,0.049400,15.957170,89.800030,131,131,131
8,0.051445,15.957170,89.800030,131,131,131
9,0.053940,15.957170,89.800030,131,131,131
10,0.056156,15.957170,89.800030,131,131,131
11,0.066214,15.957170,89.800030,131,131,131
12,0.068428,15.957170,89.800030,131,131,131
13,0.082722,15.957170,89.800030,131,131,131
14,0.084892,15.957170,89.800030,131,131,131
15,0.087513,15.957170,89.800030,131,131,131
16,0.090105,15.957170,89.800030,131,131,131
17,0.099539,15.957170,89.800030,131,131,131
18,0.101833,15.957170,89.800030,131,131,131
19,0.116165,15.957170,89.800030,131,131,131
20,0.118116,15.957170,89.800030,131,131,131
21,0.120674,15.957170,89.800030,131,131,131
22,0.123196,15.957170,89.800030,131,131,131
23,0.132797,15.957170,89.800030,131,131,131
24,0.134808,15.957170,89.800030,131,131,131
25,0.149492,15.957170,89.800030,131,131,131
26,0.151632,15.957170,89.800030,131,131,131
27,0.154427,15.957170,89.800030,131,131,131
28,0.156664,15.957170,89.800030,131,131,131
29,0.166323,15.957170,89.800030,131,131,131
30,0.168539,15.957170,89.800030,131,131,131
31,0.182772,15.957170,89.800030,131,131,131
32,0.184851,15.957170,89.800030,131,131,131
33,0.187698,15.957170,89.800030,131,131,131
34,0.190130,15.957170,89.800030,131,131,131
35,0.199575,15.957170,89.800030,131,131,131
36,0.201733,15.957170,89.800030,131,131,131
37,0.216284,15.957170,89.800030,131,131,131
38,0.218187,15.957170,89.800030,131,131,131
39,0.221176,15.957170,89.800030,131,131,131
40,0.223290,15.957170,89.800030,131,131,131
41,0.232933,15.957170,89.800030,131,131,131
42,0.234888,15.957170,89.800030,131,131,131
43,0.249502,15.957170,89.800030,131,131,131
44,0.251400,15.957170,89.800030,131,131,131
45,0.254345,15.957170,89.800030,131,131,131
46,0.256544,15.957170,89.800030,131,131,131
47,0.266323,15.957170,89.800030,131,131,131
48,0.268316,15.957170,89.800030,131,131,131
49,0.282892,15.957170,89.800030,131,131,131
50,0.284752,15.957170,89.800030,131,131,131
51,0.287401,15.957170,89.800030,131,131,131
52,0.289623,15.957170,89.800030,131,131,131
53,0.299618,15.957170,89.800030,131,131,131
54,0.302507,15.957170,89.800030,131,131,131
55,0.316364,15.957170,89.800030,131,131,131
56,0.318314,15.957170,89.800030,131,131,131
57,0.321377,15.957170,89.800030,131,131,131
58,0.323454,15.957170,89.800030,131,131,131
59,0.333111,15.957170,89.800030,131,131,131
60,0.335085,15.957170,89.800030,131,131,131
61,0.349567,15.957170,89.800030,131,131,131
62,0.351389,15.957170,89.800030,131,131,131
63,0.354380,15.957170,89.800030,131,131,131
64,0.356670,15.957170,89.800030,131,131,131
65,0.366392,15.957170,89.800030,131,131,131
66,0.368382,15.957170,89.800030,131,131,131
67,0.383024,15.957170,89.800030,131,131,131
68,0.384903,15.957170,89.800030,131,131,131
69,0.387905,15.957170,89.800030,131,131,131
70,0.390041,15.957170,89.800030,131,131,131
71,0.399685,15.957170,89.800030,131,131,131
72,0.401577,15.957170,89.800030,131,131,131
73,0.416386,15.957170,89.800030,131,131,131
74,0.419752,15.957170,89.800030,132,132,132
75,0.423445,15.957170,89.800030,132,132,132
76,0.425417,15.957170,89.800030,132,132,132
77,0.433476,15.957170,89.800030,132,132,132
78,0.435558,15.957170,89.800030,132,132,132
79,0.449690,15.957170,89.800030,132,132,132
80,0.451706,15.957170,89.800030,132,132,132
81,0.454533,15.957170,89.800030,132,132,132
82,0.456936,15.957170,89.800030,132,132,132
83,0.466515,15.957170,89.800030,132,132,132
84,0.468720,15.957170,89.800030,132,132,132
85,0.483173,15.957170,89.800030,132,132,132
86,0.485157,15.957170,89.800030,132,132,132
87,0.487663,15.957170,89.800030,132,132,132
88,0.489994,15.957170,89.800030,132,132,132
89,0.499762,15.957170,89.800030,132,132,132
90,0.501797,15.957170,89.800030,132,132,132
91,0.516466,15.957170,89.800030,132,132,132
92,0.518360,15.957170,89.800030,132,132,132
93,0.521420,15.957170,89.800030,132,132,132
94,0.523676,15.957170,89.800030,132,132,132
95,0.533312,15.957170,89.800030,132,132,132
96,0.535400,15.957170,89.800030,132,132,132
97,0.549856,15.957170,89.800030,132,132,132
98,0.551764,15.957170,89.800030,132,132,132
99,0.554651,15.957170,89.800030,132,132,132
100,0.557190,15.957170,89.800030,132,132,132
101,0.566584,15.957170,89.800030,132,132,132
102,0.568714,15.957170,89.800030,132,132,132
103,0.583284,15.957170,89.800030,132,132,132
104,0.585297,15.957170,89.800030,132,132,132
105,0.587898,15.957170,89.800030,132,132,132
106,0.590271,15.957170,89.800030,132,132,132
107,0.599918,15.957170,89.800030,132,132,132
108,0.601809,15.957170,89.800030,132,132,132
109,0.616545,15.957170,89.800030,132,132,132
110,0.618444,15.957170,89.800030,132,132,132
111,0.621365,15.957170,89.800030,132,132,132
112,0.623632,15.957170,89.800030,132,132,132
113,0.633352,15.957170,89.800030,132,132,132
114,0.635370,15.957170,89.800030,132,132,132
115,0.649929,15.957170,89.800030,132,132,132
116,0.651802,15.957170,89.800030,132,132,132
117,0.654978,15.957170,89.800030,132,132,132
118,0.657433,15.957170,89.800030,132,132,132
119,0.666702,15.957170,89.800030,132,132,132
120,0.668909,15.957170,89.800030,132,132,132
121,0.683355,15.957170,89.800030,132,132,132
122,0.685226,15.957170,89.800030,132,132,132
123,0.688837,15.957170,89.800030,132,132,132
124,0.691069,15.957170,89.800030,132,132,132
125,0.700127,15.957170,89.800030,132,132,132
126,0.702375,15.957170,89.800030,132,132,132
127,0.716648,15.957170,89.800030,132,132,132
128,0.718721,15.957170,89.800030,132,132,132
129,0.721127,15.957170,89.800030,132,132,132
130,0.723749,15.957170,89.800030,132,132,132
131,0.733425,15.957170,89.800030,132,132,132
132,0.735439,15.957170,89.800030,132,132,132
133,0.750071,15.957170,89.800030,132,132,132
134,0.751959,15.957170,89.800030,132,132,132
135,0.754789,15.957170,89.800030,132,132,132
136,0.757053,15.957170,89.800030,132,132,132
137,0.766708,15.957170,89.800030,132,132,132
138,0.768570,15.957170,89.800030,132,132,132
139,0.783438,15.957170,89.800030,132,132,132
140,0.785427,15.957170,89.800030,132,132,132
141,0.788277,15.957170,89.800030,132,132,132
142,0.790514,15.957170,89.800030,132,132,132
143,0.800182,15.957170,89.800030,132,132,132
144,0.802149,15.957170,89.800030,132,132,132
145,0.816713,15.957170,89.800030,132,132,132
146,0.818760,15.957170,89.800030,132,132,132
147,0.821169,15.957170,89.800030,132,132,132
148,0.823629,15.957170,89.800030,132,132,132
149,0.833445,15.957170,89.800030,132,132,132
150,0.835373,15.957170,89.800030,132,132,132
151,0.850233,15.957170,89.800030,132,132,132
152,0.852282,15.957170,89.800030,132,132,132
153,0.855293,15.957170,89.800030,132,132,132
154,0.857670,15.957170,89.800030,132,132,132
155,0.866846,15.957170,89.800030,132,132,132
156,0.868729,15.957170,89.800030,132,132,132
157,0.883486,15.957170,89.800030,132,132,132
158,0.885494,15.957170,89.800030,132,132,132
159,0.888531,15.957170,89.800030,132,132,132
160,0.890717,15.957170,89.800030,132,132,132
161,0.900257,15.957170,89.800030,132,132,132
162,0.902275,15.957170,89.800030,132,132,132
163,0.916830,15.957170,89.800030,132,132,132
164,0.918703,15.957170,89.800030,132,132,132
165,0.921419,15.957170,89.800030,132,132,132
166,0.923439,15.957170,89.800030,132,132,132
167,0.933516,15.957170,89.800030,132,132,132
168,0.935492,15.957170,89.800030,132,132,132
169,0.950293,15.957170,89.800030,132,132,132
170,0.952238,15.957170,89.800030,132,132,132
171,0.955093,15.957170,89.800030,132,132,132
172,0.957493,15.957170,89.800030,132,132,132
173,0.966902,15.957170,89.800030,132,132,132
174,0.968815,15.957170,89.800030,132,132,132
175,0.983601,15.957170,89.800030,132,132,132
176,0.985525,15.957170,89.800030,132,132,132
177,0.988215,15.957170,89.800030,132,132,132
178,0.990465,15.957170,89.800030,132,132,132
179,1.000381,15.957170,89.800030,132,132,132
180,1.002522,15.957170,89.800030,132,132,132
181,1.016569,15.957170,89.800030,132,132,132
182,1.018679,15.957170,89.800030,132,132,132
183,1.022062,15.957170,89.800030,132,132,132
184,1.024433,15.957170,89.800030,132,132,132
185,1.033823,15.957170,89.800030,132,132,132
186,1.035711,15.957170,89.800030,132,132,132
187,1.050373,15.957170,89.800030,132,132,132
188,1.052273,15.957170,89.800030,132,132,132
189,1.066666,15.957170,89.800030,132,132,132
190,1.068649,15.957170,89.800030,132,132,132
191,1.071419,15.957170,89.800030,132,132,132
192,1.073643,15.957170,89.800030,132,132,132
193,1.083488,15.957170,89.800030,132,132,132
194,1.085546,15.957170,89.800030,132,132,132
195,1.099903,15.957170,89.800030,132,132,132
196,1.101820,15.957170,89.800030,132,132,132
197,1.104727,15.957170,89.800030,132,132,132
198,1.107130,15.957170,89.800030,132,132,132
199,1.116722,15.957170,89.800030,132,132,132
200,1.118731,15.957170,89.800030,132,132,132
201,1.133070,15.957170,89.800030,132,132,132
202,1.135332,15.957170,89.800030,132,132,132
203,1.137899,15.957170,89.800030,132,132,132
204,1.140017,15.957170,89.800030,132,132,132
205,1.149834,15.957170,89.800030,132,132,132
206,1.151794,15.957170,89.800030,132,132,132
207,1.166567,15.957170,89.800030,132,132,132
208,1.168427,15.957170,89.800030,132,132,132
209,1.171440,15.957170,89.800030,132,132,132
210,1.173716,15.957170,89.800030,132,132,132
211,1.183235,15.957170,89.800030,132,132,132
212,1.185320,15.957170,89.800030,132,132,132
213,1.199778,15.957170,89.800030,132,132,132
214,1.201696,15.957170,89.800030,132,132,132
215,1.204304,15.957170,89.800030,132,132,132
216,1.206640,15.957170,89.800030,132,132,132
217,1.216656,15.957170,89.800030,132,132,132
218,1.218761,15.957170,89.800030,132,132,132
219,1.233219,15.957170,89.800030,132,132,132
220,1.235170,15.957170,89.800030,132,132,132
221,1.238115,15.957170,89.800030,132,132,132
222,1.240461,15.957170,89.800030,132,132,132
223,1.249889,15.957170,89.800030,132,132,132
224,1.251907,15.957170,89.800030,132,132,132
225,1.266642,15.957170,89.800030,132,132,132
226,1.268585,15.957170,89.800030,132,132,132
227,1.271399,15.957170,89.800030,132,132,132
228,1.273552,15.957170,89.800030,132,132,132
229,1.283319,15.957170,89.800030,132,132,132
230,1.285534,15.957170,89.800030,132,132,132
231,1.299919,15.957170,89.800030,132,132,132
232,1.303984,15.957170,89.800030,133,133,133
233,1.307556,15.957170,89.800030,133,133,133
234,1.309576,15.957170,89.800030,133,133,133
235,1.316957,15.957170,89.800030,133,133,133
236,1.318968,15.957170,89.800030,133,133,133
237,1.333435,15.957170,89.800030,133,133,133
238,1.335932,15.957170,89.800030,133,133,133
239,1.338520,15.957170,89.800030,133,133,133
240,1.340841,15.957170,89.800030,133,133,133
241,1.350018,15.957170,89.800030,133,133,133
242,1.352011,15.957170,89.800030,133,133,133
243,1.366676,15.957170,89.800030,133,133,133
244,1.368570,15.957170,89.800030,133,133,133
245,1.371681,15.957170,89.800030,133,133,133
246,1.374079,15.957170,89.800030,133,133,133
247,1.383486,15.957170,89.800030,133,133,133
248,1.385445,15.957170,89.800030,133,133,133
249,1.400047,15.957170,89.800030,133,133,133
250,1.401897,15.957170,89.800030,133,133,133
251,1.405138,15.957170,89.800030,133,133,133
252,1.407387,15.957170,89.800030,133,133,133
253,1.416716,15.957170,89.800030,133,133,133
254,1.418905,15.957170,89.800030,133,133,133
255,1.433475,15.957170,89.800030,133,133,133
256,1.435427,15.957170,89.800030,133,133,133
257,1.438572,15.957170,89.800030,133,133,133
258,1.440910,15.957170,89.800030,133,133,133
259,1.450115,15.957170,89.800030,133,133,133
260,1.452087,15.957170,89.800030,133,133,133
261,1.466721,15.957170,89.800030,133,133,133
262,1.468552,15.957170,89.800030,133,133,133
263,1.471592,15.957170,89.800030,133,133,133
264,1.473825,15.957170,89.800030,133,133,133
265,1.483513,15.957170,89.800030,133,133,133
266,1.485571,15.957170,89.800030,133,133,133
267,1.500151,15.957170,89.800030,133,133,133
