sample,real_seconds,simulation_seconds,round_left,gc0,gc1,gc2
0,0.013054,25.768230,89.620060,271,271,271
1,0.016438,25.768230,89.620060,271,271,271
2,0.029686,25.768230,89.620060,271,271,271
3,0.033062,25.768230,89.620060,271,271,271
4,0.046337,25.768230,89.620060,271,271,271
5,0.049694,25.768230,89.620060,271,271,271
6,0.063076,25.768230,89.620060,271,271,271
7,0.066513,25.768230,89.620060,271,271,271
8,0.079727,25.768230,89.620060,271,271,271
9,0.083076,25.768230,89.620060,271,271,271
10,0.096386,25.768230,89.620060,271,271,271
11,0.099739,25.768230,89.620060,271,271,271
12,0.113167,25.768230,89.620060,271,271,271
13,0.116543,25.768230,89.620060,271,271,271
14,0.129742,25.768230,89.620060,271,271,271
15,0.133171,25.768230,89.620060,271,271,271
16,0.146591,25.768230,89.620060,271,271,271
17,0.150005,25.768230,89.620060,271,271,271
18,0.163197,25.768230,89.620060,271,271,271
19,0.166550,25.768230,89.620060,271,271,271
20,0.179840,25.768230,89.620060,271,271,271
21,0.183231,25.768230,89.620060,271,271,271
22,0.196537,25.768230,89.620060,271,271,271
23,0.199894,25.768230,89.620060,271,271,271
24,0.213234,25.768230,89.620060,271,271,271
25,0.216576,25.768230,89.620060,271,271,271
26,0.230209,25.768230,89.620060,271,271,271
27,0.233551,25.768230,89.620060,271,271,271
28,0.246838,25.768230,89.620060,271,271,271
29,0.250164,25.768230,89.620060,271,271,271
30,0.263596,25.768230,89.620060,271,271,271
31,0.266953,25.768230,89.620060,271,271,271
32,0.280228,25.768230,89.620060,271,271,271
33,0.283527,25.768230,89.620060,271,271,271
34,0.296909,25.768230,89.620060,271,271,271
35,0.300236,25.768230,89.620060,271,271,271
36,0.313599,25.768230,89.620060,271,271,271
37,0.316929,25.768230,89.620060,271,271,271
38,0.330338,25.768230,89.620060,271,271,271
39,0.333656,25.768230,89.620060,271,271,271
40,0.346870,25.768230,89.620060,271,271,271
41,0.350201,25.768230,89.620060,271,271,271
42,0.363537,25.768230,89.620060,271,271,271
43,0.366879,25.768230,89.620060,271,271,271
44,0.380371,25.768230,89.620060,271,271,271
45,0.383736,25.768230,89.620060,271,271,271
46,0.396942,25.768230,89.620060,271,271,271
47,0.400295,25.768230,89.620060,271,271,271
48,0.413765,25.768230,89.620060,271,271,271
49,0.417088,25.768230,89.620060,271,271,271
