sample,real_seconds,simulation_seconds,round_left,gc0,gc1,gc2
0,0.003479,25.955610,89.440090,279,279,279
1,0.016502,25.955610,89.440090,279,279,279
2,0.020142,25.955610,89.440090,279,279,279
3,0.033157,25.955610,89.440090,279,279,279
4,0.036835,25.955610,89.440090,279,279,279
5,0.049717,25.955610,89.440090,279,279,279
6,0.053345,25.955610,89.440090,279,279,279
7,0.066479,25.955610,89.440090,279,279,279
8,0.070103,25.955610,89.440090,279,279,279
9,0.083168,25.955610,89.440090,279,279,279
10,0.086887,25.955610,89.440090,279,279,279
11,0.099857,25.955610,89.440090,279,279,279
12,0.103458,25.955610,89.440090,279,279,279
13,0.116554,25.955610,89.440090,279,279,279
14,0.120178,25.955610,89.440090,279,279,279
15,0.133213,25.955610,89.440090,279,279,279
16,0.136803,25.955610,89.440090,279,279,279
17,0.149956,25.955610,89.440090,279,279,279
18,0.153591,25.955610,89.440090,279,279,279
19,0.166485,25.955610,89.440090,279,279,279
20,0.170075,25.955610,89.440090,279,279,279
21,0.183289,25.955610,89.440090,279,279,279
22,0.186901,25.955610,89.440090,279,279,279
23,0.200012,25.955610,89.440090,279,279,279
24,0.203594,25.955610,89.440090,279,279,279
25,0.216587,25.955610,89.440090,279,279,279
26,0.220348,25.955610,89.440090,279,279,279
27,0.233334,25.955610,89.440090,279,279,279
28,0.236969,25.955610,89.440090,279,279,279
29,0.250004,25.955610,89.440090,279,279,279
30,0.253628,25.955610,89.440090,279,279,279
31,0.266659,25.955610,89.440090,279,279,279
32,0.270210,25.955610,89.440090,279,279,279
33,0.283348,25.955610,89.440090,279,279,279
34,0.286957,25.955610,89.440090,279,279,279
35,0.300045,25.955610,89.440090,279,279,279
36,0.303688,25.955610,89.440090,279,279,279
37,0.316742,25.955610,89.440090,279,279,279
38,0.320366,25.955610,89.440090,279,279,279
39,0.333359,25.955610,89.440090,279,279,279
40,0.336956,25.955610,89.440090,279,279,279
41,0.350075,25.955610,89.440090,279,279,279
42,0.353691,25.955610,89.440090,279,279,279
43,0.366715,25.955610,89.440090,279,279,279
44,0.370335,25.955610,89.440090,279,279,279
45,0.383503,25.955610,89.440090,279,279,279
46,0.387123,25.955610,89.440090,279,279,279
47,0.400127,25.955610,89.440090,279,279,279
48,0.403763,25.955610,89.440090,279,279,279
49,0.416840,25.955610,89.440090,279,279,279
50,0.420448,25.955610,89.440090,279,279,279
51,0.433491,25.955610,89.440090,279,279,279
52,0.437122,25.955610,89.440090,279,279,279
53,0.450180,25.955610,89.440090,279,279,279
54,0.454041,25.955610,89.440090,280,280,280
55,0.466805,25.955610,89.440090,280,280,280
56,0.470436,25.955610,89.440090,280,280,280
57,0.483574,25.955610,89.440090,280,280,280
58,0.487198,25.955610,89.440090,280,280,280
59,0.500168,25.955610,89.440090,280,280,280
60,0.503815,25.955610,89.440090,280,280,280
