sample,frame_ms
0,3.678997
1,13.058900
2,3.640299
3,13.013700
4,3.698802
5,12.881900
6,3.621500
7,13.138700
8,3.642602
9,13.044300
10,3.663896
11,13.019900
12,3.631002
13,13.073300
14,3.643304
15,13.004700
16,3.619699
17,13.115800
18,3.622895
19,12.921000
20,3.605003
21,13.164600
22,3.632100
23,13.097700
24,3.635303
25,12.981500
26,3.639597
27,13.100210
28,3.639201
29,13.039400
30,3.605697
31,12.975200
32,3.625801
33,13.125600
34,3.618701
35,13.080300
36,3.632001
37,13.048790
38,3.621202
39,13.015500
40,3.609503
41,13.101900
42,3.602204
43,13.042400
44,3.616801
45,13.159600
46,3.626800
47,13.005300
48,3.646499
49,13.044200
50,3.626304
51,13.045700
52,3.622499
53,13.040900
54,3.886699
55,12.764200
56,3.632398
57,13.117100
58,3.640001
59,12.975100
60,3.626204
61,13.093100
62,3.634495
63,13.037500
64,3.633503
65,13.059000
66,3.649801
67,13.033400
68,3.630003
69,13.060000
70,3.635601
71,13.027600
72,3.636600
73,13.077400
74,3.634701
75,13.051600
76,3.601304
77,13.092900
78,3.641901
79,13.083600
80,3.640703
81,13.016500
82,3.639505
83,13.008400
84,3.652898
85,13.032300
86,3.631704
87,13.017700
88,3.628897
89,13.095200
90,3.617297
91,13.090600
92,3.659099
93,12.987400
94,3.622499
95,13.093600
96,3.639201
97,13.037600
98,3.670897
99,13.064900
100,3.644097
101,12.970500
102,3.630903
103,13.083100
104,3.626098
105,13.068100
106,3.635105
107,12.979800
108,3.649199
109,13.080800
110,3.647194
111,13.075500
112,3.648200
113,12.920000
114,3.648902
115,13.092600
116,3.641702
117,13.082890
118,3.625701
119,12.981200
120,3.688301
121,13.130200
122,3.644402
123,12.975590
124,3.621003
125,13.048500
126,3.638400
127,13.059700
128,3.632596
129,13.028100
130,3.710998
131,12.988300
132,3.600801
133,13.098800
134,3.631597
135,13.012000
136,3.636494
137,13.063200
138,3.626304
139,13.050600
140,3.637004
141,13.074400
142,3.691397
143,13.076910
144,3.632100
145,12.885300
146,3.660403
147,13.100900
148,3.626396
149,13.012100
150,3.651701
151,12.978400
152,3.610594
153,13.132600
154,3.622796
155,13.081500
156,3.636296
157,12.962400
158,3.619104
159,13.105500
160,3.657398
161,13.053400
162,3.700900
163,12.914400
164,3.650801
165,13.172600
166,3.650503
167,12.937100
168,3.643601
169,13.086400
170,3.671400
171,13.024300
172,3.627601
173,13.033100
174,3.632398
175,13.049700
176,3.631299
177,12.982800
178,3.619402
179,13.110300
