sample,real_seconds,simulation_seconds,round_left,gc0,gc1,gc2
0,0.013458,25.955610,89.440090,281,281,281
1,0.016560,25.955610,89.440090,281,281,281
2,0.030243,25.955610,89.440090,281,281,281
3,0.033196,25.955610,89.440090,281,281,281
4,0.046795,25.955610,89.440090,281,281,281
5,0.049755,25.955610,89.440090,281,281,281
6,0.063477,25.955610,89.440090,281,281,281
7,0.066479,25.955610,89.440090,281,281,281
8,0.080173,25.955610,89.440090,281,281,281
9,0.083187,25.955610,89.440090,281,281,281
10,0.096874,25.955610,89.440090,281,281,281
11,0.100430,25.955610,89.440090,281,281,281
12,0.113594,25.955610,89.440090,281,281,281
13,0.116573,25.955610,89.440090,281,281,281
14,0.130230,25.955610,89.440090,281,281,281
15,0.133221,25.955610,89.440090,281,281,281
16,0.146870,25.955610,89.440090,281,281,281
17,0.149880,25.955610,89.440090,281,281,281
18,0.163647,25.955610,89.440090,281,281,281
19,0.166645,25.955610,89.440090,281,281,281
20,0.180332,25.955610,89.440090,281,281,281
21,0.183254,25.955610,89.440090,281,281,281
22,0.196919,25.955610,89.440090,281,281,281
23,0.199860,25.955610,89.440090,281,281,281
24,0.213677,25.955610,89.440090,281,281,281
25,0.216663,25.955610,89.440090,281,281,281
26,0.230297,25.955610,89.440090,281,281,281
27,0.233299,25.955610,89.440090,281,281,281
28,0.246998,25.955610,89.440090,282,282,282
29,0.249981,25.955610,89.440090,282,282,282
30,0.263699,25.955610,89.440090,282,282,282
31,0.266686,25.955610,89.440090,282,282,282
32,0.280418,25.955610,89.440090,282,282,282
33,0.283394,25.955610,89.440090,282,282,282
34,0.297054,25.955610,89.440090,282,282,282
35,0.300022,25.955610,89.440090,282,282,282
36,0.313713,25.955610,89.440090,282,282,282
37,0.316681,25.955610,89.440090,282,282,282
38,0.330406,25.955610,89.440090,282,282,282
39,0.333374,25.955610,89.440090,282,282,282
40,0.347126,25.955610,89.440090,282,282,282
41,0.350124,25.955610,89.440090,282,282,282
42,0.363754,25.955610,89.440090,282,282,282
43,0.366715,25.955610,89.440090,282,282,282
44,0.380531,25.955610,89.440090,282,282,282
45,0.383492,25.955610,89.440090,282,282,282
46,0.397175,25.955610,89.440090,282,282,282
47,0.400158,25.955610,89.440090,282,282,282
48,0.413845,25.955610,89.440090,282,282,282
49,0.416809,25.955610,89.440090,282,282,282
50,0.430519,25.955610,89.440090,282,282,282
51,0.433495,25.955610,89.440090,282,282,282
52,0.447205,25.955610,89.440090,282,282,282
53,0.450211,25.955610,89.440090,282,282,282
54,0.463837,25.955610,89.440090,282,282,282
55,0.466808,25.955610,89.440090,282,282,282
56,0.480606,25.955610,89.440090,282,282,282
57,0.483574,25.955610,89.440090,282,282,282
58,0.497269,25.955610,89.440090,282,282,282
59,0.500229,25.955610,89.440090,282,282,282
60,0.514069,25.955610,89.440090,282,282,282
61,0.517342,25.955610,89.440090,282,282,282
62,0.530876,25.955610,89.440090,282,282,282
63,0.533890,25.955610,89.440090,282,282,282
64,0.547951,25.955610,89.440090,282,282,282
65,0.551117,25.955610,89.440090,282,282,282
66,0.564457,25.955610,89.440090,282,282,282
67,0.568111,25.955610,89.440090,282,282,282
68,0.580723,25.955610,89.440090,282,282,282
69,0.583672,25.955610,89.440090,282,282,282
70,0.597366,25.955610,89.440090,282,282,282
71,0.600365,25.955610,89.440090,282,282,282
72,0.614014,25.955610,89.440090,282,282,282
73,0.616962,25.955610,89.440090,282,282,282
74,0.630707,25.955610,89.440090,282,282,282
75,0.633762,25.955610,89.440090,282,282,282
76,0.647457,25.955610,89.440090,282,282,282
77,0.650410,25.955610,89.440090,282,282,282
78,0.664093,25.955610,89.440090,282,282,282
79,0.667038,25.955610,89.440090,282,282,282
80,0.680775,25.955610,89.440090,282,282,282
81,0.683697,25.955610,89.440090,282,282,282
82,0.697498,25.955610,89.440090,282,282,282
83,0.700451,25.955610,89.440090,282,282,282
84,0.714169,25.955610,89.440090,282,282,282
85,0.717148,25.955610,89.440090,282,282,282
86,0.730755,25.955610,89.440090,282,282,282
87,0.733692,25.955610,89.440090,282,282,282
88,0.747601,25.955610,89.440090,282,282,282
89,0.750553,25.955610,89.440090,282,282,282
90,0.764271,25.955610,89.440090,282,282,282
91,0.767246,25.955610,89.440090,282,282,282
92,0.780830,25.955610,89.440090,282,282,282
93,0.783775,25.955610,89.440090,282,282,282
94,0.797600,25.955610,89.440090,282,282,282
95,0.800530,25.955610,89.440090,282,282,282
96,0.814255,25.955610,89.440090,282,282,282
97,0.817207,25.955610,89.440090,282,282,282
98,0.830902,25.955610,89.440090,282,282,282
99,0.833916,25.955610,89.440090,282,282,282
100,0.847626,25.955610,89.440090,282,282,282
101,0.850647,25.955610,89.440090,282,282,282
102,0.864655,25.955610,89.440090,282,282,282
103,0.867668,25.955610,89.440090,282,282,282
104,0.881264,25.955610,89.440090,282,282,282
105,0.884239,25.955610,89.440090,282,282,282
106,0.897957,25.955610,89.440090,282,282,282
107,0.900944,25.955610,89.440090,282,282,282
108,0.914818,25.955610,89.440090,282,282,282
109,0.917698,25.955610,89.440090,282,282,282
110,0.931305,25.955610,89.440090,282,282,282
111,0.934280,25.955610,89.440090,282,282,282
112,0.947945,25.955610,89.440090,282,282,282
113,0.950958,25.955610,89.440090,282,282,282
114,0.964371,25.955610,89.440090,282,282,282
115,0.967297,25.955610,89.440090,282,282,282
116,0.970848,25.955610,89.440090,282,282,282
117,0.973755,25.955610,89.440090,282,282,282
118,0.981243,25.955610,89.440090,282,282,282
119,0.984238,25.955610,89.440090,282,282,282
120,0.997746,25.955610,89.440090,282,282,282
121,1.000687,25.955610,89.440090,282,282,282
122,1.003864,25.955610,89.440090,282,282,282
123,1.006794,25.955610,89.440090,282,282,282
124,1.014622,25.955610,89.440090,282,282,282
125,1.017628,25.955610,89.440090,282,282,282
126,1.031166,25.955610,89.440090,282,282,282
127,1.034267,25.955610,89.440090,282,282,282
128,1.037216,25.955610,89.440090,282,282,282
129,1.040432,25.955610,89.440090,282,282,282
130,1.047836,25.955610,89.440090,282,282,282
131,1.050949,25.955610,89.440090,282,282,282
132,1.064457,25.955610,89.440090,282,282,282
133,1.067421,25.955610,89.440090,282,282,282
134,1.070915,25.955610,89.440090,282,282,282
135,1.073753,25.955610,89.440090,282,282,282
136,1.081306,25.955610,89.440090,282,282,282
137,1.084316,25.955610,89.440090,282,282,282
138,1.097809,25.955610,89.440090,282,282,282
139,1.102531,25.955610,89.440090,283,283,283
140,1.107075,25.955610,89.440090,283,283,283
141,1.110062,25.955610,89.440090,283,283,283
142,1.115070,25.955610,89.440090,283,283,283
143,1.118027,25.955610,89.440090,283,283,283
144,1.131207,25.955610,89.440090,283,283,283
145,1.134171,25.955610,89.440090,283,283,283
146,1.147907,25.955610,89.440090,283,283,283
147,1.151043,25.955610,89.440090,283,283,283
148,1.154041,25.955610,89.440090,283,283,283
149,1.157051,25.955610,89.440090,283,283,283
150,1.164742,25.955610,89.440090,283,283,283
151,1.167732,25.955610,89.440090,283,283,283
152,1.181274,25.955610,89.440090,283,283,283
153,1.184277,25.955610,89.440090,283,283,283
154,1.197910,25.955610,89.440090,283,283,283
155,1.201046,25.955610,89.440090,283,283,283
156,1.204300,25.955610,89.440090,283,283,283
157,1.207558,25.955610,89.440090,283,283,283
158,1.214745,25.955610,89.440090,283,283,283
159,1.217678,25.955610,89.440090,283,283,283
160,1.231262,25.955610,89.440090,283,283,283
161,1.234249,25.955610,89.440090,283,283,283
162,1.248013,25.955610,89.440090,283,283,283
163,1.251217,25.955610,89.440090,283,283,283
164,1.254147,25.955610,89.440090,283,283,283
165,1.257298,25.955610,89.440090,283,283,283
166,1.264751,25.955610,89.440090,283,283,283
167,1.267685,25.955610,89.440090,283,283,283
168,1.281425,25.955610,89.440090,283,283,283
169,1.284378,25.955610,89.440090,283,283,283
170,1.298046,25.955610,89.440090,283,283,283
171,1.301006,25.955610,89.440090,283,283,283
172,1.314671,25.955610,89.440090,283,283,283
173,1.317745,25.955610,89.440090,283,283,283
174,1.320793,25.955610,89.440090,283,283,283
175,1.323906,25.955610,89.440090,283,283,283
176,1.331558,25.955610,89.440090,283,283,283
177,1.334560,25.955610,89.440090,283,283,283
178,1.348145,25.955610,89.440090,283,283,283
179,1.351086,25.955610,89.440090,283,283,283
180,1.364750,25.955610,89.440090,283,283,283
181,1.367687,25.955610,89.440090,283,283,283
182,1.381477,25.955610,89.440090,283,283,283
183,1.384396,25.955610,89.440090,283,283,283
184,1.398167,25.955610,89.440090,283,283,283
185,1.401108,25.955610,89.440090,283,283,283
186,1.414879,25.955610,89.440090,283,283,283
187,1.417816,25.955610,89.440090,283,283,283
188,1.431549,25.955610,89.440090,283,283,283
189,1.434483,25.955610,89.440090,283,283,283
190,1.448242,25.955610,89.440090,283,283,283
191,1.451210,25.955610,89.440090,283,283,283
192,1.464828,25.955610,89.440090,283,283,283
193,1.467770,25.955610,89.440090,283,283,283
194,1.481625,25.955610,89.440090,283,283,283
195,1.484581,25.955610,89.440090,283,283,283
196,1.498207,25.955610,89.440090,283,283,283
197,1.501137,25.955610,89.440090,283,283,283
