sample,frame_ms
0,13.678800
1,3.015795
2,13.735300
3,2.992800
4,13.594400
5,2.963499
6,13.730900
7,2.970706
8,13.735200
9,2.978501
10,13.678400
11,3.539101
12,13.156990
13,3.012203
14,13.671000
15,2.991298
16,13.653200
17,3.001906
18,13.765090
19,2.988003
20,13.665600
21,2.966206
22,13.656500
23,2.969898
24,13.805400
25,2.978798
26,13.650400
27,3.002799
28,13.694000
29,2.973406
30,13.725400
31,2.989201
32,13.694700
33,2.998002
34,13.642700
35,2.984595
36,13.700700
37,2.971400
38,13.708000
39,2.978600
40,13.757100
41,3.010402
42,13.618300
43,2.955301
44,13.760000
45,3.037401
46,13.680300
47,2.971103
48,13.678290
49,2.973604
50,13.719300
51,2.970706
52,13.704000
53,2.998399
54,13.637200
55,2.991397
56,13.769200
57,2.967000
58,13.693600
59,2.976495
60,13.690800
61,3.308603
62,13.543100
63,3.034198
64,13.965200
65,3.216702
66,13.270400
67,3.787996
68,12.660810
69,2.969799
70,13.664200
71,2.987500
72,13.666200
73,2.969898
74,13.721200
75,3.024497
76,13.685800
77,2.990405
78,13.678100
79,2.964102
80,13.723000
81,2.956696
82,13.752200
83,2.988797
84,13.698900
85,2.984899
86,13.590700
87,2.974894
88,13.873700
89,2.965200
90,13.718100
91,2.987500
92,13.576600
93,2.965200
94,13.782600
95,2.951998
96,13.724700
97,2.971606
98,13.667300
99,2.959099
100,13.781300
101,2.990001
102,14.008500
103,3.018098
104,13.621800
105,2.982100
106,13.692900
107,3.000701
108,13.856900
109,2.914796
110,13.592500
111,2.996499
112,13.632200
113,3.006299
114,13.427700
115,2.942404
116,3.499497
117,2.957001
118,7.477197
119,2.985700
120,13.506900
121,2.944104
122,3.154294
123,2.963705
124,7.825694
125,2.990306
126,13.523600
127,2.986203
128,3.069395
129,3.229599
130,7.407001
131,3.090299
132,13.536200
133,2.953600
134,3.445401
135,2.900397
136,7.552600
137,3.008305
138,13.477300
139,4.643303
140,4.637599
141,2.989895
142,4.942503
143,2.981597
144,13.200600
145,2.940200
146,13.756500
147,3.125602
148,3.007200
149,3.027898
150,7.697803
151,2.973902
152,13.543300
153,3.004698
154,13.623000
155,3.162103
156,3.244196
157,3.238705
158,7.195295
159,2.936805
160,13.588190
161,2.986104
162,13.762500
163,3.100397
164,3.040299
165,3.152105
166,7.447399
167,2.919097
168,13.724300
169,2.972201
170,13.676300
171,2.966199
172,13.662600
173,3.069402
174,3.032200
175,3.146599
176,7.640802
177,2.974596
178,13.604100
179,2.931902
180,13.668800
181,2.946599
182,13.769800
183,2.930796
184,13.760200
185,2.949801
186,13.754290
187,2.959404
188,13.736300
189,2.939498
190,13.754300
191,2.944799
192,13.643500
193,2.926899
194,13.859400
195,2.952799
196,13.621710
197,2.943799
