sample,real_seconds,simulation_seconds,round_left,gc0,gc1,gc2
0,0.003029,25.574280,89.820030,263,263,263
1,0.016758,25.574280,89.820030,263,263,263
2,0.019856,25.574280,89.820030,263,263,263
3,0.033138,25.574280,89.820030,263,263,263
4,0.036213,25.574280,89.820030,263,263,263
5,0.049812,25.574280,89.820030,263,263,263
6,0.052868,25.574280,89.820030,263,263,263
7,0.066563,25.574280,89.820030,263,263,263
8,0.069614,25.574280,89.820030,263,263,263
9,0.083160,25.574280,89.820030,263,263,263
10,0.086246,25.574280,89.820030,263,263,263
11,0.099869,25.574280,89.820030,263,263,263
12,0.102985,25.574280,89.820030,263,263,263
13,0.116509,25.574280,89.820030,263,263,263
14,0.119606,25.574280,89.820030,263,263,263
15,0.133209,25.574280,89.820030,263,263,263
16,0.136292,25.574280,89.820030,263,263,263
17,0.149960,25.574280,89.820030,263,263,263
18,0.153072,25.574280,89.820030,263,263,263
19,0.166676,25.574280,89.820030,263,263,263
20,0.169838,25.574280,89.820030,263,263,263
21,0.183281,25.574280,89.820030,263,263,263
22,0.186363,25.574280,89.820030,263,263,263
23,0.199970,25.574280,89.820030,263,263,263
24,0.203053,25.574280,89.820030,263,263,263
25,0.216675,25.574280,89.820030,263,263,263
26,0.219666,25.574280,89.820030,263,263,263
27,0.233318,25.574280,89.820030,263,263,263
28,0.236458,25.574280,89.820030,263,263,263
29,0.250061,25.574280,89.820030,263,263,263
30,0.253162,25.574280,89.820030,263,263,263
31,0.266659,25.574280,89.820030,263,263,263
32,0.269749,25.574280,89.820030,263,263,263
33,0.283341,25.574280,89.820030,263,263,263
34,0.286476,25.574280,89.820030,263,263,263
35,0.300037,25.574280,89.820030,263,263,263
36,0.303131,25.574280,89.820030,263,263,263
37,0.316799,25.574280,89.820030,263,263,263
38,0.319927,25.574280,89.820030,263,263,263
39,0.333454,25.574280,89.820030,263,263,263
40,0.336563,25.574280,89.820030,263,263,263
41,0.350121,25.574280,89.820030,263,263,263
42,0.353207,25.574280,89.820030,263,263,263
43,0.366833,25.574280,89.820030,263,263,263
44,0.369938,25.574280,89.820030,263,263,263
45,0.383442,25.574280,89.820030,263,263,263
46,0.386562,25.574280,89.820030,263,263,263
47,0.400131,25.574280,89.820030,263,263,263
48,0.403244,25.574280,89.820030,263,263,263
49,0.416893,25.574280,89.820030,263,263,263
50,0.420033,25.574280,89.820030,263,263,263
51,0.433590,25.574280,89.820030,263,263,263
52,0.436672,25.574280,89.820030,263,263,263
53,0.450207,25.574280,89.820030,263,263,263
54,0.453293,25.574280,89.820030,263,263,263
55,0.467018,25.574280,89.820030,264,264,264
56,0.470120,25.574280,89.820030,264,264,264
57,0.483593,25.574280,89.820030,264,264,264
58,0.486687,25.574280,89.820030,264,264,264
59,0.500233,25.574280,89.820030,264,264,264
60,0.503426,25.574280,89.820030,264,264,264
61,0.517033,25.574280,89.820030,264,264,264
62,0.520203,25.574280,89.820030,264,264,264
63,0.533600,25.574280,89.820030,264,264,264
64,0.536709,25.574280,89.820030,264,264,264
65,0.550354,25.574280,89.820030,264,264,264
66,0.553436,25.574280,89.820030,264,264,264
67,0.567078,25.574280,89.820030,264,264,264
