sample,real_seconds,simulation_seconds,round_left,gc0,gc1,gc2
0,0.002289,25.574280,89.820030,265,265,265
1,0.016678,25.574280,89.820030,265,265,265
2,0.019127,25.574280,89.820030,265,265,265
3,0.033318,25.574280,89.820030,265,265,265
4,0.035828,25.574280,89.820030,265,265,265
5,0.049942,25.574280,89.820030,265,265,265
6,0.052479,25.574280,89.820030,265,265,265
7,0.066696,25.574280,89.820030,265,265,265
8,0.069149,25.574280,89.820030,265,265,265
9,0.083355,25.574280,89.820030,265,265,265
10,0.087105,25.574280,89.820030,265,265,265
11,0.100033,25.574280,89.820030,265,265,265
12,0.102524,25.574280,89.820030,265,265,265
13,0.116692,25.574280,89.820030,265,265,265
14,0.119370,25.574280,89.820030,265,265,265
15,0.133427,25.574280,89.820030,265,265,265
16,0.135883,25.574280,89.820030,265,265,265
17,0.150070,25.574280,89.820030,265,265,265
18,0.152535,25.574280,89.820030,265,265,265
19,0.166721,25.574280,89.820030,265,265,265
20,0.169167,25.574280,89.820030,265,265,265
21,0.183479,25.574280,89.820030,265,265,265
22,0.185951,25.574280,89.820030,265,265,265
23,0.200031,25.574280,89.820030,265,265,265
24,0.202488,25.574280,89.820030,265,265,265
25,0.216877,25.574280,89.820030,265,265,265
26,0.219364,25.574280,89.820030,265,265,265
27,0.233589,25.574280,89.820030,265,265,265
28,0.237396,25.574280,89.820030,266,266,266
29,0.250336,25.574280,89.820030,266,266,266
30,0.252815,25.574280,89.820030,266,266,266
31,0.266819,25.574280,89.820030,266,266,266
32,0.269287,25.574280,89.820030,266,266,266
33,0.283562,25.574280,89.820030,266,266,266
34,0.285992,25.574280,89.820030,266,266,266
35,0.300259,25.574280,89.820030,266,266,266
36,0.302738,25.574280,89.820030,266,266,266
37,0.316887,25.574280,89.820030,266,266,266
38,0.319668,25.574280,89.820030,266,266,266
39,0.333683,25.574280,89.820030,266,266,266
40,0.336258,25.574280,89.820030,266,266,266
41,0.350391,25.574280,89.820030,266,266,266
42,0.352924,25.574280,89.820030,266,266,266
43,0.366905,25.574280,89.820030,266,266,266
44,0.369362,25.574280,89.820030,266,266,266
45,0.383671,25.574280,89.820030,266,266,266
46,0.386074,25.574280,89.820030,266,266,266
47,0.400330,25.574280,89.820030,266,266,266
48,0.402786,25.574280,89.820030,266,266,266
49,0.416908,25.574280,89.820030,266,266,266
50,0.419380,25.574280,89.820030,266,266,266
51,0.433750,25.574280,89.820030,266,266,266
52,0.436184,25.574280,89.820030,266,266,266
53,0.450394,25.574280,89.820030,266,266,266
54,0.452862,25.574280,89.820030,266,266,266
55,0.467106,25.574280,89.820030,266,266,266
56,0.469597,25.574280,89.820030,266,266,266
57,0.483734,25.574280,89.820030,266,266,266
58,0.486210,25.574280,89.820030,266,266,266
