sample,frame_ms
0,2.450900
1,14.375200
2,2.460998
3,14.171900
4,2.501198
5,14.128300
6,2.521500
7,14.247900
8,2.433397
9,14.198100
10,3.774298
11,12.894200
12,2.514399
13,14.160800
14,2.610898
15,14.142200
16,2.467701
17,14.157800
18,2.454401
19,14.211000
20,2.428501
21,14.302300
22,2.497400
23,14.077700
24,2.441801
25,14.394500
26,2.442396
27,14.241000
28,3.849702
29,12.906090
30,2.482703
31,14.030700
32,2.477005
33,14.254290
34,2.458404
35,14.238200
36,2.498795
37,14.128900
38,2.695401
39,14.114400
40,2.522796
41,14.143100
42,2.541107
43,14.018200
44,2.448101
45,14.308300
46,2.431498
47,14.232900
48,2.463499
49,14.101110
50,2.473498
51,14.374400
52,2.457703
53,14.182800
54,2.479096
55,14.218600
56,2.496301
57,14.159700
58,2.466801
59,14.246600
60,2.608298
61,14.010300
62,2.633298
63,14.098200
64,2.511295
65,14.202700
66,2.476403
67,14.236100
68,2.429606
69,14.161100
70,2.607001
71,14.143400
72,2.534198
73,14.149900
74,2.651098
75,13.943400
76,2.484495
77,14.249500
78,2.443197
79,14.247000
80,2.508000
81,14.052800
82,2.446797
83,14.385300
84,2.456796
85,14.184000
86,2.535502
87,14.101900
88,2.532504
89,14.187700
90,2.535998
91,14.169800
92,2.457001
93,14.122700
94,2.566695
95,14.195710
96,2.484495
97,14.248000
98,2.454698
99,14.204100
100,2.458999
101,14.161400
102,2.446400
103,14.302600
104,2.519600
105,14.120800
106,2.559297
107,14.127900
108,2.574306
109,14.170400
110,2.721393
111,13.958600
112,2.597903
113,13.974800
114,2.504294
115,14.281100
116,2.456399
117,14.240000
118,2.532299
119,14.070000
120,2.499398
121,14.241700
122,2.465901
123,14.258600
124,2.497003
125,14.035800
126,2.506498
127,14.290900
128,2.463102
129,14.209800
130,3.391100
131,13.243000
132,2.483199
133,14.245300
134,2.476495
135,14.302200
136,2.486699
137,14.028800
138,2.480605
139,14.280300
140,3.829797
141,12.878700
142,2.500198
143,14.161300
144,2.438202
145,14.217500
146,2.668800
147,14.053500
148,2.450099
149,14.523300
150,2.480407
151,14.224700
152,2.434899
153,14.171500
154,2.479805
155,14.231800
156,2.423802
157,14.366700
158,2.800397
159,13.781700
160,2.469799
161,13.907690
162,2.419104
163,3.065299
164,3.015597
165,8.222605
166,2.459701
167,14.214200
168,2.428196
169,3.279500
170,3.140703
171,7.906399
172,2.428600
173,14.076400
174,2.431895
175,3.398505
176,2.794600
177,8.175595
178,2.446599
179,14.209210
180,2.424398
181,3.311097
182,2.797506
183,8.194899
184,2.493998
185,14.091800
186,2.474702
187,3.176297
188,2.824801
189,8.381803
