map,mode,quality,view,static_batch_renderers,finished_materials,near_fade_mask_draws
Lagoon,Classic,0,0-court,53,54,10
Lagoon,Classic,0,0-edge,53,54,10
Lagoon,Classic,0,1-court,53,54,10
Lagoon,Classic,0,1-edge,53,54,10
Lagoon,Classic,1,0-court,53,54,10
Lagoon,Classic,1,0-edge,53,54,10
Lagoon,Classic,1,1-court,53,54,10
Lagoon,Classic,1,1-edge,53,54,10
Lagoon,Classic,2,0-court,53,54,10
Lagoon,Classic,2,0-edge,53,54,10
Lagoon,Classic,2,1-court,53,54,10
Lagoon,Classic,2,1-edge,53,54,10
Lagoon,HeroStrike,0,0-court,53,54,10
Lagoon,HeroStrike,0,0-edge,53,54,10
Lagoon,HeroStrike,0,1-court,53,54,10
Lagoon,HeroStrike,0,1-edge,53,54,10
Lagoon,HeroStrike,1,0-court,53,54,10
Lagoon,HeroStrike,1,0-edge,53,54,10
Lagoon,HeroStrike,1,1-court,53,54,10
Lagoon,HeroStrike,1,1-edge,53,54,10
Lagoon,HeroStrike,2,0-court,53,54,10
Lagoon,HeroStrike,2,0-edge,53,54,10
Lagoon,HeroStrike,2,1-court,53,54,10
Lagoon,HeroStrike,2,1-edge,53,54,10
