map,mode,quality,view,static_batch_renderers,finished_materials
SaBubong,Classic,0,0-court,136,56
SaBubong,Classic,0,0-edge,136,56
SaBubong,Classic,0,1-court,136,56
SaBubong,Classic,0,1-edge,136,56
SaBubong,Classic,1,0-court,136,56
SaBubong,Classic,1,0-edge,136,56
SaBubong,Classic,1,1-court,136,56
SaBubong,Classic,1,1-edge,136,56
SaBubong,Classic,2,0-court,136,56
SaBubong,Classic,2,0-edge,136,56
SaBubong,Classic,2,1-court,136,56
SaBubong,Classic,2,1-edge,136,56
SaBubong,HeroStrike,0,0-court,136,56
SaBubong,HeroStrike,0,0-edge,136,56
SaBubong,HeroStrike,0,1-court,136,56
SaBubong,HeroStrike,0,1-edge,136,56
SaBubong,HeroStrike,1,0-court,136,56
SaBubong,HeroStrike,1,0-edge,136,56
SaBubong,HeroStrike,1,1-court,136,56
SaBubong,HeroStrike,1,1-edge,136,56
SaBubong,HeroStrike,2,0-court,136,56
SaBubong,HeroStrike,2,0-edge,136,56
SaBubong,HeroStrike,2,1-court,136,56
SaBubong,HeroStrike,2,1-edge,136,56
