map,mode,quality,view,static_batch_renderers,finished_materials,near_fade_mask_draws
Eskinita,Classic,0,0-court,562,111,1
Eskinita,Classic,0,0-edge,562,111,1
Eskinita,Classic,0,1-court,562,111,8
Eskinita,Classic,0,1-edge,562,111,8
Eskinita,Classic,1,0-court,562,111,1
Eskinita,Classic,1,0-edge,562,111,1
Eskinita,Classic,1,1-court,562,111,8
Eskinita,Classic,1,1-edge,562,111,8
Eskinita,Classic,2,0-court,562,111,1
Eskinita,Classic,2,0-edge,562,111,1
Eskinita,Classic,2,1-court,562,111,8
Eskinita,Classic,2,1-edge,562,111,8
BayanPlaza,Classic,0,0-court,210,93,4
BayanPlaza,Classic,0,0-edge,210,93,4
BayanPlaza,Classic,0,1-court,210,93,4
BayanPlaza,Classic,0,1-edge,210,93,4
BayanPlaza,Classic,1,0-court,210,93,4
BayanPlaza,Classic,1,0-edge,210,93,4
BayanPlaza,Classic,1,1-court,210,93,4
BayanPlaza,Classic,1,1-edge,210,93,4
BayanPlaza,Classic,2,0-court,210,93,4
BayanPlaza,Classic,2,0-edge,210,93,4
BayanPlaza,Classic,2,1-court,210,93,4
BayanPlaza,Classic,2,1-edge,210,93,4
IlalimNgTulay,Classic,0,0-court,448,620,2
IlalimNgTulay,Classic,0,0-edge,448,620,2
IlalimNgTulay,Classic,0,1-court,448,620,6
IlalimNgTulay,Classic,0,1-edge,448,620,6
IlalimNgTulay,Classic,1,0-court,448,620,2
IlalimNgTulay,Classic,1,0-edge,448,620,2
IlalimNgTulay,Classic,1,1-court,448,620,6
IlalimNgTulay,Classic,1,1-edge,448,620,6
IlalimNgTulay,Classic,2,0-court,448,620,2
IlalimNgTulay,Classic,2,0-edge,448,620,2
IlalimNgTulay,Classic,2,1-court,448,620,6
IlalimNgTulay,Classic,2,1-edge,448,620,6
SaBubong,Classic,0,0-court,136,60,4
SaBubong,Classic,0,0-edge,136,60,4
SaBubong,Classic,0,1-court,136,60,4
SaBubong,Classic,0,1-edge,136,60,4
SaBubong,Classic,1,0-court,136,60,4
SaBubong,Classic,1,0-edge,136,60,4
SaBubong,Classic,1,1-court,136,60,4
SaBubong,Classic,1,1-edge,136,60,4
SaBubong,Classic,2,0-court,136,60,4
SaBubong,Classic,2,0-edge,136,60,4
SaBubong,Classic,2,1-court,136,60,4
SaBubong,Classic,2,1-edge,136,60,4
Eskinita,HeroStrike,0,0-court,562,111,1
Eskinita,HeroStrike,0,0-edge,562,111,1
Eskinita,HeroStrike,0,1-court,562,111,8
Eskinita,HeroStrike,0,1-edge,562,111,8
Eskinita,HeroStrike,1,0-court,562,111,1
Eskinita,HeroStrike,1,0-edge,562,111,1
Eskinita,HeroStrike,1,1-court,562,111,8
Eskinita,HeroStrike,1,1-edge,562,111,8
Eskinita,HeroStrike,2,0-court,562,111,1
Eskinita,HeroStrike,2,0-edge,562,111,1
Eskinita,HeroStrike,2,1-court,562,111,8
Eskinita,HeroStrike,2,1-edge,562,111,8
BayanPlaza,HeroStrike,0,0-court,210,93,4
BayanPlaza,HeroStrike,0,0-edge,210,93,4
BayanPlaza,HeroStrike,0,1-court,210,93,4
BayanPlaza,HeroStrike,0,1-edge,210,93,4
BayanPlaza,HeroStrike,1,0-court,210,93,4
BayanPlaza,HeroStrike,1,0-edge,210,93,4
BayanPlaza,HeroStrike,1,1-court,210,93,4
BayanPlaza,HeroStrike,1,1-edge,210,93,4
BayanPlaza,HeroStrike,2,0-court,210,93,4
BayanPlaza,HeroStrike,2,0-edge,210,93,4
BayanPlaza,HeroStrike,2,1-court,210,93,4
BayanPlaza,HeroStrike,2,1-edge,210,93,4
IlalimNgTulay,HeroStrike,0,0-court,448,620,2
IlalimNgTulay,HeroStrike,0,0-edge,448,620,2
IlalimNgTulay,HeroStrike,0,1-court,448,620,6
IlalimNgTulay,HeroStrike,0,1-edge,448,620,6
IlalimNgTulay,HeroStrike,1,0-court,448,620,2
IlalimNgTulay,HeroStrike,1,0-edge,448,620,2
IlalimNgTulay,HeroStrike,1,1-court,448,620,6
IlalimNgTulay,HeroStrike,1,1-edge,448,620,6
IlalimNgTulay,HeroStrike,2,0-court,448,620,2
IlalimNgTulay,HeroStrike,2,0-edge,448,620,2
IlalimNgTulay,HeroStrike,2,1-court,448,620,6
IlalimNgTulay,HeroStrike,2,1-edge,448,620,6
SaBubong,HeroStrike,0,0-court,136,60,4
SaBubong,HeroStrike,0,0-edge,136,60,4
SaBubong,HeroStrike,0,1-court,136,60,4
SaBubong,HeroStrike,0,1-edge,136,60,4
SaBubong,HeroStrike,1,0-court,136,60,4
SaBubong,HeroStrike,1,0-edge,136,60,4
SaBubong,HeroStrike,1,1-court,136,60,4
SaBubong,HeroStrike,1,1-edge,136,60,4
SaBubong,HeroStrike,2,0-court,136,60,4
SaBubong,HeroStrike,2,0-edge,136,60,4
SaBubong,HeroStrike,2,1-court,136,60,4
SaBubong,HeroStrike,2,1-edge,136,60,4
