hero,slot,variant,role,view,expected,observed,charges_before,charges_after,input_samples,actor_early_travel,actor_travel,target_travel,target_stun_samples,seconds,body_action,fpp_action
sean,1,sean.1.rush,attacker,observer,cast,cast,0,0,11,4.085,4.586,3.854,39,5.00,hero-sean-dash,thrust-fire
sean,1,sean.1.rush,defender,observer,cast,cast,0,0,12,4.000,4.586,3.854,41,5.00,hero-sean-dash,thrust-fire
sean,1,sean.1.afterburn,attacker,observer,cast,cast,0,0,13,2.261,4.586,3.854,41,5.00,hero-sean-dash,thrust-fire
sean,1,sean.1.afterburn,defender,observer,cast,cast,0,0,13,2.261,4.586,3.844,41,5.00,hero-sean-dash,thrust-fire
sean,2,sean.2.cannon,attacker,observer,cast,cast,2,1,12,0.000,0.000,0.000,0,11.00,hero-sean-ignite,ignite
sean,2,sean.2.cannon,defender,observer,refuse,refuse,2,2,13,0.000,0.000,0.000,0,2.00,hero-sean-ignite,ignite
sean,2,sean.2.flare,attacker,observer,cast,cast,2,1,13,0.000,0.000,0.000,0,9.30,hero-sean-ignite,ignite
sean,2,sean.2.flare,defender,observer,refuse,refuse,2,2,13,0.000,0.000,0.000,0,2.00,hero-sean-ignite,ignite
zack,1,zack.1.sprint,attacker,observer,cast,cast,0,0,11,0.822,0.822,0.000,89,5.00,hero-zack-sprint,sprint-electric
zack,1,zack.1.sprint,defender,observer,cast,cast,0,0,13,0.822,0.822,0.000,99,5.00,hero-zack-sprint,sprint-electric
zack,1,zack.1.arcline,attacker,observer,cast,cast,0,0,14,0.822,0.822,0.000,0,5.00,hero-zack-sprint,sprint-electric
zack,1,zack.1.arcline,defender,observer,cast,cast,0,0,14,0.822,0.822,0.000,0,5.00,hero-zack-sprint,sprint-electric
zack,2,zack.2.charge,attacker,observer,cast,cast,1,0,7,0.000,0.000,0.000,0,11.00,hero-zack-charge,overcharge
zack,2,zack.2.charge,defender,observer,refuse,refuse,1,1,13,0.000,0.000,0.000,0,2.00,hero-zack-charge,overcharge
zack,2,zack.2.discharge,attacker,observer,cast,cast,1,0,12,0.000,0.000,0.000,0,6.80,hero-zack-charge,overcharge
zack,2,zack.2.discharge,defender,observer,refuse,refuse,1,1,16,0.000,0.000,0.000,0,2.00,hero-zack-charge,overcharge
dante,1,dante.1.stomp,attacker,observer,cast,cast,2,1,13,0.000,0.000,1.479,35,5.00,hero-dante-stomp,stomp-heavy
dante,1,dante.1.stomp,defender,observer,cast,cast,2,1,11,0.000,0.000,1.481,34,5.00,hero-dante-stomp,stomp-heavy
dante,1,dante.1.tremor,attacker,observer,cast,cast,2,1,13,0.000,0.000,0.000,121,5.00,hero-dante-stomp,stomp-heavy
dante,1,dante.1.tremor,defender,observer,cast,cast,2,1,14,0.000,0.000,0.000,127,5.00,hero-dante-stomp,stomp-heavy
dante,2,dante.2.carapace,attacker,observer,cast,cast,0,0,11,0.000,0.000,0.000,0,5.80,hero-dante-roar,carapace-guard
dante,2,dante.2.carapace,defender,observer,cast,cast,0,0,15,0.000,0.000,0.000,0,5.80,hero-dante-roar,carapace-guard
dante,2,dante.2.plating,attacker,observer,cast,cast,0,0,12,0.000,0.000,0.000,0,7.00,hero-dante-roar,carapace-guard
dante,2,dante.2.plating,defender,observer,cast,cast,0,0,12,0.000,0.000,0.000,0,7.00,hero-dante-roar,carapace-guard
cheska,1,cheska.1.sheet,attacker,observer,cast,cast,2,1,13,0.000,0.000,0.000,0,5.00,hero-cheska-frostwave,frost-sweep
cheska,1,cheska.1.sheet,defender,observer,cast,cast,2,1,13,0.000,0.000,0.000,0,5.00,hero-cheska-frostwave,frost-sweep
