hero,slot,variant,role,view,expected,observed,charges_before,charges_after,input_samples,actor_early_travel,actor_travel,target_travel,target_stun_samples,seconds,body_action,fpp_action
sean,1,sean.1.rush,attacker,owner,cast,cast,0,0,11,4.033,4.586,3.854,41,5.00,hero-sean-dash,thrust-fire
sean,1,sean.1.rush,defender,owner,cast,cast,0,0,12,4.065,4.586,3.854,42,5.00,hero-sean-dash,thrust-fire
sean,1,sean.1.afterburn,attacker,owner,cast,cast,0,0,11,2.261,4.586,3.854,41,5.00,hero-sean-dash,thrust-fire
sean,1,sean.1.afterburn,defender,owner,cast,cast,0,0,12,2.261,4.586,3.854,42,5.00,hero-sean-dash,thrust-fire
sean,2,sean.2.cannon,attacker,owner,cast,cast,2,1,10,0.000,0.000,0.000,0,11.00,hero-sean-ignite,ignite
sean,2,sean.2.cannon,defender,owner,refuse,refuse,2,2,11,0.000,0.000,0.000,0,2.00,hero-sean-ignite,ignite
sean,2,sean.2.flare,attacker,owner,cast,cast,2,1,11,0.000,0.000,0.000,0,9.30,hero-sean-ignite,ignite
sean,2,sean.2.flare,defender,owner,refuse,refuse,2,2,12,0.000,0.000,0.000,0,2.00,hero-sean-ignite,ignite
zack,1,zack.1.sprint,attacker,owner,cast,cast,0,0,12,0.822,0.822,0.000,88,5.00,hero-zack-sprint,sprint-electric
zack,1,zack.1.sprint,defender,owner,cast,cast,0,0,16,0.822,0.822,0.000,104,5.00,hero-zack-sprint,sprint-electric
zack,1,zack.1.arcline,attacker,owner,cast,cast,0,0,16,0.822,0.822,0.000,0,5.00,hero-zack-sprint,sprint-electric
zack,1,zack.1.arcline,defender,owner,cast,cast,0,0,17,0.822,0.822,0.000,0,5.00,hero-zack-sprint,sprint-electric
zack,2,zack.2.charge,attacker,owner,cast,cast,1,0,12,0.000,0.000,0.000,0,11.00,hero-zack-charge,overcharge
zack,2,zack.2.charge,defender,owner,refuse,refuse,1,1,13,0.000,0.000,0.000,0,2.00,hero-zack-charge,overcharge
zack,2,zack.2.discharge,attacker,owner,cast,cast,1,0,13,0.000,0.000,0.000,0,6.80,hero-zack-charge,overcharge
zack,2,zack.2.discharge,defender,owner,refuse,refuse,1,1,13,0.000,0.000,0.000,0,2.00,hero-zack-charge,overcharge
dante,1,dante.1.stomp,attacker,owner,cast,cast,2,1,12,0.000,0.000,1.479,32,5.00,hero-dante-stomp,stomp-heavy
dante,1,dante.1.stomp,defender,owner,cast,cast,2,1,12,0.000,0.000,1.479,31,5.00,hero-dante-stomp,stomp-heavy
dante,1,dante.1.tremor,attacker,owner,cast,cast,2,1,12,0.000,0.000,0.000,119,5.00,hero-dante-stomp,stomp-heavy
dante,1,dante.1.tremor,defender,owner,cast,cast,2,1,12,0.000,0.000,0.000,122,5.00,hero-dante-stomp,stomp-heavy
dante,2,dante.2.carapace,attacker,owner,cast,cast,0,0,12,0.000,0.000,0.000,0,5.80,hero-dante-roar,carapace-guard
dante,2,dante.2.carapace,defender,owner,cast,cast,0,0,12,0.000,0.000,0.000,0,5.80,hero-dante-roar,carapace-guard
dante,2,dante.2.plating,attacker,owner,cast,cast,0,0,12,0.000,0.000,0.000,0,7.00,hero-dante-roar,carapace-guard
dante,2,dante.2.plating,defender,owner,cast,cast,0,0,12,0.000,0.000,0.000,0,7.00,hero-dante-roar,carapace-guard
cheska,1,cheska.1.sheet,attacker,owner,cast,cast,2,1,12,0.000,0.000,0.000,0,5.00,hero-cheska-frostwave,frost-sweep
cheska,1,cheska.1.sheet,defender,owner,cast,cast,2,1,12,0.000,0.000,0.000,0,5.00,hero-cheska-frostwave,frost-sweep
cheska,1,cheska.1.blackice,attacker,owner,cast,cast,2,1,12,0.000,0.000,0.000,0,5.00,hero-cheska-frostwave,frost-sweep
cheska,1,cheska.1.blackice,defender,owner,cast,cast,2,1,12,0.000,0.000,0.000,0,5.00,hero-cheska-frostwave,frost-sweep
cheska,2,cheska.2.barricade,attacker,owner,cast,cast,1,0,12,0.000,0.000,0.000,0,5.00,hero-cheska-raise,raise-barricade
cheska,2,cheska.2.barricade,defender,owner,cast,cast,1,0,12,0.000,0.000,0.000,0,5.00,hero-cheska-raise,raise-barricade
cheska,2,cheska.2.spires,attacker,owner,cast,cast,1,0,12,0.000,0.000,0.000,0,5.00,hero-cheska-raise,raise-barricade
cheska,2,cheska.2.spires,defender,owner,cast,cast,1,0,12,0.000,0.000,0.000,0,5.00,hero-cheska-raise,raise-barricade
nemu,1,nemu.1.veil,attacker,owner,cast,cast,0,0,12,0.454,0.454,0.000,0,5.00,hero-nemu-ghoststep,ghost-step
nemu,1,nemu.1.veil,defender,owner,cast,cast,0,0,12,0.454,0.454,0.000,0,5.00,hero-nemu-ghoststep,ghost-step
nemu,1,nemu.1.fade,attacker,owner,cast,cast,0,0,12,0.454,0.454,0.000,0,5.18,hero-nemu-ghoststep,ghost-step
nemu,1,nemu.1.fade,defender,owner,cast,cast,0,0,12,0.454,0.454,0.000,0,5.18,hero-nemu-ghoststep,ghost-step
nemu,2,nemu.2.hijack,attacker,owner,cast,cast,1,0,12,0.000,6.170,0.134,8,7.80,hero-nemu-project,project-spirit
nemu,2,nemu.2.hijack,defender,owner,cast,cast,1,0,12,0.000,7.035,0.134,8,7.80,hero-nemu-project,project-spirit
nemu,2,nemu.2.leash,attacker,owner,cast,cast,1,0,12,0.000,8.669,0.134,8,5.40,hero-nemu-project,project-spirit
