frame,real_seconds,game_seconds,speed,held,leg_angle,action
0,0.0906,0.0122,0.0000,True,0.000,holding-right
1,0.1194,0.1044,0.0000,True,0.000,holding-right
2,0.1677,0.1528,0.0000,True,0.000,holding-right
3,0.2173,0.2024,0.0000,True,0.000,holding-right
4,0.2668,0.2527,0.0000,True,0.000,holding-right
5,0.3174,0.3041,0.0000,True,0.000,holding-right
6,0.3667,0.3541,0.0000,True,0.000,holding-right
7,0.4166,0.4041,0.0000,True,0.000,holding-right
8,0.4676,0.4548,0.0000,True,0.000,holding-right
9,0.5179,0.5049,0.0000,True,0.000,holding-right
10,0.5679,0.5553,0.0000,True,0.000,holding-right
11,0.6276,0.6062,0.0000,True,0.000,holding-right
12,0.6706,0.6563,0.0000,True,0.000,holding-right
13,0.7195,0.7060,0.0000,True,0.000,holding-right
14,0.7710,0.7563,2.4035,True,0.000,holding-right
15,0.8208,0.8066,2.4035,True,0.000,holding-right
16,0.8709,0.8569,2.4035,True,0.000,holding-right
17,0.9218,0.9078,2.4035,True,0.000,holding-right
18,0.9733,0.9586,2.4035,True,0.000,holding-right
19,1.0229,1.0084,2.4035,True,0.000,holding-right
20,1.0724,1.0588,2.4035,True,0.000,holding-right
21,1.1253,1.1102,2.4035,True,0.000,holding-right
22,1.1747,1.1604,2.4035,True,0.000,holding-right
23,1.2244,1.2106,2.4035,True,0.000,holding-right
24,1.2742,1.2614,2.4035,True,0.000,holding-right
25,1.3254,1.3112,2.4035,True,0.000,holding-right
26,1.3757,1.3617,2.4035,True,0.000,holding-right
27,1.4276,1.4120,2.4035,True,0.000,holding-right
28,1.4753,1.4625,2.4035,True,0.000,holding-right
29,1.5275,1.5126,2.4035,True,0.000,holding-right
30,1.5778,1.5635,2.4035,True,0.000,holding-right
31,1.6284,1.6148,2.4035,True,0.000,holding-right
32,1.6839,1.6650,2.4035,True,0.000,holding-right
33,1.7304,1.7157,2.4035,True,0.000,holding-right
34,1.7814,1.7661,2.4035,True,0.000,holding-right
35,1.8345,1.8166,2.4035,True,0.000,holding-right
36,1.8786,1.8672,2.4035,True,0.000,holding-right
37,1.9309,1.9178,2.4035,True,0.000,holding-right
38,1.9807,1.9677,2.4035,True,0.000,holding-right
39,2.0399,2.0185,3.6053,True,0.000,holding-right
40,2.0818,2.0695,3.6053,True,0.000,holding-right
41,2.1326,2.1192,3.6053,True,0.000,holding-right
42,2.1833,2.1701,3.6053,True,0.000,holding-right
43,2.2335,2.2201,3.6053,True,0.000,holding-right
44,2.2828,2.2705,3.6053,True,0.000,holding-right
45,2.3358,2.3212,3.6053,True,0.000,holding-right
46,2.3840,2.3717,3.6053,True,0.000,holding-right
47,2.4328,2.4220,3.6053,True,0.000,holding-right
48,2.4836,2.4730,3.6053,True,0.000,holding-right
49,2.5353,2.5228,3.6053,True,0.000,holding-right
50,2.5847,2.5728,3.6053,True,0.000,holding-right
51,2.6381,2.6242,3.6053,True,0.000,holding-right
52,2.6906,2.6743,3.6053,True,0.000,holding-right
53,2.7358,2.7242,3.6053,True,0.000,holding-right
54,2.7858,2.7745,3.6053,True,0.000,holding-right
55,2.8372,2.8251,3.6053,True,0.000,holding-right
56,2.8913,2.8755,3.6053,True,0.000,holding-right
57,2.9427,2.9256,3.6053,True,0.000,holding-right
58,2.9939,2.9768,3.6053,True,0.000,holding-right
59,3.0438,3.0269,3.6053,True,0.000,holding-right
60,3.0974,3.0771,3.6053,True,0.000,holding-right
61,3.1435,3.1275,3.6053,True,0.000,holding-right
62,3.1950,3.1781,3.6053,True,0.000,holding-right
63,3.2452,3.2284,3.6053,True,0.000,holding-right
64,3.2972,3.2794,3.6053,True,0.000,holding-right
65,3.3467,3.3299,3.6053,True,0.000,holding-right
66,3.3963,3.3801,3.6053,True,0.000,holding-right
67,3.4480,3.4310,3.6053,True,0.000,holding-right
68,3.4989,3.4814,3.6053,True,0.000,holding-right
69,3.5543,3.5318,2.4035,True,0.000,holding-right
70,3.5985,3.5831,2.4035,True,0.000,holding-right
71,3.6512,3.6343,2.4035,True,0.000,holding-right
72,3.7024,3.6854,2.4035,True,0.000,holding-right
73,3.7528,3.7361,2.4035,True,0.000,holding-right
74,3.8027,3.7865,2.4035,True,0.000,holding-right
75,3.8541,3.8371,2.4035,True,0.000,holding-right
76,3.9034,3.8867,2.4035,True,0.000,holding-right
77,3.9552,3.9380,2.4035,True,0.000,holding-right
78,4.0055,3.9890,2.4035,True,0.000,holding-right
79,4.0547,4.0388,2.4035,True,0.000,holding-right
80,4.1053,4.0891,2.4035,True,0.000,holding-right
81,4.1579,4.1397,2.4035,True,0.000,holding-right
82,4.2067,4.1903,2.4035,True,0.000,holding-right
83,4.2564,4.2403,2.4035,True,0.000,holding-right
84,4.3092,4.2921,2.4035,True,0.000,holding-right
85,4.3594,4.3422,2.4035,True,0.000,holding-right
86,4.4107,4.3929,2.4035,True,0.000,holding-right
87,4.4614,4.4438,2.4035,True,0.000,holding-right
88,4.5107,4.4939,2.4035,True,0.000,holding-right
89,4.5620,4.5443,2.4035,True,0.000,holding-right
90,4.6126,4.5955,2.4035,True,0.000,holding-right
91,4.6625,4.6459,2.4035,True,0.000,holding-right
92,4.7132,4.6971,2.4035,True,0.000,holding-right
93,4.7641,4.7477,2.4035,True,0.000,holding-right
94,4.8142,4.7978,2.4035,True,0.000,holding-right
95,4.8651,4.8482,2.4035,True,0.000,holding-right
96,4.9154,4.8990,2.4035,True,0.000,holding-right
97,4.9668,4.9496,2.4035,True,0.000,holding-right
98,5.0169,5.0002,2.4035,True,0.000,holding-right
99,5.0671,5.0504,2.4035,False,0.000,holding-right-shoot
100,5.1167,5.1009,2.4035,False,0.000,holding-right-shoot
101,5.1692,5.1522,2.4035,False,0.000,holding-right-shoot
102,5.2188,5.2021,2.4035,False,0.000,walk
103,5.2684,5.2519,0.0000,False,11.837,idle
104,5.3183,5.3024,0.0000,False,8.644,idle
