frame,real_seconds,game_seconds,speed,held,leg_angle,action
0,0.1189,0.0092,0.0000,True,0.000,holding-right
1,0.1595,0.1283,0.0000,True,0.000,holding-right
2,0.2066,0.1780,0.0000,True,0.000,holding-right
3,0.2597,0.2288,0.0000,True,0.000,holding-right
4,0.3090,0.2804,0.0000,True,0.000,holding-right
5,0.3618,0.3311,0.0000,True,0.000,holding-right
6,0.4127,0.3799,0.0000,True,0.000,holding-right
7,0.4589,0.4308,0.0000,True,0.000,holding-right
8,0.5137,0.4809,0.0000,True,0.000,holding-right
9,0.5581,0.5320,0.0000,True,0.000,holding-right
10,0.6102,0.5828,0.0000,True,0.000,holding-right
11,0.6591,0.6330,0.0000,True,0.000,holding-right
12,0.7123,0.6835,0.0000,True,0.000,holding-right
13,0.7640,0.7336,2.4035,True,336.750,holding-right
14,0.8111,0.7842,2.4035,True,344.395,holding-right
15,0.8629,0.8356,2.4035,True,355.897,holding-right
16,0.9121,0.8855,2.4035,True,359.942,holding-right
17,0.9622,0.9361,2.4035,True,15.254,holding-right
18,1.0122,0.9869,2.4035,True,42.104,holding-right
19,1.0543,1.0366,2.4035,True,58.848,holding-right
20,1.1048,1.0871,2.4035,True,53.734,holding-right
21,1.1562,1.1383,2.4035,True,37.557,holding-right
22,1.2047,1.1879,2.4035,True,17.512,holding-right
23,1.2554,1.2383,2.4035,True,359.032,holding-right
24,1.3076,1.2889,2.4035,True,340.424,holding-right
25,1.3559,1.3390,2.4035,True,320.483,holding-right
26,1.4068,1.3889,2.4035,True,304.908,holding-right
27,1.4570,1.4400,2.4035,True,301.564,holding-right
28,1.5067,1.4901,2.4035,True,314.393,holding-right
29,1.5577,1.5400,2.4035,True,335.989,holding-right
30,1.6083,1.5908,2.4035,True,354.199,holding-right
31,1.6590,1.6411,2.4035,True,358.217,holding-right
32,1.7071,1.6914,2.4035,True,6.910,holding-right
33,1.7623,1.7432,2.4035,True,30.805,holding-right
34,1.8108,1.7932,2.4035,True,53.974,holding-right
35,1.8612,1.8435,2.4035,True,57.199,holding-right
36,1.9100,1.8938,2.4035,True,45.269,holding-right
37,1.9603,1.9439,2.4035,True,26.135,holding-right
38,2.0105,1.9943,2.4035,True,6.457,holding-right
39,2.0603,2.0449,3.6053,True,349.721,holding-right
40,2.1101,2.0954,3.6053,True,323.071,holding-right
41,2.1607,2.1453,3.6053,True,292.208,holding-right
42,2.2092,2.1951,3.6053,True,274.038,holding-right
43,2.2599,2.2463,3.6053,True,279.733,holding-right
44,2.3113,2.2967,3.6053,True,305.576,holding-right
45,2.3613,2.3464,3.6053,True,330.841,holding-right
46,2.4104,2.3967,3.6053,True,353.602,holding-right
47,2.4610,2.4476,3.6053,True,10.171,holding-right
48,2.5099,2.4976,3.6053,True,36.852,holding-right
49,2.5599,2.5478,3.6053,True,67.906,holding-right
50,2.6118,2.5987,3.6053,True,86.494,holding-right
51,2.6620,2.6493,3.6053,True,80.314,holding-right
52,2.7127,2.6999,3.6053,True,54.474,holding-right
53,2.7641,2.7502,3.6053,True,21.469,holding-right
54,2.8130,2.8005,3.6053,True,351.251,holding-right
55,2.8689,2.8507,3.6053,True,318.338,holding-right
56,2.9204,2.9017,3.6053,True,287.680,holding-right
57,2.9694,2.9519,3.6053,True,272.039,holding-right
58,3.0218,3.0032,3.6053,True,281.885,holding-right
59,3.0709,3.0532,3.6053,True,310.550,holding-right
60,3.1222,3.1037,3.6053,True,334.641,holding-right
61,3.1730,3.1543,3.6053,True,357.516,holding-right
62,3.2233,3.2052,3.6053,True,12.729,holding-right
63,3.2746,3.2559,3.6053,True,42.578,holding-right
64,3.3251,3.3064,3.6053,True,73.625,holding-right
65,3.3756,3.3568,3.6053,True,89.086,holding-right
66,3.4260,3.4066,3.6053,True,78.114,holding-right
67,3.4750,3.4567,3.6053,True,49.603,holding-right
68,3.5262,3.5079,3.6053,True,15.841,holding-right
69,3.5778,3.5578,2.4035,True,348.479,holding-right
70,3.6260,3.6081,2.4035,True,323.901,holding-right
71,3.6787,3.6588,2.4035,True,307.420,holding-right
72,3.7277,3.7092,2.4035,True,300.161,holding-right
73,3.7788,3.7600,2.4035,True,311.183,holding-right
74,3.8299,3.8113,2.4035,True,332.423,holding-right
75,3.8802,3.8617,2.4035,True,353.053,holding-right
76,3.9312,3.9128,2.4035,True,357.685,holding-right
77,3.9818,3.9638,2.4035,True,5.245,holding-right
78,4.0315,4.0138,2.4035,True,27.353,holding-right
79,4.0843,4.0652,2.4035,True,52.296,holding-right
80,4.1337,4.1154,2.4035,True,57.935,holding-right
81,4.1895,4.1656,2.4035,True,47.095,holding-right
82,4.2475,4.2211,2.4035,True,28.018,holding-right
83,4.2886,4.2690,2.4035,True,8.273,holding-right
84,4.3391,4.3199,2.4035,True,349.801,holding-right
