frame,real_seconds,game_seconds,speed,held,leg_angle,action
0,0.1713,0.0167,0.0000,True,0.000,holding-right
1,0.2316,0.1896,0.0000,True,0.000,holding-right
2,0.2834,0.2486,0.0000,True,0.000,holding-right
3,0.3435,0.3013,0.0000,True,0.000,holding-right
4,0.3996,0.3622,0.0000,True,0.000,holding-right
5,0.4524,0.4164,0.0000,True,0.000,holding-right
6,0.5079,0.4704,0.0000,True,0.000,holding-right
7,0.5656,0.5248,0.0000,True,0.000,holding-right
8,0.6263,0.5838,0.0000,True,0.000,holding-right
9,0.6806,0.6435,0.0000,True,0.000,holding-right
10,0.7574,0.6977,0.0000,True,0.000,hero-cheska-frostwave
11,0.8183,0.7746,0.0000,True,0.000,hero-cheska-frostwave
12,0.8733,0.8350,0.0000,True,6.937,hero-cheska-frostwave
13,0.9288,0.8901,0.0000,True,6.584,hero-cheska-frostwave
14,0.9821,0.9458,0.0000,True,6.178,hero-cheska-frostwave
15,1.0377,0.9989,0.0000,True,5.976,hero-cheska-frostwave
16,1.0927,1.0563,0.0000,True,5.281,hero-cheska-frostwave
17,1.1472,1.1099,0.0000,True,3.588,hero-cheska-frostwave
18,1.2002,1.1645,0.0000,True,1.774,hero-cheska-frostwave
19,1.2533,1.2168,0.0000,True,0.375,hero-cheska-frostwave
20,1.3093,1.2700,0.0000,True,0.000,hero-cheska-frostwave
21,1.3648,1.3262,0.0000,True,0.003,holding-right
22,1.4027,1.3816,0.0000,True,0.001,holding-right
23,1.4579,1.4329,0.0000,True,0.000,holding-right
24,1.4986,1.4822,0.0000,True,0.000,holding-right
25,1.5577,1.5327,0.0000,True,0.000,holding-right
26,1.6056,1.5839,0.0000,True,0.000,holding-right
27,1.6596,1.6349,0.0000,True,0.000,holding-right
28,1.7039,1.6863,0.0000,True,0.000,holding-right
29,1.7570,1.7367,0.0000,True,0.000,holding-right
30,1.8068,1.7873,0.0000,True,0.000,holding-right
31,1.8592,1.8385,0.0000,True,0.000,holding-right
32,1.9089,1.8887,0.0000,True,0.000,holding-right
33,1.9645,1.9415,0.0000,True,0.000,holding-right
34,2.0126,1.9917,0.0000,True,0.000,holding-right
35,2.0648,2.0430,0.0000,True,0.000,holding-right
36,2.1147,2.0936,0.0000,True,0.000,holding-right
37,2.1682,2.1444,0.0000,True,0.000,holding-right
38,2.2187,2.1939,0.0000,True,0.000,holding-right
39,2.2637,2.2449,0.0000,True,0.000,holding-right
40,2.3188,2.2957,0.0000,True,0.000,holding-right
41,2.3654,2.3462,0.0000,True,0.000,holding-right
42,2.4222,2.3985,0.0000,True,0.000,holding-right
43,2.4685,2.4488,0.0000,True,0.000,holding-right
44,2.5265,2.5010,0.0000,True,0.000,holding-right
45,2.5722,2.5503,0.0000,True,0.000,holding-right
46,2.6237,2.6014,0.0000,True,0.000,holding-right
47,2.6768,2.6521,0.0000,True,0.000,holding-right
48,2.7217,2.7029,0.0000,True,0.000,holding-right
49,2.7757,2.7529,0.0000,True,0.000,holding-right
50,2.8266,2.8029,0.0000,True,0.000,holding-right
51,2.8726,2.8535,0.0000,True,0.000,holding-right
52,2.9266,2.9043,0.0000,True,0.000,holding-right
53,2.9775,2.9550,0.0000,True,0.000,holding-right
54,3.0234,3.0050,0.0000,True,0.000,holding-right
55,3.0785,3.0558,0.0000,True,0.000,holding-right
56,3.1300,3.1077,0.0000,True,0.000,holding-right
57,3.1872,3.1582,0.0000,True,0.000,holding-right
58,3.2464,3.2093,0.0000,True,0.000,holding-right
