id,gait,authored_cycle_metres,calibrated_cycle_metres
bayan,walk,1.0088,1.0330
bayan,sprint,1.1523,1.1656
maring,walk,1.0049,1.0330
maring,sprint,1.1495,1.1656
totoy,walk,0.9824,1.0330
totoy,sprint,1.1206,1.1656
inday,walk,1.0049,1.0330
inday,sprint,1.1495,1.1656
kuya_boy,walk,1.0088,1.0330
kuya_boy,sprint,1.1523,1.1656
ate_girlie,walk,1.0049,1.0330
ate_girlie,sprint,1.1495,1.1656
tikboy,walk,1.0088,1.0330
tikboy,sprint,1.1523,1.1656
bebang,walk,0.9824,1.0330
bebang,sprint,1.1191,1.1656
jun_jun,walk,1.0088,1.0330
jun_jun,sprint,1.1523,1.1656
lola_pacing,walk,1.0088,1.0330
lola_pacing,sprint,1.1523,1.1656
mang_kanor,walk,1.0088,1.0330
mang_kanor,sprint,1.1523,1.1656
aling_nena,walk,1.0088,1.0330
aling_nena,sprint,1.1523,1.1656
dante,walk,0.9667,1.0316
dante,sprint,1.1025,1.1639
cheska,walk,0.9666,1.0316
cheska,sprint,1.1024,1.1639
sean,walk,1.4211,1.4360
sean,sprint,1.6221,1.6202
zack,walk,0.9657,1.0316
zack,sprint,1.1020,1.1639
nemu,walk,0.9660,0.9964
nemu,sprint,1.1021,1.1242
phaister,walk,1.0026,1.0316
phaister,sprint,1.1471,1.1639
custom,walk,0.9604,1.0316
custom,sprint,1.0922,1.1639
custom_base,walk,1.0075,1.0316
custom_base,sprint,1.1457,1.1639
