id,gait,authored_cycle_metres,calibrated_cycle_metres
bayan,walk,0.7691,2.0160
bayan,sprint,1.1523,2.5920
maring,walk,0.7662,2.0160
maring,sprint,1.1495,2.5920
totoy,walk,0.7490,2.0160
totoy,sprint,1.1206,2.5920
inday,walk,0.7662,2.0160
inday,sprint,1.1495,2.5920
kuya_boy,walk,0.7691,2.0160
kuya_boy,sprint,1.1523,2.5920
ate_girlie,walk,0.7662,2.0160
ate_girlie,sprint,1.1495,2.5920
tikboy,walk,0.7691,2.0160
tikboy,sprint,1.1523,2.5920
bebang,walk,0.7490,2.0160
bebang,sprint,1.1191,2.5920
jun_jun,walk,0.7691,2.0160
jun_jun,sprint,1.1523,2.5920
lola_pacing,walk,0.7691,2.0160
lola_pacing,sprint,1.1523,2.5920
mang_kanor,walk,0.7691,2.0160
mang_kanor,sprint,1.1523,2.5920
aling_nena,walk,0.7691,2.0160
aling_nena,sprint,1.1523,2.5920
dante,walk,0.7370,2.0160
dante,sprint,1.1025,2.5920
cheska,walk,0.7370,2.0160
cheska,sprint,1.1024,2.5920
sean,walk,1.0835,2.0160
sean,sprint,1.6221,2.5920
zack,walk,0.7363,2.0160
zack,sprint,1.1020,2.5920
nemu,walk,0.7365,2.0160
nemu,sprint,1.1021,2.5920
phaister,walk,0.7645,2.0160
phaister,sprint,1.1471,2.5920
custom,walk,0.7323,2.0160
custom,sprint,1.0922,2.5920
custom_base,walk,0.7682,2.0160
custom_base,sprint,1.1457,2.5920
