hero,slot,body,first_person,accepted
sean,1,hero-sean-dash,thrust-fire,True
sean,2,hero-sean-ignite,ignite,True
sean,3,hero-sean-supernova,supernova-slam,True
zack,1,hero-zack-sprint,sprint-electric,True
zack,2,hero-zack-charge,overcharge,True
zack,3,hero-zack-summon,summon-lightning,True
dante,1,hero-dante-stomp,stomp-heavy,True
dante,2,hero-dante-roar,carapace-guard,True
dante,3,hero-dante-fissure,fissure-slam,True
cheska,1,hero-cheska-frostwave,frost-sweep,True
cheska,2,hero-cheska-raise,raise-barricade,True
cheska,3,hero-cheska-nova,nova-burst,True
nemu,1,hero-nemu-ghoststep,ghost-step,True
nemu,2,hero-nemu-project,project-spirit,True
nemu,3,hero-nemu-seance,seance-channel,True
phaister,1,hero-phaister-hex,cast-hex,True
phaister,2,hero-phaister-blink,blink,True
phaister,3,hero-phaister-eclipse,coven-eclipse,True
