real_seconds,game_seconds,time_left,defence_events,collected_ticks,time_scale
0.008,0.333,89.660,0,0,1.000
1.009,1.340,88.660,1,1,1.000
2.009,2.341,87.660,2,2,1.000
3.010,3.301,86.701,2,2,1.000
4.010,4.301,85.701,2,2,1.000
5.012,5.245,84.761,3,3,1.000
6.013,6.186,83.801,4,4,1.000
7.013,7.186,82.801,5,5,1.000
8.014,8.187,81.801,6,6,1.000
9.014,9.187,80.802,7,7,1.000
10.015,10.188,79.802,8,8,1.000
11.015,11.188,78.802,9,9,1.000
12.015,12.188,77.802,10,10,1.000
13.017,13.190,76.802,11,11,1.000
14.017,14.191,75.802,12,12,1.000
15.020,15.093,74.903,12,12,1.000
16.020,16.093,73.903,12,12,1.000
17.021,17.094,72.903,13,13,1.000
18.022,18.035,71.963,14,14,1.000
19.023,18.977,71.023,15,15,1.000
20.023,19.977,70.023,16,16,1.000
21.024,20.978,69.024,17,17,1.000
22.025,21.979,68.024,18,18,1.000
23.025,22.979,67.024,19,19,1.000
24.025,23.979,66.024,20,20,1.000
25.025,24.979,65.024,21,21,1.000
26.026,25.921,64.084,22,22,1.000
27.026,26.921,63.084,23,23,1.000
28.027,27.882,62.124,23,23,1.000
29.031,28.885,61.104,23,23,1.000
30.032,29.887,60.104,24,24,1.000
31.032,30.829,59.164,25,25,1.000
32.032,31.829,58.164,26,26,1.000
33.033,32.788,57.204,26,26,1.000
34.034,33.789,56.204,26,26,1.000
35.035,34.790,55.204,27,27,1.000
36.035,35.733,54.264,28,28,1.000
37.036,36.734,53.264,29,29,1.000
38.036,37.691,52.304,29,29,1.000
39.037,38.692,51.304,29,29,1.000
40.037,39.692,50.304,30,30,1.000
41.040,40.636,49.364,31,31,1.000
42.041,41.637,48.364,32,32,1.000
43.041,42.638,47.364,33,33,1.000
44.042,43.638,46.364,34,34,1.000
45.042,44.638,45.364,35,35,1.000
46.043,45.581,44.424,36,36,1.000
47.044,46.581,43.424,37,37,1.000
48.044,47.524,42.484,38,38,1.000
49.044,48.525,41.484,39,39,1.000
50.044,49.525,40.484,40,40,1.000
51.046,50.526,39.464,41,41,1.000
52.047,51.527,38.464,42,42,1.000
53.048,52.528,37.464,43,43,1.000
54.048,53.528,36.464,44,44,1.000
55.049,54.529,35.464,45,45,1.000
56.050,55.530,34.464,46,46,1.000
57.050,56.530,33.464,47,47,1.000
58.052,57.474,32.524,48,48,1.000
59.053,58.475,31.524,49,49,1.000
60.054,59.475,30.524,50,50,1.000
61.054,60.418,29.584,51,51,1.000
62.055,61.418,28.584,52,52,1.000
63.056,62.419,27.584,53,53,1.000
64.057,63.420,26.584,54,54,1.000
65.057,64.379,25.623,55,55,1.000
66.058,65.380,24.623,55,55,1.000
67.059,66.380,23.623,55,55,1.000
68.060,67.323,22.683,56,56,1.000
69.062,68.265,21.723,57,57,1.000
70.062,69.226,20.763,58,58,1.000
71.064,70.228,19.763,58,58,1.000
72.066,71.230,18.763,58,58,1.000
73.066,72.171,17.823,59,59,1.000
74.067,73.172,16.823,60,60,1.000
75.067,74.172,15.823,61,61,1.000
76.068,75.173,14.823,62,62,1.000
77.068,76.173,13.823,63,63,1.000
78.069,77.173,12.823,64,64,1.000
79.070,78.116,11.883,64,64,1.000
80.070,79.058,10.943,65,65,1.000
81.071,80.060,9.943,66,66,1.000
82.073,81.002,9.003,67,67,1.000
83.073,82.003,8.003,68,68,1.000
84.073,83.003,7.003,69,69,1.000
85.074,84.004,6.003,70,70,1.000
86.075,85.005,4.983,71,71,1.000
87.077,86.007,3.983,72,72,1.000
88.078,87.008,2.983,73,73,1.000
89.079,87.969,2.023,74,74,1.000
90.080,88.970,1.023,74,74,1.000
91.081,89.928,0.063,75,75,0.050
