map,target,shoe_x,shoe_y,shoe_z,route_nodes,seconds,picked_up
Eskinita,west wall,-7.840,0.192,-3.740,40,7.482,True
Eskinita,east wall,7.660,0.192,-0.240,33,5.959,True
Eskinita,south wall,-2.340,0.192,-17.240,57,10.800,True
Eskinita,north wall,-0.840,0.192,17.260,20,3.021,True
Eskinita,tree trunk,-6.840,0.192,12.760,23,3.740,True
BayanPlaza,west wall,-12.240,0.192,-0.240,42,7.858,True
BayanPlaza,east wall,12.260,0.192,-0.240,42,7.860,True
BayanPlaza,south wall,-0.240,0.192,-12.240,42,7.919,True
BayanPlaza,north wall,-0.240,0.192,12.260,8,0.861,True
BayanPlaza,monument,-8.240,0.192,-8.240,51,9.728,True
IlalimNgTulay,west wall,-10.740,0.304,-3.240,46,8.688,True
IlalimNgTulay,east wall,10.760,0.304,-0.240,39,7.241,True
IlalimNgTulay,south wall,-0.240,0.092,-16.240,50,9.601,True
IlalimNgTulay,north wall,-0.240,0.092,16.260,16,2.521,True
IlalimNgTulay,guideway pillar,4.260,0.092,8.760,10,1.079,True
IlalimNgTulay,utility pole,-9.740,0.304,-3.740,44,8.281,True
IlalimNgTulay,Vendor_ParesCounter,10.260,0.304,-5.240,48,9.121,True
IlalimNgTulay,Vendor_FruitCart,-10.240,0.304,10.260,23,4.180,True
IlalimNgTulay,Vendor_FishballCart,-10.240,0.304,-13.240,64,12.440,True
IlalimNgTulay,Vendor_ClothesAndCases,9.260,0.304,-16.240,68,13.281,True
