map,view,camera_x,camera_y,camera_z,target_x,target_y,target_z,fov
Eskinita,district--1--1,-30.000,26.000,-30.000,0.000,1.000,0.000,65.00
Eskinita,corner--1--1,-6.000,1.650,-14.000,-14.000,2.000,-23.000,65.00
Eskinita,frontage--1--1,-6.000,1.650,-5.000,-14.000,2.000,-5.000,65.00
Eskinita,district--1-1,-30.000,26.000,30.000,0.000,1.000,0.000,65.00
Eskinita,corner--1-1,-6.000,1.650,14.000,-14.000,2.000,23.000,65.00
Eskinita,frontage--1-1,-6.000,1.650,5.000,-14.000,2.000,5.000,65.00
Eskinita,district-1--1,30.000,26.000,-30.000,0.000,1.000,0.000,65.00
Eskinita,corner-1--1,6.000,1.650,-14.000,14.000,2.000,-23.000,65.00
Eskinita,frontage-1--1,6.000,1.650,-5.000,14.000,2.000,-5.000,65.00
Eskinita,district-1-1,30.000,26.000,30.000,0.000,1.000,0.000,65.00
Eskinita,corner-1-1,6.000,1.650,14.000,14.000,2.000,23.000,65.00
Eskinita,frontage-1-1,6.000,1.650,5.000,14.000,2.000,5.000,65.00
Eskinita,street-end--1,0.000,1.650,-15.000,0.000,2.000,-55.000,65.00
Eskinita,street-end-1,0.000,1.650,15.000,0.000,2.000,55.000,65.00
BayanPlaza,district--1--1,-30.000,26.000,-30.000,0.000,1.000,0.000,65.00
BayanPlaza,corner--1--1,-6.000,1.650,-14.000,-14.000,2.000,-23.000,65.00
BayanPlaza,frontage--1--1,-6.000,1.650,-5.000,-14.000,2.000,-5.000,65.00
BayanPlaza,district--1-1,-30.000,26.000,30.000,0.000,1.000,0.000,65.00
BayanPlaza,corner--1-1,-6.000,1.650,14.000,-14.000,2.000,23.000,65.00
BayanPlaza,frontage--1-1,-6.000,1.650,5.000,-14.000,2.000,5.000,65.00
BayanPlaza,district-1--1,30.000,26.000,-30.000,0.000,1.000,0.000,65.00
BayanPlaza,corner-1--1,6.000,1.650,-14.000,14.000,2.000,-23.000,65.00
BayanPlaza,frontage-1--1,6.000,1.650,-5.000,14.000,2.000,-5.000,65.00
BayanPlaza,district-1-1,30.000,26.000,30.000,0.000,1.000,0.000,65.00
BayanPlaza,corner-1-1,6.000,1.650,14.000,14.000,2.000,23.000,65.00
BayanPlaza,frontage-1-1,6.000,1.650,5.000,14.000,2.000,5.000,65.00
BayanPlaza,street-end--1,0.000,1.650,-15.000,0.000,2.000,-55.000,65.00
BayanPlaza,street-end-1,0.000,1.650,15.000,0.000,2.000,55.000,65.00
IlalimNgTulay,district--1--1,-30.000,26.000,-30.000,0.000,1.000,0.000,65.00
IlalimNgTulay,corner--1--1,-6.000,1.650,-14.000,-14.000,2.000,-23.000,65.00
IlalimNgTulay,frontage--1--1,-6.000,1.650,-5.000,-14.000,2.000,-5.000,65.00
IlalimNgTulay,district--1-1,-30.000,26.000,30.000,0.000,1.000,0.000,65.00
IlalimNgTulay,corner--1-1,-6.000,1.650,14.000,-14.000,2.000,23.000,65.00
IlalimNgTulay,frontage--1-1,-6.000,1.650,5.000,-14.000,2.000,5.000,65.00
IlalimNgTulay,district-1--1,30.000,26.000,-30.000,0.000,1.000,0.000,65.00
IlalimNgTulay,corner-1--1,6.000,1.650,-14.000,14.000,2.000,-23.000,65.00
IlalimNgTulay,frontage-1--1,6.000,1.650,-5.000,14.000,2.000,-5.000,65.00
IlalimNgTulay,district-1-1,30.000,26.000,30.000,0.000,1.000,0.000,65.00
IlalimNgTulay,corner-1-1,6.000,1.650,14.000,14.000,2.000,23.000,65.00
IlalimNgTulay,frontage-1-1,6.000,1.650,5.000,14.000,2.000,5.000,65.00
IlalimNgTulay,street-end--1,0.000,1.650,-15.000,0.000,2.000,-55.000,65.00
IlalimNgTulay,street-end-1,0.000,1.650,15.000,0.000,2.000,55.000,65.00
