mode,person,swim_phase_change,eye_y,recovery_min_gap,recovery_max_gap
Classic,bayan,76.39,0.390,-0.0328,0.0081
Classic,maring,76.51,0.390,-0.0322,0.0200
Classic,totoy,76.49,0.390,-0.0333,0.0225
Classic,inday,76.51,0.390,-0.0333,0.0289
Classic,kuya_boy,76.54,0.390,-0.0332,0.0240
Classic,ate_girlie,76.55,0.390,-0.0333,0.0135
Classic,tikboy,76.33,0.390,-0.0329,0.0213
Classic,bebang,76.46,0.390,-0.0333,0.0110
Classic,jun_jun,76.65,0.390,-0.0329,0.0055
Classic,lola_pacing,76.19,0.390,-0.0328,0.0108
Classic,mang_kanor,76.50,0.390,-0.0329,0.0226
Classic,aling_nena,76.48,0.390,-0.0329,0.0153
HeroStrike,dante,76.60,0.390,-0.0316,0.0165
HeroStrike,cheska,76.54,0.390,-0.0318,0.0234
HeroStrike,sean,76.36,0.390,-0.0444,0.0163
HeroStrike,zack,76.50,0.390,-0.0317,0.0196
HeroStrike,nemu,76.53,0.390,-0.0293,0.0165
HeroStrike,phaister,76.57,0.390,-0.0317,0.0203
