mode,stage,time,x,y,z,vy,eye_y,swimming,grounded,holding,clip
Classic,directional-motion,1.2546,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.5681,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.6173,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.6197,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.6210,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.6673,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.6701,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.6713,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.6723,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.7158,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.7179,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.7195,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.7204,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.7217,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.7228,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.7675,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.7697,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.7709,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.7722,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.7731,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.8160,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.8192,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.8211,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.8229,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.8237,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.8692,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.8761,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.9196,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.9213,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.9229,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.9242,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.9253,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.9261,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.9267,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,1.9835,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.0294,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.0313,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.0330,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.0349,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.0812,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.0834,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.0844,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.0856,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.1318,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.1335,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.1348,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.1359,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.1787,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.1804,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.1824,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.1838,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.1848,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.1855,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.1861,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.2408,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.2848,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.2870,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.2884,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.2896,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.2905,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.2915,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.2928,-13.2000,-0.8600,3.0000,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.3473,-13.2000,-0.8600,3.0880,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.3913,-13.2000,-0.8600,3.1467,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.3930,-13.2000,-0.8600,3.1467,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.3939,-13.2000,-0.8600,3.1467,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.3951,-13.2000,-0.8600,3.1467,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.3966,-13.2000,-0.8600,3.1467,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.3976,-13.2000,-0.8600,3.1467,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.3984,-13.2000,-0.8600,3.1467,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.4508,-13.2000,-0.8600,3.2348,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.4963,-13.2000,-0.8600,3.2935,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.4986,-13.2000,-0.8600,3.2935,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.4998,-13.2000,-0.8600,3.2935,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.5008,-13.2000,-0.8600,3.3228,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.5021,-13.2000,-0.8600,3.3228,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.5441,-13.2000,-0.8600,3.3815,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.5458,-13.2000,-0.8600,3.3815,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.5474,-13.2000,-0.8600,3.3815,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.5486,-13.2000,-0.8600,3.3815,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.5494,-13.2000,-0.8600,3.3815,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.5501,-13.2000,-0.8600,3.3815,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.5507,-13.2000,-0.8600,3.3815,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.5513,-13.2000,-0.8600,3.3815,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.5534,-13.2000,-0.8600,3.3815,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.6019,-13.2000,-0.8600,3.4696,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.6042,-13.2000,-0.8600,3.4696,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.6474,-13.2000,-0.8600,3.5283,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.6492,-13.2000,-0.8600,3.5283,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.6506,-13.2000,-0.8600,3.5283,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.6517,-13.2000,-0.8600,3.5283,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.6527,-13.2000,-0.8600,3.5283,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.6535,-13.2000,-0.8600,3.5283,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.6542,-13.2000,-0.8600,3.5283,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.6548,-13.2000,-0.8600,3.5283,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.7057,-13.2000,-0.8600,3.6163,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.7508,-13.2000,-0.8600,3.6750,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.7531,-13.2000,-0.8600,3.6750,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.7547,-13.2000,-0.8600,3.6750,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.7558,-13.2000,-0.8600,3.6750,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.7567,-13.2000,-0.8600,3.6750,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.7574,-13.2000,-0.8600,3.6750,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.8004,-13.2000,-0.8600,3.7630,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.8034,-13.2000,-0.8600,3.7630,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.8047,-13.2000,-0.8600,3.7630,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.8066,-13.2000,-0.8600,3.7630,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.8079,-13.2000,-0.8600,3.7630,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.8547,-13.2000,-0.8600,3.8217,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.8573,-13.2000,-0.8600,3.8217,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.8586,-13.2000,-0.8600,3.8217,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.9026,-13.2000,-0.8600,3.9098,0.0000,0.3900,True,False,True,True
Classic,directional-motion,2.9063,-13.2000,-0.8600,3.9098,0.0000,0.3900,True,False,True,True
