id,skin_width,root_y,support_y,drawn_sole_y,renderer_min_y,sole_gap,controller_bottom,grounded
bayan,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
bayan,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
maring,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
maring,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
totoy,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
totoy,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
inday,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
inday,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
kuya_boy,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
kuya_boy,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
ate_girlie,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
ate_girlie,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
tikboy,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
tikboy,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
bebang,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
bebang,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
jun_jun,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
jun_jun,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
lola_pacing,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
lola_pacing,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
mang_kanor,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
mang_kanor,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
aling_nena,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
aling_nena,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
dante,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
dante,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
cheska,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
cheska,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
sean,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
sean,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
zack,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
zack,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
nemu,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
nemu,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
phaister,0.0800,0.1800,0.1000,0.1000,0.1000,0.0000,0.1800,True
phaister,0.0350,0.1350,0.1000,0.1000,0.1000,0.0000,0.1350,True
