time,elapsed,host,local,round,x,y,z,trip,stun,mash,holding,shoeActive,shoeState,shoeX,shoeY,shoeZ,episode,ack,map,swimming,swimAnimation,floating,eyeY
16.4561,0.0000,1,0,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.8332,8.3745,2,0,3,0,0,0,1.2500
16.5061,0.0500,1,0,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.8332,8.3745,2,0,3,0,0,0,1.4300
16.5568,0.1007,1,0,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.8332,8.3745,2,0,3,0,0,0,1.4300
16.6069,0.1508,1,0,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.8332,8.3745,2,0,3,0,0,0,1.4300
16.6569,0.2008,1,0,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.8332,8.3745,2,0,3,0,0,0,1.4300
16.7075,0.2515,1,0,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.8332,8.3745,2,0,3,0,0,0,1.4300
16.7583,0.3023,1,0,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.8332,8.3745,2,0,3,0,0,0,1.4300
16.8088,0.3528,1,0,1,-1.8000,0.1800,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.9332,8.3745,2,0,3,0,0,0,1.4300
16.8597,0.4036,1,0,1,-1.8000,0.1617,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.9332,8.3745,2,0,3,0,0,0,1.4300
16.9106,0.4545,1,0,1,-1.8000,0.1800,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.9332,8.3745,2,0,3,0,0,0,1.4300
16.9611,0.5051,1,0,1,-1.8000,0.1617,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.9332,8.3745,2,0,3,0,0,0,1.4300
17.0117,0.5557,1,0,1,-1.8000,0.1800,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.9332,8.3745,2,0,3,0,0,0,1.4300
17.0628,0.6068,1,0,1,-1.8000,0.1617,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.9332,8.3745,2,0,3,0,0,0,1.4300
17.1139,0.6579,1,0,1,-1.8000,0.1800,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.9332,8.3745,2,0,3,0,0,0,1.4300
17.1644,0.7084,1,0,1,-1.8000,0.1617,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.9332,8.3745,2,0,3,0,0,0,1.4300
17.2145,0.7584,1,0,1,-1.8000,0.1094,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.9332,8.3745,2,0,3,0,0,0,1.4300
17.2646,0.8086,1,0,1,17.8000,0.1000,0.0000,0.0000,0.0000,0,1,1,1,18.3232,0.9332,-0.5733,2,0,3,0,0,0,1.4300
17.3150,0.8589,1,0,1,17.8000,0.1000,0.0000,0.0000,0.0000,0,1,1,1,18.3232,0.9332,-0.5733,2,0,3,0,0,0,1.4300
17.3652,0.9091,1,0,1,17.8000,0.1000,0.0000,0.0000,0.0000,0,1,1,1,18.3232,0.9332,-0.5733,2,0,3,0,0,0,1.4300
17.4158,0.9597,1,0,1,17.8000,0.1000,0.0000,0.0000,0.0000,0,1,1,1,18.3232,0.9332,-0.5733,2,0,3,0,0,0,1.4300
17.4661,1.0101,1,0,1,17.8000,0.1000,0.0000,0.0000,0.0000,0,1,1,1,18.3232,0.9332,-0.5733,2,0,3,0,0,0,1.4300
17.5163,1.0602,1,0,1,17.8000,0.1000,0.0000,0.0000,0.0000,0,1,1,1,18.3232,0.9332,-0.5733,2,0,3,0,0,0,1.4300
17.5663,1.1103,1,0,1,17.8000,0.1000,0.0000,0.0000,0.0000,0,1,1,1,18.3232,0.9332,-0.5733,2,0,3,0,0,0,1.4300
17.6169,1.1608,1,0,1,17.9243,0.3734,0.0000,0.0000,0.0000,0,1,1,1,17.8985,1.0479,-0.7977,2,0,3,0,0,0,1.4300
