time,elapsed,host,local,round,x,y,z,trip,stun,mash,holding,shoeActive,shoeState,shoeX,shoeY,shoeZ,episode,ack,map,swimming,swimAnimation,floating,eyeY
16.7184,0.0000,0,2,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,0,1,1,-2.2850,0.8213,8.3800,2,0,3,0,0,0,1.2500
16.7687,0.0503,0,2,1,-1.8000,0.0300,9.0000,0.0000,0.0000,0,0,1,1,-2.5363,0.6566,8.5227,2,0,3,0,0,0,1.2500
16.8188,0.1005,0,2,1,-1.8000,0.0615,9.0000,0.0000,0.0000,0,0,1,1,-2.6517,0.4863,8.7925,2,0,3,0,0,0,1.4300
16.8691,0.1507,0,2,1,-1.8000,0.0674,9.0000,0.0000,0.0000,0,0,1,1,-2.6653,0.4843,8.8778,2,0,3,0,0,0,1.4300
16.9199,0.2015,0,2,1,-1.8000,0.0696,9.0000,0.0000,0.0000,0,0,1,1,-2.6811,0.5338,8.8773,2,0,3,0,0,0,1.4300
16.9705,0.2521,0,2,1,-1.8000,0.0699,9.0000,0.0000,0.0000,0,0,1,1,-2.6927,0.5725,8.8785,2,0,3,0,0,0,1.4300
17.0214,0.3030,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,0,1,1,1,-2.6502,0.7021,8.6923,2,0,3,0,0,0,1.4300
17.0715,0.3532,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,0,1,1,1,-2.4532,0.8405,8.4655,2,0,3,0,0,0,1.4300
17.1218,0.4034,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.9030,8.3745,2,0,3,0,0,0,1.4300
17.1725,0.4541,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.9031,8.3745,2,0,3,0,0,0,1.4300
17.2230,0.5046,0,2,1,17.8000,0.1000,0.0000,0.0000,0.0000,0,1,1,1,18.3232,0.9332,-0.5733,2,0,3,0,0,0,1.4300
17.2734,0.5550,0,2,1,17.8000,0.1000,0.0000,0.0000,0.0000,0,1,1,1,18.3232,0.9332,-0.5733,2,0,3,0,0,0,1.4300
17.4904,0.7720,0,2,1,17.8000,0.1000,0.0000,0.0000,0.0000,0,1,1,1,18.3232,0.9332,-0.5733,2,0,3,0,0,0,1.4300
17.5931,0.8747,0,2,1,18.0317,0.5874,0.0000,0.0000,0.0000,0,1,1,1,17.6980,1.3705,-0.7812,2,0,3,0,0,0,1.4300
17.6974,0.9790,0,2,1,18.3187,0.9298,0.0000,0.0000,0.0000,0,1,1,1,17.6814,1.8671,-0.6002,2,0,3,0,0,0,1.4300
17.7516,1.0332,0,2,1,18.3807,0.9867,0.0000,0.0000,0.0000,0,1,1,1,17.8419,1.9899,-0.6395,2,0,3,0,0,0,1.4300
17.8020,1.0836,0,2,1,18.3905,0.9954,0.0000,0.0000,0.0000,0,1,1,1,17.9072,2.0370,-0.6545,2,0,3,0,0,0,1.4300
17.8604,1.1421,0,2,1,18.3940,0.9985,0.0000,0.0000,0.0000,0,1,1,1,17.9357,2.0487,-0.6678,2,0,3,0,0,0,1.4300
17.9286,1.2102,0,2,1,18.3945,0.9989,0.0000,0.0000,0.0000,0,1,1,1,17.9419,2.0364,-0.6818,2,0,3,0,0,0,1.4300
17.9972,1.2788,0,2,1,18.4870,0.9709,0.0000,0.0000,0.0000,0,1,1,1,17.9440,2.0170,-0.6713,2,0,3,0,0,0,1.4300
