time,elapsed,host,local,round,x,y,z,trip,stun,mash,holding,shoeActive,shoeState,shoeX,shoeY,shoeZ,episode,ack,map,swimming,swimAnimation,floating,eyeY
10.8056,0.0000,0,2,1,-1.8000,0.0699,9.0000,0.0000,0.0000,0,0,1,1,-2.2862,0.8883,8.3803,2,0,3,0,0,0,1.2500
10.8561,0.0505,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,0,0,1,1,-2.5376,0.7131,8.5240,2,0,3,0,0,0,1.2500
10.9062,0.1006,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,0,0,1,1,-2.6519,0.5185,8.7940,2,0,3,0,0,0,1.4300
10.9565,0.1510,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,0,0,1,1,-2.6655,0.5006,8.8778,2,0,3,0,0,0,1.4300
11.0073,0.2017,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,0,0,1,1,-2.6813,0.5413,8.8773,2,0,3,0,0,0,1.4300
11.0575,0.2519,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,0,0,1,1,-2.6927,0.5755,8.8785,2,0,3,0,0,0,1.4300
11.1076,0.3020,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,0,1,1,1,-2.6973,0.6066,8.8617,2,0,3,0,0,0,1.4300
11.1580,0.3524,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,0,1,1,1,-2.5875,0.7635,8.5910,2,0,3,0,0,0,1.4300
11.2084,0.4028,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,0,1,1,1,-2.3472,0.8779,8.4058,2,0,3,0,0,0,1.4300
11.2589,0.4534,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.9032,8.3745,2,0,3,0,0,0,1.4300
11.3091,0.5035,0,2,1,-1.8000,0.0700,9.0000,0.0000,0.0000,0,1,1,1,-2.2596,0.9032,8.3745,2,0,3,0,0,0,1.4300
11.3592,0.5536,0,2,1,-8.4315,0.1723,7.0000,0.0000,0.0000,0,1,1,1,-8.9391,0.9484,7.5662,2,0,3,0,0,0,1.4300
11.7664,0.9608,0,2,1,-8.7921,0.8310,7.0000,0.0000,0.0000,0,1,1,1,-9.5099,1.8780,7.3779,2,0,3,0,0,0,1.4300
11.8215,1.0159,0,2,1,-8.7921,0.8310,7.0000,0.0000,0.0000,0,1,1,1,-9.5202,1.8618,7.3811,2,0,3,0,0,0,1.4300
11.9205,1.1149,0,2,1,-9.5478,0.6817,7.0000,0.0000,0.0000,0,1,1,1,-9.3182,1.8038,7.7861,2,0,3,0,0,0,1.4300
11.9877,1.1821,0,2,1,-9.8926,0.1266,7.0000,0.0000,0.0000,0,1,1,1,-9.3742,1.5814,7.6633,2,0,3,0,0,0,1.4300
12.0547,1.2492,0,2,1,-10.0964,-0.4169,7.0000,0.0000,0.0000,0,1,1,1,-9.5812,1.0891,7.6455,2,0,3,0,0,0,1.4300
12.1197,1.3141,0,2,1,-10.1766,-0.8437,7.0000,0.0000,0.0000,0,1,1,1,-10.0969,0.7034,7.6912,2,0,3,1,1,0,1.4300
12.1899,1.3844,0,2,1,-10.3004,-0.9179,7.0000,0.0000,0.0000,0,1,1,1,-10.7103,0.5048,7.5412,2,0,3,1,1,0,1.4300
12.2572,1.4517,0,2,1,-10.3801,-0.9379,7.0000,0.0000,0.0000,0,1,1,1,-11.1117,0.2454,7.3258,2,0,3,1,1,0,1.4300
12.3242,1.5186,0,2,1,-10.4782,-0.9290,7.0000,0.0000,0.0000,0,1,1,1,-11.2902,0.0475,7.2144,2,0,3,1,1,0,1.4300
12.3925,1.5869,0,2,1,-10.5803,-0.9024,7.0000,0.0000,0.0000,0,1,1,1,-11.3836,0.0563,7.2208,2,0,3,1,1,0,1.4300
12.4606,1.6551,0,2,1,-10.6685,-0.8888,7.0000,0.0000,0.0000,0,1,1,1,-11.4776,0.0711,7.2259,2,0,3,1,1,0,1.4300
12.5293,1.7237,0,2,1,-10.7630,-0.8802,7.0000,0.0000,0.0000,0,1,1,1,-11.5689,0.0804,7.2385,2,0,3,1,1,0,1.4300
12.5997,1.7941,0,2,1,-10.8789,-0.8731,7.0000,0.0000,0.0000,0,1,1,1,-11.6804,0.0823,7.3141,2,0,3,1,1,0,1.4300
12.6682,1.8626,0,2,1,-10.9771,-0.8693,7.0000,0.0000,0.0000,0,1,1,1,-11.7678,0.0684,7.4575,2,0,3,1,1,0,1.4300
12.7351,1.9296,0,2,1,-11.0946,-0.8672,7.0000,0.0000,0.0000,0,1,1,1,-11.8060,0.0388,7.6229,2,0,3,1,1,0,1.4300
12.8047,1.9991,0,2,1,-11.1728,-0.8669,7.0000,0.0000,0.0000,0,1,1,1,-11.8149,0.0073,7.7447,2,0,3,1,1,0,1.4300
12.8729,2.0674,0,2,1,-11.2706,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-11.8682,-0.0114,7.7907,2,0,3,1,1,0,1.4300
12.9424,2.1368,0,2,1,-11.3727,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-11.9549,-0.0273,7.8011,2,0,3,1,1,0,1.4300
13.0127,2.2072,0,2,1,-11.4749,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-12.0111,-0.0682,7.8398,2,0,3,1,1,0,1.4300
13.0820,2.2764,0,2,1,-11.5934,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-11.9865,-0.1457,7.9030,2,0,3,1,1,0,1.4300
13.1477,2.3421,0,2,1,-11.6717,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-11.8935,-0.2305,7.9309,2,0,3,1,1,0,1.4300
13.2167,2.4111,0,2,1,-11.7781,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-11.9653,-0.2531,7.9270,2,0,3,1,1,0,1.4300
13.2838,2.4782,0,2,1,-11.8683,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-12.2797,-0.2186,7.8834,2,0,3,1,1,0,1.4300
13.3506,2.5451,0,2,1,-11.9593,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-12.6958,-0.1066,7.6447,2,0,3,1,1,0,1.4300
13.4194,2.6139,0,2,1,-12.0898,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-12.9096,0.0030,7.3737,2,0,3,1,1,0,1.4300
13.4865,2.6810,0,2,1,-12.1702,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-13.0078,0.0511,7.2513,2,0,3,1,1,0,1.4300
13.5579,2.7523,0,2,1,-12.2918,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-13.1136,0.0739,7.2011,2,0,3,1,1,0,1.4300
13.6266,2.8211,0,2,1,-12.3566,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-13.1908,0.0840,7.1920,2,0,3,1,1,0,1.4300
13.6988,2.8933,0,2,1,-12.5067,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-13.3111,0.0902,7.1975,2,0,3,1,1,0,1.4300
13.7702,2.9646,0,2,1,-12.5501,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-13.3686,0.1518,7.2389,2,0,3,1,1,0,1.4300
13.8381,3.0326,0,2,1,-12.5448,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-13.2641,0.3175,7.3207,2,0,3,1,1,0,1.4300
13.9066,3.1010,0,2,1,-12.5434,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-13.0611,0.4096,7.4155,2,0,3,1,1,0,1.4300
13.9760,3.1704,0,2,1,-12.5432,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-12.8170,0.3984,7.5195,2,0,3,1,1,0,1.4300
14.0427,3.2371,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-12.7890,0.3912,7.5322,2,0,3,1,1,0,1.4300
14.1111,3.3055,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-12.7896,0.3919,7.5329,2,0,3,1,1,0,1.4300
14.1792,3.3737,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-12.7897,0.3919,7.5338,2,0,3,1,1,0,1.4300
14.2485,3.4429,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-12.7894,0.3910,7.5350,2,0,3,1,1,0,1.4300
14.3160,3.5104,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,1,1,1,-12.7886,0.3894,7.5364,2,0,3,1,1,0,1.4300
14.3876,3.5821,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,0,1,2,-14.7000,0.8560,7.0000,2,0,3,1,1,0,1.4300
14.4569,3.6513,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,0,1,2,-14.7000,0.4720,7.0000,2,0,3,1,1,0,1.4300
14.5299,3.7243,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,0,1,2,-14.7000,0.1000,7.0000,2,0,3,1,1,0,1.4300
14.6008,3.7953,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,2,0,3,1,1,1,1.4300
14.6669,3.8613,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,2,0,3,1,1,1,1.4300
14.7379,3.9324,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,2,0,3,1,1,1,1.4300
14.8055,4.0000,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,2,0,3,1,1,1,1.4300
14.8731,4.0676,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,2,0,3,1,1,1,1.4300
14.9397,4.1342,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,2,0,3,1,1,1,1.4300
15.0148,4.2093,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,2,0,3,1,1,1,1.4300
15.0868,4.2813,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,2,0,3,1,1,1,1.4300
15.1672,4.3616,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,2,0,3,1,1,1,1.4300
15.2293,4.4237,0,2,1,-12.5431,-0.8668,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,2,0,3,1,1,1,1.4300
