time,elapsed,host,local,round,x,y,z,trip,stun,mash,holding,shoeActive,shoeState,shoeX,shoeY,shoeZ,episode,ack,map,swimming,swimAnimation,floating,eyeY
16.9900,0.0000,1,0,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,1,1,1,-2.2356,0.8323,8.3575,4,0,3,0,0,0,1.2500
17.0409,0.0509,1,0,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,1,1,1,-2.2356,0.8323,8.3575,4,0,3,0,0,0,1.4300
17.0921,0.1021,1,0,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,1,1,1,-2.2356,0.8323,8.3575,4,0,3,0,0,0,1.4300
17.1429,0.1529,1,0,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,1,1,1,-2.2356,0.8323,8.3575,4,0,3,0,0,0,1.4300
17.1946,0.2046,1,0,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,1,1,1,-2.2356,0.8323,8.3575,4,0,3,0,0,0,1.4300
17.2454,0.2554,1,0,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,1,1,1,-2.2356,0.8323,8.3575,4,0,3,0,0,0,1.4300
17.2967,0.3067,1,0,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,1,1,1,-2.2356,0.8323,8.3575,4,0,3,0,0,0,1.4300
17.3481,0.3581,1,0,1,-1.8000,0.1800,9.0000,0.0000,0.0000,0,1,1,1,-2.2356,0.9183,8.3575,4,0,3,0,0,0,1.4300
17.3982,0.4082,1,0,1,-1.8000,0.1617,9.0000,0.0000,0.0000,0,1,1,1,-2.2356,0.9323,8.3575,4,0,3,0,0,0,1.4300
17.4488,0.4588,1,0,1,-1.8000,0.1617,9.0000,0.0000,0.0000,0,1,1,1,-2.2356,0.9323,8.3575,4,0,3,0,0,0,1.4300
17.5001,0.5101,1,0,1,-1.8000,0.1617,9.0000,0.0000,0.0000,0,1,1,1,-2.2356,0.9323,8.3575,4,0,3,0,0,0,1.4300
17.5513,0.5613,1,0,1,-1.8000,0.1617,9.0000,0.0000,0.0000,0,1,1,1,-2.2356,0.9323,8.3575,4,0,3,0,0,0,1.4300
