time,elapsed,host,local,round,x,y,z,trip,stun,mash,holding,shoeActive,shoeState,shoeX,shoeY,shoeZ,episode,ack,map,swimming,swimAnimation,floating,eyeY
17.3796,0.0000,0,1,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,0,1,1,-2.2763,0.8137,8.3653,4,0,3,0,0,0,1.2500
17.4316,0.0520,0,1,1,-1.8000,0.0000,9.0000,0.0000,0.0000,0,0,1,1,-2.5394,0.6269,8.5158,4,0,3,0,0,0,1.2500
17.4824,0.1028,0,1,1,-1.8000,0.1800,9.0000,0.0000,0.0000,0,1,1,1,-2.4435,0.8291,8.4343,4,0,3,0,0,0,1.4300
17.5339,0.1543,0,1,1,-1.8000,0.1800,9.0000,0.0000,0.0000,0,1,1,1,-2.2979,0.9042,8.3711,4,0,3,0,0,0,1.4300
17.5841,0.2044,0,1,1,-1.8000,0.1800,9.0000,0.0000,0.0000,0,1,1,1,-2.2356,0.9323,8.3575,4,0,3,0,0,0,1.4300
17.6348,0.2551,0,1,1,-1.8000,0.1800,9.0000,0.0000,0.0000,0,1,1,1,-2.2356,0.9323,8.3575,4,0,3,0,0,0,1.4300
17.6860,0.3063,0,1,1,-1.8000,0.1800,9.0000,0.0000,0.0000,0,1,1,1,-2.2356,0.9323,8.3575,4,0,3,0,0,0,1.4300
17.7370,0.3573,0,1,1,-1.8000,0.1800,9.0000,0.0000,0.0000,0,1,1,1,-2.2356,0.9323,8.3575,4,0,3,0,0,0,1.4300
17.7882,0.4086,0,1,1,-8.5063,0.3240,7.0000,0.0000,0.0000,0,1,1,1,-9.1597,1.3984,6.6248,4,0,3,0,0,0,1.5740
17.8387,0.4591,0,1,1,-8.6656,0.6000,7.0000,0.0000,0.0000,0,1,1,1,-9.4149,1.7741,7.1879,4,0,3,0,0,0,1.8500
17.8891,0.5095,0,1,1,-8.7719,0.7440,7.0000,0.0000,0.0000,0,1,1,1,-9.3609,1.9688,7.4847,4,0,3,0,0,0,1.9940
17.9395,0.5598,0,1,1,-8.9313,0.9000,7.0000,0.0000,0.0000,0,1,1,1,-9.3680,2.1214,7.6228,4,0,3,0,0,0,2.1500
18.2067,0.8271,0,1,1,-9.6220,0.7440,7.0000,0.0000,0.0000,0,1,1,1,-9.2747,1.9638,7.6350,4,0,3,0,0,0,1.9940
18.2756,0.8959,0,1,1,-9.8345,0.4240,7.0000,0.0000,0.0000,0,1,1,1,-9.4853,1.5353,7.7131,4,0,3,0,0,0,1.6740
18.3275,0.9478,0,1,1,-9.9408,0.2160,7.0000,0.0000,0.0000,0,1,1,1,-9.5893,1.2766,7.7405,4,0,3,0,0,0,1.4660
18.3965,1.0169,0,1,1,-10.1310,-0.2960,7.0000,0.0000,0.0000,0,1,1,1,-9.7799,0.8152,7.7058,4,0,3,0,0,0,0.9540
18.4645,1.0849,0,1,1,-10.2234,-0.7640,7.0000,0.0000,0.0000,0,1,1,1,-10.0433,0.5011,7.6517,4,0,3,1,1,0,0.4860
18.5324,1.1527,0,1,1,-10.3467,-0.8720,7.0000,0.0000,0.0000,0,1,1,1,-10.6453,0.5013,7.5638,4,0,3,1,1,0,0.3780
18.6012,1.2215,0,1,1,-10.4391,-0.9368,7.0000,0.0000,0.0000,0,1,1,1,-11.1418,0.3009,7.4205,4,0,3,1,1,0,0.3132
18.6699,1.2903,0,1,1,-10.5624,-1.0520,7.0000,0.0000,0.0000,0,1,1,1,-11.4398,-0.0632,7.2410,4,0,3,1,1,0,0.1980
18.7391,1.3594,0,1,1,-10.6548,-1.1168,7.0000,0.0000,0.0000,0,1,1,1,-11.5355,-0.1490,7.2281,4,0,3,1,1,0,0.1332
18.8099,1.4303,0,1,1,-10.7781,-1.1528,7.0000,0.0000,0.0000,0,1,1,1,-11.6560,-0.1858,7.2341,4,0,3,1,1,0,0.0972
18.8800,1.5004,0,1,1,-10.8705,-1.1420,7.0000,0.0000,0.0000,0,1,1,1,-11.7464,-0.1772,7.2406,4,0,3,1,1,0,0.1080
18.9497,1.5701,0,1,1,-10.9630,-1.0988,7.0000,0.0000,0.0000,0,1,1,1,-11.8399,-0.1380,7.2944,4,0,3,1,1,0,0.1512
19.0225,1.6428,0,1,1,-11.0863,-1.0183,7.0000,0.0000,0.0000,0,1,1,1,-11.9517,-0.0721,7.4294,4,0,3,1,1,0,0.2317
19.0917,1.7121,0,1,1,-11.2095,-0.9639,7.0000,0.0000,0.0000,0,1,1,1,-12.0192,-0.0485,7.6003,4,0,3,1,1,0,0.2861
19.1643,1.7846,0,1,1,-11.3020,-0.9357,7.0000,0.0000,0.0000,0,1,1,1,-12.0193,-0.0567,7.7401,4,0,3,1,1,0,0.3143
19.2364,1.8568,0,1,1,-11.4252,-0.9097,7.0000,0.0000,0.0000,0,1,1,1,-12.0849,-0.0535,7.7981,4,0,3,1,1,0,0.3403
19.3089,1.9292,0,1,1,-11.5177,-0.8962,7.0000,0.0000,0.0000,0,1,1,1,-12.1653,-0.0560,7.8087,4,0,3,1,1,0,0.3538
19.3822,2.0025,0,1,1,-11.6409,-0.8838,7.0000,0.0000,0.0000,0,1,1,1,-12.2377,-0.0859,7.8475,4,0,3,1,1,0,0.3662
19.4546,2.0750,0,1,1,-11.7334,-0.8773,7.0000,0.0000,0.0000,0,1,1,1,-12.1940,-0.1615,7.9119,4,0,3,1,1,0,0.3727
19.5259,2.1463,0,1,1,-11.8566,-0.8714,7.0000,0.0000,0.0000,0,1,1,1,-12.1239,-0.2458,7.9373,4,0,3,1,1,0,0.3786
19.5966,2.2169,0,1,1,-11.9491,-0.8692,7.0000,0.0000,0.0000,0,1,1,1,-12.2149,-0.2592,7.9321,4,0,3,1,1,0,0.3808
